epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1627859377045,2021-08-01T19:09:37.045,0.000,-0.361,0.709,-0.547
1627859377055,2021-08-01T19:09:37.055,0.010,-0.365,0.719,-0.558
1627859377065,2021-08-01T19:09:37.065,0.020,-0.367,0.721,-0.557
1627859377075,2021-08-01T19:09:37.075,0.030,-0.371,0.722,-0.556
1627859377085,2021-08-01T19:09:37.085,0.040,-0.376,0.722,-0.554
1627859377095,2021-08-01T19:09:37.095,0.050,-0.377,0.714,-0.549
1627859377105,2021-08-01T19:09:37.105,0.060,-0.377,0.711,-0.548
1627859377115,2021-08-01T19:09:37.115,0.070,-0.376,0.713,-0.545
1627859377125,2021-08-01T19:09:37.125,0.080,-0.376,0.712,-0.549
1627859377135,2021-08-01T19:09:37.135,0.090,-0.374,0.709,-0.549
1627859377145,2021-08-01T19:09:37.145,0.100,-0.375,0.708,-0.545
1627859377155,2021-08-01T19:09:37.155,0.110,-0.372,0.703,-0.544
1627859377165,2021-08-01T19:09:37.165,0.120,-0.368,0.704,-0.544
1627859377175,2021-08-01T19:09:37.175,0.130,-0.365,0.710,-0.543
1627859377185,2021-08-01T19:09:37.185,0.140,-0.371,0.714,-0.542
1627859377195,2021-08-01T19:09:37.195,0.150,-0.375,0.714,-0.542
1627859377205,2021-08-01T19:09:37.205,0.160,-0.378,0.713,-0.542
1627859377215,2021-08-01T19:09:37.215,0.170,-0.378,0.714,-0.545
1627859377225,2021-08-01T19:09:37.225,0.180,-0.379,0.715,-0.538
1627859377235,2021-08-01T19:09:37.235,0.190,-0.379,0.715,-0.541
1627859377245,2021-08-01T19:09:37.245,0.200,-0.385,0.712,-0.543
1627859377255,2021-08-01T19:09:37.255,0.210,-0.380,0.711,-0.540
1627859377265,2021-08-01T19:09:37.265,0.220,-0.373,0.713,-0.541
1627859377275,2021-08-01T19:09:37.275,0.230,-0.376,0.714,-0.542
1627859377285,2021-08-01T19:09:37.285,0.240,-0.375,0.709,-0.541
1627859377295,2021-08-01T19:09:37.295,0.250,-0.370,0.708,-0.539
1627859377305,2021-08-01T19:09:37.305,0.260,-0.371,0.703,-0.539
1627859377315,2021-08-01T19:09:37.315,0.270,-0.375,0.707,-0.540
1627859377325,2021-08-01T19:09:37.325,0.280,-0.371,0.716,-0.549
1627859377335,2021-08-01T19:09:37.335,0.290,-0.373,0.721,-0.553
1627859377345,2021-08-01T19:09:37.345,0.300,-0.376,0.718,-0.551
1627859377355,2021-08-01T19:09:37.355,0.310,-0.373,0.711,-0.548
1627859377365,2021-08-01T19:09:37.365,0.320,-0.376,0.706,-0.541
1627859377375,2021-08-01T19:09:37.375,0.330,-0.374,0.702,-0.538
1627859377385,2021-08-01T19:09:37.385,0.340,-0.374,0.704,-0.542
1627859377395,2021-08-01T19:09:37.395,0.350,-0.375,0.704,-0.545
1627859377405,2021-08-01T19:09:37.405,0.360,-0.374,0.703,-0.542
1627859377415,2021-08-01T19:09:37.415,0.370,-0.368,0.701,-0.543
1627859377425,2021-08-01T19:09:37.425,0.380,-0.366,0.696,-0.543
1627859377435,2021-08-01T19:09:37.435,0.390,-0.362,0.694,-0.542
1627859377445,2021-08-01T19:09:37.445,0.400,-0.361,0.696,-0.539
1627859377455,2021-08-01T19:09:37.455,0.410,-0.359,0.695,-0.542
1627859377465,2021-08-01T19:09:37.465,0.420,-0.355,0.703,-0.546
1627859377475,2021-08-01T19:09:37.475,0.430,-0.353,0.712,-0.545
1627859377485,2021-08-01T19:09:37.485,0.440,-0.352,0.724,-0.552
1627859377495,2021-08-01T19:09:37.495,0.450,-0.359,0.723,-0.553
1627859377505,2021-08-01T19:09:37.505,0.460,-0.371,0.712,-0.551
1627859377515,2021-08-01T19:09:37.515,0.470,-0.375,0.703,-0.545
1627859377525,2021-08-01T19:09:37.525,0.480,-0.379,0.699,-0.539
1627859377535,2021-08-01T19:09:37.535,0.490,-0.384,0.697,-0.538
1627859377545,2021-08-01T19:09:37.545,0.500,-0.391,0.695,-0.542
1627859377555,2021-08-01T19:09:37.555,0.510,-0.399,0.698,-0.544
1627859377565,2021-08-01T19:09:37.565,0.520,-0.400,0.696,-0.544
1627859377575,2021-08-01T19:09:37.575,0.530,-0.396,0.689,-0.544
1627859377585,2021-08-01T19:09:37.585,0.540,-0.398,0.681,-0.546
1627859377595,2021-08-01T19:09:37.595,0.550,-0.401,0.682,-0.544
1627859377605,2021-08-01T19:09:37.605,0.560,-0.397,0.687,-0.554
1627859377615,2021-08-01T19:09:37.615,0.570,-0.399,0.693,-0.558
1627859377625,2021-08-01T19:09:37.625,0.580,-0.401,0.695,-0.558
1627859377635,2021-08-01T19:09:37.635,0.590,-0.402,0.688,-0.563
1627859377645,2021-08-01T19:09:37.645,0.600,-0.398,0.684,-0.565
1627859377655,2021-08-01T19:09:37.655,0.610,-0.400,0.688,-0.563
1627859377665,2021-08-01T19:09:37.665,0.620,-0.400,0.688,-0.568
1627859377675,2021-08-01T19:09:37.675,0.630,-0.396,0.686,-0.568
1627859377685,2021-08-01T19:09:37.685,0.640,-0.395,0.686,-0.567
1627859377695,2021-08-01T19:09:37.695,0.650,-0.396,0.684,-0.566
1627859377705,2021-08-01T19:09:37.705,0.660,-0.394,0.683,-0.565
1627859377715,2021-08-01T19:09:37.715,0.670,-0.396,0.684,-0.568
1627859377725,2021-08-01T19:09:37.725,0.680,-0.394,0.686,-0.575
1627859377735,2021-08-01T19:09:37.735,0.690,-0.394,0.684,-0.579
1627859377745,2021-08-01T19:09:37.745,0.700,-0.394,0.684,-0.580
1627859377755,2021-08-01T19:09:37.755,0.710,-0.397,0.681,-0.578
1627859377765,2021-08-01T19:09:37.765,0.720,-0.399,0.676,-0.574
1627859377775,2021-08-01T19:09:37.775,0.730,-0.399,0.671,-0.568
1627859377785,2021-08-01T19:09:37.785,0.740,-0.398,0.673,-0.570
1627859377795,2021-08-01T19:09:37.795,0.750,-0.405,0.681,-0.577
1627859377805,2021-08-01T19:09:37.805,0.760,-0.409,0.681,-0.582
1627859377815,2021-08-01T19:09:37.815,0.770,-0.404,0.685,-0.582
1627859377825,2021-08-01T19:09:37.825,0.780,-0.403,0.677,-0.578
1627859377835,2021-08-01T19:09:37.835,0.790,-0.400,0.672,-0.576
1627859377845,2021-08-01T19:09:37.845,0.800,-0.397,0.680,-0.578
1627859377855,2021-08-01T19:09:37.855,0.810,-0.393,0.687,-0.577
1627859377865,2021-08-01T19:09:37.865,0.820,-0.388,0.693,-0.576
1627859377875,2021-08-01T19:09:37.875,0.830,-0.384,0.695,-0.577
1627859377885,2021-08-01T19:09:37.885,0.840,-0.378,0.694,-0.573
1627859377895,2021-08-01T19:09:37.895,0.850,-0.375,0.695,-0.572
1627859377905,2021-08-01T19:09:37.905,0.860,-0.373,0.702,-0.568
1627859377915,2021-08-01T19:09:37.915,0.870,-0.374,0.702,-0.565
1627859377925,2021-08-01T19:09:37.925,0.880,-0.376,0.701,-0.561
1627859377935,2021-08-01T19:09:37.935,0.890,-0.377,0.698,-0.551
1627859377945,2021-08-01T19:09:37.945,0.900,-0.374,0.701,-0.546
1627859377955,2021-08-01T19:09:37.955,0.910,-0.374,0.702,-0.541
1627859377965,2021-08-01T19:09:37.965,0.920,-0.373,0.710,-0.532
1627859377975,2021-08-01T19:09:37.975,0.930,-0.373,0.716,-0.529
1627859377985,2021-08-01T19:09:37.985,0.940,-0.366,0.726,-0.528
1627859377995,2021-08-01T19:09:37.995,0.950,-0.362,0.736,-0.523
1627859378005,2021-08-01T19:09:38.005,0.960,-0.363,0.730,-0.515
1627859378015,2021-08-01T19:09:38.015,0.970,-0.355,0.730,-0.504
1627859378025,2021-08-01T19:09:38.025,0.980,-0.358,0.729,-0.492
1627859378035,2021-08-01T19:09:38.035,0.990,-0.365,0.736,-0.490
1627859378045,2021-08-01T19:09:38.045,1.000,-0.364,0.753,-0.492
1627859378055,2021-08-01T19:09:38.055,1.010,-0.366,0.765,-0.490
1627859378065,2021-08-01T19:09:38.065,1.020,-0.375,0.769,-0.485
1627859378075,2021-08-01T19:09:38.075,1.030,-0.381,0.763,-0.464
1627859378085,2021-08-01T19:09:38.085,1.040,-0.387,0.759,-0.451
1627859378095,2021-08-01T19:09:38.095,1.050,-0.390,0.766,-0.448
1627859378105,2021-08-01T19:09:38.105,1.060,-0.391,0.783,-0.449
1627859378115,2021-08-01T19:09:38.115,1.070,-0.399,0.800,-0.454
1627859378125,2021-08-01T19:09:38.125,1.080,-0.415,0.797,-0.452
1627859378135,2021-08-01T19:09:38.135,1.090,-0.423,0.790,-0.444
1627859378145,2021-08-01T19:09:38.145,1.100,-0.422,0.784,-0.437
1627859378155,2021-08-01T19:09:38.155,1.110,-0.423,0.788,-0.433
1627859378165,2021-08-01T19:09:38.165,1.120,-0.423,0.795,-0.433
1627859378175,2021-08-01T19:09:38.175,1.130,-0.427,0.798,-0.436
1627859378185,2021-08-01T19:09:38.185,1.140,-0.427,0.796,-0.430
1627859378195,2021-08-01T19:09:38.195,1.150,-0.420,0.791,-0.422
1627859378205,2021-08-01T19:09:38.205,1.160,-0.417,0.785,-0.417
1627859378215,2021-08-01T19:09:38.215,1.170,-0.421,0.772,-0.416
1627859378225,2021-08-01T19:09:38.225,1.180,-0.421,0.754,-0.410
1627859378235,2021-08-01T19:09:38.235,1.190,-0.417,0.744,-0.404
1627859378245,2021-08-01T19:09:38.245,1.200,-0.417,0.739,-0.403
1627859378255,2021-08-01T19:09:38.255,1.210,-0.421,0.740,-0.410
1627859378265,2021-08-01T19:09:38.265,1.220,-0.422,0.747,-0.417
1627859378275,2021-08-01T19:09:38.275,1.230,-0.422,0.753,-0.426
1627859378285,2021-08-01T19:09:38.285,1.240,-0.430,0.744,-0.429
1627859378295,2021-08-01T19:09:38.295,1.250,-0.427,0.738,-0.424
1627859378305,2021-08-01T19:09:38.305,1.260,-0.434,0.733,-0.425
1627859378315,2021-08-01T19:09:38.315,1.270,-0.444,0.732,-0.432
1627859378325,2021-08-01T19:09:38.325,1.280,-0.448,0.733,-0.436
1627859378335,2021-08-01T19:09:38.335,1.290,-0.448,0.725,-0.436
1627859378345,2021-08-01T19:09:38.345,1.300,-0.451,0.718,-0.437
1627859378355,2021-08-01T19:09:38.355,1.310,-0.452,0.716,-0.440
1627859378365,2021-08-01T19:09:38.365,1.320,-0.454,0.711,-0.444
1627859378375,2021-08-01T19:09:38.375,1.330,-0.459,0.705,-0.446
1627859378385,2021-08-01T19:09:38.385,1.340,-0.461,0.699,-0.447
1627859378395,2021-08-01T19:09:38.395,1.350,-0.465,0.699,-0.452
1627859378405,2021-08-01T19:09:38.405,1.360,-0.477,0.700,-0.468
1627859378415,2021-08-01T19:09:38.415,1.370,-0.483,0.708,-0.486
1627859378425,2021-08-01T19:09:38.425,1.380,-0.490,0.712,-0.494
1627859378435,2021-08-01T19:09:38.435,1.390,-0.497,0.714,-0.501
1627859378445,2021-08-01T19:09:38.445,1.400,-0.494,0.727,-0.511
1627859378455,2021-08-01T19:09:38.455,1.410,-0.497,0.750,-0.529
1627859378465,2021-08-01T19:09:38.465,1.420,-0.518,0.753,-0.545
1627859378475,2021-08-01T19:09:38.475,1.430,-0.517,0.752,-0.550
1627859378485,2021-08-01T19:09:38.485,1.440,-0.503,0.771,-0.555
1627859378495,2021-08-01T19:09:38.495,1.450,-0.516,0.779,-0.580
1627859378505,2021-08-01T19:09:38.505,1.460,-0.511,0.800,-0.605
1627859378515,2021-08-01T19:09:38.515,1.470,-0.517,0.772,-0.602
1627859378525,2021-08-01T19:09:38.525,1.480,-0.500,0.699,-0.561
1627859378535,2021-08-01T19:09:38.535,1.490,-0.467,0.631,-0.507
1627859378545,2021-08-01T19:09:38.545,1.500,-0.452,0.600,-0.486
1627859378555,2021-08-01T19:09:38.555,1.510,-0.441,0.632,-0.515
1627859378565,2021-08-01T19:09:38.565,1.520,-0.441,0.698,-0.575
1627859378575,2021-08-01T19:09:38.575,1.530,-0.443,0.744,-0.626
1627859378585,2021-08-01T19:09:38.585,1.540,-0.435,0.749,-0.647
1627859378595,2021-08-01T19:09:38.595,1.550,-0.418,0.713,-0.636
1627859378605,2021-08-01T19:09:38.605,1.560,-0.403,0.657,-0.610
1627859378615,2021-08-01T19:09:38.615,1.570,-0.380,0.622,-0.593
1627859378625,2021-08-01T19:09:38.625,1.580,-0.380,0.601,-0.592
1627859378635,2021-08-01T19:09:38.635,1.590,-0.384,0.596,-0.600
1627859378645,2021-08-01T19:09:38.645,1.600,-0.385,0.609,-0.614
1627859378655,2021-08-01T19:09:38.655,1.610,-0.390,0.613,-0.629
1627859378665,2021-08-01T19:09:38.665,1.620,-0.387,0.620,-0.638
1627859378675,2021-08-01T19:09:38.675,1.630,-0.388,0.614,-0.642
1627859378685,2021-08-01T19:09:38.685,1.640,-0.390,0.598,-0.634
1627859378695,2021-08-01T19:09:38.695,1.650,-0.388,0.593,-0.633
1627859378705,2021-08-01T19:09:38.705,1.660,-0.395,0.601,-0.641
1627859378715,2021-08-01T19:09:38.715,1.670,-0.399,0.622,-0.653
1627859378725,2021-08-01T19:09:38.725,1.680,-0.402,0.653,-0.666
1627859378735,2021-08-01T19:09:38.735,1.690,-0.417,0.652,-0.671
1627859378745,2021-08-01T19:09:38.745,1.700,-0.418,0.625,-0.650
