epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1635947835985,2021-11-03T09:57:15.985,0.000,0.488,0.854,-0.854
1635947835995,2021-11-03T09:57:15.995,0.010,0.183,0.732,-1.159
1635947836005,2021-11-03T09:57:16.005,0.020,-0.122,0.366,-0.732
1635947836015,2021-11-03T09:57:16.015,0.030,-0.061,0.427,-0.854
1635947836025,2021-11-03T09:57:16.025,0.040,0.000,0.488,-1.220
1635947836035,2021-11-03T09:57:16.035,0.050,-0.061,0.732,-1.220
1635947836045,2021-11-03T09:57:16.045,0.060,0.122,0.671,-0.915
1635947836055,2021-11-03T09:57:16.055,0.070,0.122,0.549,-1.037
1635947836065,2021-11-03T09:57:16.065,0.080,-0.122,0.488,-1.159
1635947836075,2021-11-03T09:57:16.075,0.090,-0.427,0.427,-1.159
1635947836085,2021-11-03T09:57:16.085,0.100,-0.549,0.244,-1.159
1635947836095,2021-11-03T09:57:16.095,0.110,-0.732,0.061,-1.402
1635947836105,2021-11-03T09:57:16.105,0.120,-0.854,-0.122,-1.768
1635947836115,2021-11-03T09:57:16.115,0.130,-0.427,-0.244,-1.768
1635947836125,2021-11-03T09:57:16.125,0.140,0.305,-0.183,-1.707
1635947836135,2021-11-03T09:57:16.135,0.150,0.488,0.000,-1.585
1635947836145,2021-11-03T09:57:16.145,0.160,0.610,0.122,-1.402
1635947836155,2021-11-03T09:57:16.155,0.170,0.671,0.244,-1.402
1635947836165,2021-11-03T09:57:16.165,0.180,0.549,0.427,-1.524
1635947836175,2021-11-03T09:57:16.175,0.190,0.366,0.610,-1.768
1635947836185,2021-11-03T09:57:16.185,0.200,0.183,0.732,-2.195
1635947836195,2021-11-03T09:57:16.195,0.210,-0.305,0.732,-2.805
1635947836205,2021-11-03T09:57:16.205,0.220,-0.793,0.610,-3.415
1635947836215,2021-11-03T09:57:16.215,0.230,-1.098,0.488,-3.841
1635947836225,2021-11-03T09:57:16.225,0.240,-1.220,0.366,-3.963
1635947836235,2021-11-03T09:57:16.235,0.250,-1.220,0.061,-4.085
1635947836245,2021-11-03T09:57:16.245,0.260,-0.976,-0.183,-3.963
