epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1636988753214,2021-11-15T10:05:53.214,0.000,98878.766
1636988753350,2021-11-15T10:05:53.350,0.136,98885.664
1636988753486,2021-11-15T10:05:53.486,0.272,98882.414
1636988753621,2021-11-15T10:05:53.621,0.407,98887.969
1636988753757,2021-11-15T10:05:53.757,0.543,98887.398
1636988753892,2021-11-15T10:05:53.892,0.678,98885.297
1636988754028,2021-11-15T10:05:54.028,0.814,98884.734
1636988754164,2021-11-15T10:05:54.164,0.950,98890.281
1636988754299,2021-11-15T10:05:54.299,1.085,98884.156
1636988754435,2021-11-15T10:05:54.435,1.221,98884.734
1636988754572,2021-11-15T10:05:54.572,1.358,98882.813
1636988754706,2021-11-15T10:05:54.706,1.492,98884.938
1636988754843,2021-11-15T10:05:54.843,1.629,98886.063
1636988754977,2021-11-15T10:05:54.977,1.763,98887.039
1636988755114,2021-11-15T10:05:55.114,1.900,98883.609
1636988755250,2021-11-15T10:05:55.250,2.036,98879.602
1636988755385,2021-11-15T10:05:55.385,2.171,98887.039
1636988755521,2021-11-15T10:05:55.521,2.307,98879.602
1636988755657,2021-11-15T10:05:55.657,2.443,98887.797
1636988755792,2021-11-15T10:05:55.792,2.578,98890.469
1636988755928,2021-11-15T10:05:55.928,2.714,98880.359
1636988756064,2021-11-15T10:05:56.064,2.850,98882.453
1636988756199,2021-11-15T10:05:56.199,2.985,98881.703
1636988756335,2021-11-15T10:05:56.335,3.121,98883.031
1636988756470,2021-11-15T10:05:56.470,3.256,98876.359
1636988756606,2021-11-15T10:05:56.606,3.392,98881.125
1636988756743,2021-11-15T10:05:56.743,3.529,98884.008
1636988756877,2021-11-15T10:05:56.877,3.663,98875.234
1636988757014,2021-11-15T10:05:57.014,3.800,98869.891
1636988757150,2021-11-15T10:05:57.150,3.936,98874.656
1636988757285,2021-11-15T10:05:57.285,4.071,98876.570
1636988757421,2021-11-15T10:05:57.421,4.207,98874.656
1636988757557,2021-11-15T10:05:57.557,4.343,98875.234
1636988757692,2021-11-15T10:05:57.692,4.478,98877.328
1636988757828,2021-11-15T10:05:57.828,4.614,98871.414
1636988757963,2021-11-15T10:05:57.963,4.749,98873.328
1636988758099,2021-11-15T10:05:58.099,4.885,98874.875
1636988758235,2021-11-15T10:05:58.235,5.021,98874.078
1636988758370,2021-11-15T10:05:58.370,5.156,98875.422
1636988758506,2021-11-15T10:05:58.506,5.292,98873.719
1636988758642,2021-11-15T10:05:58.642,5.428,98875.063
1636988758777,2021-11-15T10:05:58.777,5.563,98875.633
1636988758913,2021-11-15T10:05:58.913,5.699,98873.539
1636988759048,2021-11-15T10:05:59.048,5.834,98878.305
1636988759184,2021-11-15T10:05:59.184,5.970,98876.391
1636988759321,2021-11-15T10:05:59.321,6.107,98880.977
1636988759455,2021-11-15T10:05:59.455,6.241,98873.938
1636988759592,2021-11-15T10:05:59.592,6.378,98876.609
1636988759728,2021-11-15T10:05:59.728,6.514,98879.281
1636988759863,2021-11-15T10:05:59.863,6.649,98880.609
1636988759999,2021-11-15T10:05:59.999,6.785,98885.953
1636988760135,2021-11-15T10:06:00.135,6.921,98873.719
1636988760270,2021-11-15T10:06:00.270,7.056,98878.703
1636988760406,2021-11-15T10:06:00.406,7.192,98876.391
1636988760542,2021-11-15T10:06:00.542,7.328,98878.703
1636988760677,2021-11-15T10:06:00.677,7.463,98873.359
1636988760813,2021-11-15T10:06:00.813,7.599,98882.711
1636988760948,2021-11-15T10:06:00.948,7.734,98875.484
1636988761084,2021-11-15T10:06:01.084,7.870,98876.828
1636988761221,2021-11-15T10:06:01.221,8.007,98878.156
1636988761355,2021-11-15T10:06:01.355,8.141,98874.695
1636988761492,2021-11-15T10:06:01.492,8.278,98878.156
1636988761628,2021-11-15T10:06:01.628,8.414,98876.250
1636988761764,2021-11-15T10:06:01.764,8.550,98877.578
1636988761899,2021-11-15T10:06:01.899,8.685,98878.344
1636988762035,2021-11-15T10:06:02.035,8.821,98874.156
1636988762170,2021-11-15T10:06:02.170,8.956,98881.016
1636988762306,2021-11-15T10:06:02.306,9.092,98875.672
1636988762441,2021-11-15T10:06:02.441,9.227,98875.883
1636988762577,2021-11-15T10:06:02.577,9.363,98879.680
1636988762713,2021-11-15T10:06:02.713,9.499,98873.797
1636988762848,2021-11-15T10:06:02.848,9.634,98875.125
1636988762984,2021-11-15T10:06:02.984,9.770,98873.000
1636988763120,2021-11-15T10:06:03.120,9.906,98873.219
1636988763255,2021-11-15T10:06:03.255,10.041,98876.461
1636988763391,2021-11-15T10:06:03.391,10.177,98879.133
1636988763528,2021-11-15T10:06:03.528,10.314,98879.313
1636988763662,2021-11-15T10:06:03.662,10.448,98874.547
1636988763799,2021-11-15T10:06:03.799,10.585,98884.109
1636988763935,2021-11-15T10:06:03.935,10.721,98883.898
1636988764070,2021-11-15T10:06:04.070,10.856,98873.797
1636988764206,2021-11-15T10:06:04.206,10.992,98880.109
1636988764342,2021-11-15T10:06:04.342,11.128,98880.656
1636988764477,2021-11-15T10:06:04.477,11.263,98878.766
1636988764613,2021-11-15T10:06:04.613,11.399,98876.102
1636988764748,2021-11-15T10:06:04.748,11.534,98872.641
1636988764884,2021-11-15T10:06:04.884,11.670,98876.641
1636988765020,2021-11-15T10:06:05.020,11.806,98874.766
1636988765155,2021-11-15T10:06:05.155,11.941,98877.648
1636988765291,2021-11-15T10:06:05.291,12.077,98875.523
1636988765428,2021-11-15T10:06:05.428,12.214,98874.188
1636988765562,2021-11-15T10:06:05.562,12.348,98881.656
1636988765699,2021-11-15T10:06:05.699,12.485,98878.766
1636988765833,2021-11-15T10:06:05.833,12.619,98876.500
1636988765970,2021-11-15T10:06:05.970,12.756,98883.172
1636988766106,2021-11-15T10:06:06.106,12.892,98877.836
1636988766241,2021-11-15T10:06:06.241,13.027,98876.313
1636988766377,2021-11-15T10:06:06.377,13.163,98876.859
