epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1650385597173,2022-04-19T12:26:37.173,0.000,0.000098187,0.000036063,-0.000010250
1650385597223,2022-04-19T12:26:37.223,0.050,0.000099625,0.000049875,-0.000011437
1650385597273,2022-04-19T12:26:37.273,0.100,0.000098937,0.000050250,-0.000011812
1650385597323,2022-04-19T12:26:37.323,0.150,0.000099625,0.000049500,-0.000011812
1650385597373,2022-04-19T12:26:37.373,0.200,0.000099312,0.000034938,-0.000011062
1650385597423,2022-04-19T12:26:37.423,0.250,0.000100375,0.000048062,-0.000011812
1650385597473,2022-04-19T12:26:37.473,0.300,0.000100375,0.000049875,-0.000011812
1650385597523,2022-04-19T12:26:37.523,0.350,0.000099312,0.000050250,-0.000010688
1650385597573,2022-04-19T12:26:37.573,0.400,0.000098563,0.000049125,-0.000012563
1650385597623,2022-04-19T12:26:37.623,0.450,0.000100000,0.000050250,-0.000011812
1650385597673,2022-04-19T12:26:37.673,0.500,0.000099625,0.000049125,-0.000012188
1650385597723,2022-04-19T12:26:37.723,0.550,0.000100750,0.000037875,-0.000011812
1650385597773,2022-04-19T12:26:37.773,0.600,0.000097813,0.000049500,-0.000012563
1650385597823,2022-04-19T12:26:37.823,0.650,0.000100000,0.000044063,-0.000011437
1650385597873,2022-04-19T12:26:37.873,0.700,0.000100375,0.000049875,-0.000012188
1650385597923,2022-04-19T12:26:37.923,0.750,0.000100000,0.000047313,-0.000012188
1650385597973,2022-04-19T12:26:37.973,0.800,0.000100000,0.000050250,-0.000011812
1650385598023,2022-04-19T12:26:38.023,0.850,0.000099312,0.000050250,-0.000011812
1650385598073,2022-04-19T12:26:38.073,0.900,0.000098937,0.000041875,-0.000010250
1650385598123,2022-04-19T12:26:38.123,0.950,0.000100375,0.000048750,-0.000011812
1650385598173,2022-04-19T12:26:38.173,1.000,0.000100000,0.000035687,-0.000009875
1650385598223,2022-04-19T12:26:38.223,1.050,0.000101125,0.000048813,-0.000012563
1650385598273,2022-04-19T12:26:38.273,1.100,0.000100750,0.000050625,-0.000013687
1650385598323,2022-04-19T12:26:38.323,1.150,0.000098937,0.000050937,-0.000011812
1650385598373,2022-04-19T12:26:38.373,1.200,0.000100750,0.000048813,-0.000011437
1650385598423,2022-04-19T12:26:38.423,1.250,0.000099625,0.000050250,-0.000012188
1650385598473,2022-04-19T12:26:38.473,1.300,0.000101500,0.000050250,-0.000011812
1650385598523,2022-04-19T12:26:38.523,1.350,0.000100000,0.000049875,-0.000011437
1650385598573,2022-04-19T12:26:38.573,1.400,0.000098937,0.000050250,-0.000014125
1650385598623,2022-04-19T12:26:38.623,1.450,0.000098187,0.000045125,-0.000012188
1650385598673,2022-04-19T12:26:38.673,1.500,0.000100000,0.000050250,-0.000012938
1650385598723,2022-04-19T12:26:38.723,1.550,0.000100750,0.000050250,-0.000013313
1650385598773,2022-04-19T12:26:38.773,1.600,0.000099312,0.000050937,-0.000011062
1650385598823,2022-04-19T12:26:38.823,1.650,0.000100375,0.000049875,-0.000011437
