epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1650900128869,2022-04-25T11:22:08.869,0.000,-0.000052062,-0.000015937,0.000088375
1650900128919,2022-04-25T11:22:08.919,0.050,-0.000053937,-0.000003312,0.000089125
1650900128969,2022-04-25T11:22:08.969,0.100,-0.000053563,-0.000004812,0.000088375
1650900129019,2022-04-25T11:22:09.019,0.150,-0.000054688,-0.000000312,0.000089188
1650900129069,2022-04-25T11:22:09.069,0.200,-0.000055812,-0.000001813,0.000088437
1650900129119,2022-04-25T11:22:09.119,0.250,-0.000052812,-0.000002562,0.000089188
1650900129169,2022-04-25T11:22:09.169,0.300,-0.000052437,-0.000001813,0.000087625
1650900129219,2022-04-25T11:22:09.219,0.350,-0.000053188,-0.000009250,0.000088437
1650900129269,2022-04-25T11:22:09.269,0.400,-0.000053188,-0.000003312,0.000087313
1650900129319,2022-04-25T11:22:09.319,0.450,-0.000052812,-0.000002562,0.000088812
1650900129369,2022-04-25T11:22:09.369,0.500,-0.000054312,-0.000000312,0.000088437
1650900129419,2022-04-25T11:22:09.419,0.550,-0.000054312,-0.000002938,0.000088437
1650900129469,2022-04-25T11:22:09.469,0.600,-0.000053188,-0.000002188,0.000088875
1650900129519,2022-04-25T11:22:09.519,0.650,-0.000053563,-0.000003312,0.000086125
1650900129569,2022-04-25T11:22:09.569,0.700,-0.000053188,-0.000003688,0.000088875
1650900129619,2022-04-25T11:22:09.619,0.750,-0.000053188,-0.000001063,0.000088437
1650900129669,2022-04-25T11:22:09.669,0.800,-0.000053937,-0.000000688,0.000088063
1650900129719,2022-04-25T11:22:09.719,0.850,-0.000053188,-0.000000688,0.000089188
1650900129769,2022-04-25T11:22:09.769,0.900,-0.000053563,-0.000000688,0.000088812
1650900129819,2022-04-25T11:22:09.819,0.950,-0.000053188,-0.000005563,0.000089625
1650900129869,2022-04-25T11:22:09.869,1.000,-0.000054312,0.000000375,0.000087687
1650900129919,2022-04-25T11:22:09.919,1.050,-0.000054312,-0.000004063,0.000087687
1650900129969,2022-04-25T11:22:09.969,1.100,-0.000055063,-0.000001813,0.000088437
1650900130019,2022-04-25T11:22:10.019,1.150,-0.000053937,-0.000004812,0.000086937
1650900130069,2022-04-25T11:22:10.069,1.200,-0.000053188,-0.000001813,0.000088063
1650900130119,2022-04-25T11:22:10.119,1.250,-0.000053188,-0.000008125,0.000086562
1650900130169,2022-04-25T11:22:10.169,1.300,-0.000053563,-0.000011500,0.000087687
1650900130219,2022-04-25T11:22:10.219,1.350,-0.000055063,-0.000004438,0.000088125
1650900130269,2022-04-25T11:22:10.269,1.400,-0.000053188,-0.000003688,0.000088125
1650900130319,2022-04-25T11:22:10.319,1.450,-0.000053937,-0.000002562,0.000089625
1650900130369,2022-04-25T11:22:10.369,1.500,-0.000055063,-0.000002188,0.000087687
1650900130419,2022-04-25T11:22:10.419,1.550,-0.000055063,-0.000014500,0.000089250
1650900130469,2022-04-25T11:22:10.469,1.600,-0.000054688,-0.000002188,0.000088063
1650900130519,2022-04-25T11:22:10.519,1.650,-0.000053563,-0.000002188,0.000089250
1650900130569,2022-04-25T11:22:10.569,1.700,-0.000054688,-0.000001063,0.000088500
1650900130619,2022-04-25T11:22:10.619,1.750,-0.000053188,-0.000001438,0.000087375
1650900130669,2022-04-25T11:22:10.669,1.800,-0.000052500,-0.000011500,0.000089250
1650900130719,2022-04-25T11:22:10.719,1.850,-0.000052500,-0.000002562,0.000088875
1650900130769,2022-04-25T11:22:10.769,1.900,-0.000054312,-0.000008875,0.000088500
1650900130819,2022-04-25T11:22:10.819,1.950,-0.000053937,-0.000001063,0.000088500
1650900130869,2022-04-25T11:22:10.869,2.000,-0.000054688,-0.000001813,0.000086562
1650900130919,2022-04-25T11:22:10.919,2.050,-0.000053563,-0.000003312,0.000088125
1650900130969,2022-04-25T11:22:10.969,2.100,-0.000052500,-0.000002188,0.000087687
1650900131019,2022-04-25T11:22:11.019,2.150,-0.000053563,-0.000004438,0.000088500
1650900131069,2022-04-25T11:22:11.069,2.200,-0.000053937,-0.000001063,0.000086188
1650900131119,2022-04-25T11:22:11.119,2.250,-0.000053563,-0.000001063,0.000087313
1650900131169,2022-04-25T11:22:11.169,2.300,-0.000053188,-0.000002188,0.000088875
1650900131219,2022-04-25T11:22:11.219,2.350,-0.000055063,-0.000004063,0.000086937
1650900131269,2022-04-25T11:22:11.269,2.400,-0.000052125,-0.000001438,0.000086562
1650900131319,2022-04-25T11:22:11.319,2.450,-0.000053188,-0.000003688,0.000086937
1650900131369,2022-04-25T11:22:11.369,2.500,-0.000052812,-0.000009250,0.000087313
1650900131419,2022-04-25T11:22:11.419,2.550,-0.000053563,-0.000001438,0.000086188
1650900131469,2022-04-25T11:22:11.469,2.600,-0.000054312,-0.000001438,0.000085438
1650900131519,2022-04-25T11:22:11.519,2.650,-0.000052812,-0.000001438,0.000087687
1650900131569,2022-04-25T11:22:11.569,2.700,-0.000053188,-0.000000688,0.000084625
1650900131619,2022-04-25T11:22:11.619,2.750,-0.000054312,-0.000002938,0.000086562
1650900131669,2022-04-25T11:22:11.669,2.800,-0.000055438,-0.000000688,0.000086562
1650900131719,2022-04-25T11:22:11.719,2.850,-0.000054312,-0.000001063,0.000086562
1650900131769,2022-04-25T11:22:11.769,2.900,-0.000055063,-0.000002188,0.000087375
1650900131819,2022-04-25T11:22:11.819,2.950,-0.000053563,-0.000002188,0.000087375
1650900131869,2022-04-25T11:22:11.869,3.000,-0.000053563,-0.000001438,0.000088125
1650900131919,2022-04-25T11:22:11.919,3.050,-0.000052125,-0.000003312,0.000087313
1650900131969,2022-04-25T11:22:11.969,3.100,-0.000053937,-0.000011500,0.000088125
1650900132019,2022-04-25T11:22:12.019,3.150,-0.000053563,-0.000008500,0.000089250
1650900132069,2022-04-25T11:22:12.069,3.200,-0.000055438,-0.000008500,0.000089250
1650900132119,2022-04-25T11:22:12.119,3.250,-0.000053188,-0.000003688,0.000090750
1650900132169,2022-04-25T11:22:12.169,3.300,-0.000052125,-0.000002938,0.000090437
1650900132219,2022-04-25T11:22:12.219,3.350,-0.000053937,-0.000002562,0.000091562
1650900132269,2022-04-25T11:22:12.269,3.400,-0.000053563,-0.000002938,0.000091188
1650900132319,2022-04-25T11:22:12.319,3.450,-0.000054312,-0.000001813,0.000091188
1650900132369,2022-04-25T11:22:12.369,3.500,-0.000053563,-0.000002562,0.000090813
1650900132419,2022-04-25T11:22:12.419,3.550,-0.000052812,-0.000003312,0.000091125
1650900132469,2022-04-25T11:22:12.469,3.600,-0.000053188,-0.000004063,0.000090750
1650900132519,2022-04-25T11:22:12.519,3.650,-0.000052812,-0.000001813,0.000090000
1650900132569,2022-04-25T11:22:12.569,3.700,-0.000053188,-0.000013375,0.000091562
1650900132619,2022-04-25T11:22:12.619,3.750,-0.000053937,-0.000002562,0.000091188
1650900132669,2022-04-25T11:22:12.669,3.800,-0.000052875,-0.000002188,0.000090813
1650900132719,2022-04-25T11:22:12.719,3.850,-0.000053563,-0.000001438,0.000090437
1650900132769,2022-04-25T11:22:12.769,3.900,-0.000053563,-0.000002188,0.000090000
1650900132819,2022-04-25T11:22:12.819,3.950,-0.000053188,-0.000002188,0.000090750
1650900132869,2022-04-25T11:22:12.869,4.000,-0.000053188,-0.000001438,0.000089625
1650900132919,2022-04-25T11:22:12.919,4.050,-0.000053563,-0.000002938,0.000089625
1650900132969,2022-04-25T11:22:12.969,4.100,-0.000055063,-0.000001813,0.000090750
1650900133019,2022-04-25T11:22:13.019,4.150,-0.000052875,-0.000000688,0.000090437
1650900133069,2022-04-25T11:22:13.069,4.200,-0.000053937,-0.000000688,0.000091188
1650900133119,2022-04-25T11:22:13.119,4.250,-0.000053563,-0.000003312,0.000088875
1650900133169,2022-04-25T11:22:13.169,4.300,-0.000052500,-0.000014500,0.000090813
1650900133219,2022-04-25T11:22:13.219,4.350,-0.000053937,-0.000001063,0.000089250
1650900133269,2022-04-25T11:22:13.269,4.400,-0.000053188,-0.000002562,0.000087687
1650900133319,2022-04-25T11:22:13.319,4.450,-0.000052875,-0.000001438,0.000090437
1650900133369,2022-04-25T11:22:13.369,4.500,-0.000053563,-0.000003688,0.000089250
1650900133419,2022-04-25T11:22:13.419,4.550,-0.000053937,-0.000001438,0.000090813
1650900133469,2022-04-25T11:22:13.469,4.600,-0.000053188,-0.000000688,0.000089625
1650900133519,2022-04-25T11:22:13.519,4.650,-0.000052500,-0.000002938,0.000091188
1650900133569,2022-04-25T11:22:13.569,4.700,-0.000051375,-0.000001438,0.000089625
1650900133619,2022-04-25T11:22:13.619,4.750,-0.000053563,-0.000001813,0.000088063
1650900133669,2022-04-25T11:22:13.669,4.800,-0.000052125,-0.000007437,0.000091562
1650900133719,2022-04-25T11:22:13.719,4.850,-0.000052875,-0.000003688,0.000088875
1650900133769,2022-04-25T11:22:13.769,4.900,-0.000053563,-0.000013750,0.000090813
1650900133819,2022-04-25T11:22:13.819,4.950,-0.000052875,-0.000007437,0.000090000
1650900133869,2022-04-25T11:22:13.869,5.000,-0.000053937,-0.000009625,0.000088437
1650900133919,2022-04-25T11:22:13.919,5.050,-0.000052812,-0.000004063,0.000089625
1650900133969,2022-04-25T11:22:13.969,5.100,-0.000054688,-0.000001438,0.000088125
1650900134019,2022-04-25T11:22:14.019,5.150,-0.000053188,-0.000000688,0.000089625
1650900134069,2022-04-25T11:22:14.069,5.200,-0.000053937,-0.000002562,0.000089625
1650900134119,2022-04-25T11:22:14.119,5.250,-0.000053188,-0.000001438,0.000089250
