epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1650900283755,2022-04-25T11:24:43.755,0.000,-4.878,2.073,10.976
1650900283765,2022-04-25T11:24:43.765,0.010,-5.549,2.134,11.890
1650900283775,2022-04-25T11:24:43.775,0.020,-6.280,2.256,13.902
1650900283785,2022-04-25T11:24:43.785,0.030,-7.744,2.866,17.073
1650900283795,2022-04-25T11:24:43.795,0.040,-9.451,3.354,20.244
1650900283805,2022-04-25T11:24:43.805,0.050,-11.098,3.171,23.720
1650900283815,2022-04-25T11:24:43.815,0.060,-12.561,2.317,27.561
1650900283825,2022-04-25T11:24:43.825,0.070,-13.476,0.854,31.220
1650900283835,2022-04-25T11:24:43.835,0.080,-14.329,-1.037,35.183
1650900283845,2022-04-25T11:24:43.845,0.090,-14.878,-2.988,39.329
1650900283855,2022-04-25T11:24:43.855,0.100,-15.305,-4.573,43.720
1650900283865,2022-04-25T11:24:43.865,0.110,-15.244,-5.976,47.988
1650900283875,2022-04-25T11:24:43.875,0.120,-15.183,-7.012,51.768
1650900283885,2022-04-25T11:24:43.885,0.130,-15.610,-7.500,54.817
1650900283895,2022-04-25T11:24:43.895,0.140,-16.098,-7.439,56.585
1650900283905,2022-04-25T11:24:43.905,0.150,-16.768,-6.463,56.585
1650900283915,2022-04-25T11:24:43.915,0.160,-16.890,-5.244,55.000
1650900283925,2022-04-25T11:24:43.925,0.170,-15.732,-4.329,51.890
1650900283935,2022-04-25T11:24:43.935,0.180,-15.061,-3.293,47.927
1650900283945,2022-04-25T11:24:43.945,0.190,-14.146,-2.378,43.659
1650900283955,2022-04-25T11:24:43.955,0.200,-12.866,-1.159,39.756
1650900283965,2022-04-25T11:24:43.965,0.210,-11.280,0.732,36.159
1650900283975,2022-04-25T11:24:43.975,0.220,-9.878,3.232,32.256
1650900283985,2022-04-25T11:24:43.985,0.230,-8.902,6.098,28.354
1650900283995,2022-04-25T11:24:43.995,0.240,-7.622,8.354,24.817
1650900284005,2022-04-25T11:24:44.005,0.250,-5.976,9.146,21.951
1650900284015,2022-04-25T11:24:44.015,0.260,-4.878,8.780,20.061
1650900284025,2022-04-25T11:24:44.025,0.270,-4.146,8.293,18.780
