epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1650900562910,2022-04-25T11:29:22.910,0.000,0.913,-0.207,0.030
1650900562920,2022-04-25T11:29:22.920,0.010,0.915,-0.208,0.030
1650900562930,2022-04-25T11:29:22.930,0.020,0.907,-0.208,0.029
1650900562940,2022-04-25T11:29:22.940,0.030,0.906,-0.204,0.028
1650900562950,2022-04-25T11:29:22.950,0.040,0.907,-0.201,0.029
1650900562960,2022-04-25T11:29:22.960,0.050,0.905,-0.205,0.028
1650900562970,2022-04-25T11:29:22.970,0.060,0.901,-0.208,0.030
1650900562980,2022-04-25T11:29:22.980,0.070,0.905,-0.210,0.029
1650900562990,2022-04-25T11:29:22.990,0.080,0.907,-0.213,0.026
1650900563000,2022-04-25T11:29:23.000,0.090,0.909,-0.216,0.030
1650900563010,2022-04-25T11:29:23.010,0.100,0.913,-0.218,0.027
1650900563020,2022-04-25T11:29:23.020,0.110,0.921,-0.216,0.021
1650900563030,2022-04-25T11:29:23.030,0.120,0.928,-0.218,0.022
1650900563040,2022-04-25T11:29:23.040,0.130,0.933,-0.217,0.020
1650900563050,2022-04-25T11:29:23.050,0.140,0.933,-0.217,0.020
1650900563060,2022-04-25T11:29:23.060,0.150,0.935,-0.212,0.019
1650900563070,2022-04-25T11:29:23.070,0.160,0.933,-0.208,0.014
1650900563080,2022-04-25T11:29:23.080,0.170,0.929,-0.207,0.014
1650900563090,2022-04-25T11:29:23.090,0.180,0.923,-0.205,0.013
1650900563100,2022-04-25T11:29:23.100,0.190,0.921,-0.204,0.018
1650900563110,2022-04-25T11:29:23.110,0.200,0.922,-0.204,0.021
1650900563120,2022-04-25T11:29:23.120,0.210,0.922,-0.204,0.017
1650900563130,2022-04-25T11:29:23.130,0.220,0.915,-0.204,0.017
1650900563140,2022-04-25T11:29:23.140,0.230,0.907,-0.204,0.022
1650900563150,2022-04-25T11:29:23.150,0.240,0.909,-0.202,0.022
1650900563160,2022-04-25T11:29:23.160,0.250,0.911,-0.202,0.021
1650900563170,2022-04-25T11:29:23.170,0.260,0.915,-0.203,0.020
1650900563180,2022-04-25T11:29:23.180,0.270,0.912,-0.202,0.023
1650900563190,2022-04-25T11:29:23.190,0.280,0.914,-0.205,0.022
1650900563200,2022-04-25T11:29:23.200,0.290,0.916,-0.205,0.025
1650900563210,2022-04-25T11:29:23.210,0.300,0.918,-0.202,0.030
1650900563220,2022-04-25T11:29:23.220,0.310,0.925,-0.206,0.028
1650900563230,2022-04-25T11:29:23.230,0.320,0.920,-0.211,0.028
1650900563240,2022-04-25T11:29:23.240,0.330,0.912,-0.211,0.026
1650900563250,2022-04-25T11:29:23.250,0.340,0.905,-0.216,0.024
1650900563260,2022-04-25T11:29:23.260,0.350,0.910,-0.229,0.023
1650900563270,2022-04-25T11:29:23.270,0.360,0.919,-0.237,0.026
1650900563280,2022-04-25T11:29:23.280,0.370,0.951,-0.251,0.029
1650900563290,2022-04-25T11:29:23.290,0.380,0.981,-0.280,0.042
1650900563300,2022-04-25T11:29:23.300,0.390,0.983,-0.301,0.044
1650900563310,2022-04-25T11:29:23.310,0.400,0.979,-0.298,0.050
1650900563320,2022-04-25T11:29:23.320,0.410,0.979,-0.301,0.048
1650900563330,2022-04-25T11:29:23.330,0.420,0.982,-0.295,0.045
1650900563340,2022-04-25T11:29:23.340,0.430,0.992,-0.282,0.044
1650900563350,2022-04-25T11:29:23.350,0.440,0.993,-0.269,0.045
1650900563360,2022-04-25T11:29:23.360,0.450,0.977,-0.259,0.038
1650900563370,2022-04-25T11:29:23.370,0.460,0.959,-0.236,0.037
1650900563380,2022-04-25T11:29:23.380,0.470,0.950,-0.213,0.039
1650900563390,2022-04-25T11:29:23.390,0.480,0.943,-0.190,0.035
1650900563400,2022-04-25T11:29:23.400,0.490,0.933,-0.162,0.029
1650900563410,2022-04-25T11:29:23.410,0.500,0.918,-0.136,0.022
1650900563420,2022-04-25T11:29:23.420,0.510,0.897,-0.110,0.022
1650900563430,2022-04-25T11:29:23.430,0.520,0.891,-0.083,0.034
1650900563440,2022-04-25T11:29:23.440,0.530,0.888,-0.074,0.037
1650900563450,2022-04-25T11:29:23.450,0.540,0.879,-0.063,0.037
1650900563460,2022-04-25T11:29:23.460,0.550,0.874,-0.027,0.047
1650900563470,2022-04-25T11:29:23.470,0.560,0.871,-0.007,0.048
1650900563480,2022-04-25T11:29:23.480,0.570,0.857,0.000,0.043
1650900563490,2022-04-25T11:29:23.490,0.580,0.845,0.014,0.047
1650900563500,2022-04-25T11:29:23.500,0.590,0.837,0.024,0.059
1650900563510,2022-04-25T11:29:23.510,0.600,0.837,0.025,0.059
