epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1650900562865,2022-04-25T11:29:22.865,0.000,98445.859
1650900562999,2022-04-25T11:29:22.999,0.134,98441.164
1650900563136,2022-04-25T11:29:23.136,0.271,98440.367
1650900563272,2022-04-25T11:29:23.272,0.407,98442.781
1650900563407,2022-04-25T11:29:23.407,0.542,98439.164
1650900563543,2022-04-25T11:29:23.543,0.678,98441.766
1650900563679,2022-04-25T11:29:23.679,0.814,98440.469
1650900563814,2022-04-25T11:29:23.814,0.949,98439.672
1650900563950,2022-04-25T11:29:23.950,1.085,98441.477
1650900564085,2022-04-25T11:29:24.085,1.220,98441.766
1650900564221,2022-04-25T11:29:24.221,1.356,98444.875
1650900564357,2022-04-25T11:29:24.357,1.492,98439.672
1650900564492,2022-04-25T11:29:24.492,1.627,98440.469
1650900564628,2022-04-25T11:29:24.628,1.763,98439.164
1650900564765,2022-04-25T11:29:24.765,1.900,98438.563
1650900564899,2022-04-25T11:29:24.899,2.034,98443.063
1650900565036,2022-04-25T11:29:25.036,2.171,98439.859
1650900565170,2022-04-25T11:29:25.170,2.305,98443.578
1650900565307,2022-04-25T11:29:25.307,2.442,98442.266
1650900565443,2022-04-25T11:29:25.443,2.578,98440.656
1650900565578,2022-04-25T11:29:25.578,2.713,98444.359
1650900565714,2022-04-25T11:29:25.714,2.849,98437.070
1650900565850,2022-04-25T11:29:25.850,2.985,98438.055
1650900565985,2022-04-25T11:29:25.985,3.120,98438.875
1650900566121,2022-04-25T11:29:26.121,3.256,98436.281
1650900566256,2022-04-25T11:29:26.256,3.391,98440.969
1650900566392,2022-04-25T11:29:26.392,3.527,98444.078
1650900566528,2022-04-25T11:29:26.528,3.663,98443.578
1650900566663,2022-04-25T11:29:26.663,3.798,98442.781
1650900566799,2022-04-25T11:29:26.799,3.934,98443.250
1650900566935,2022-04-25T11:29:26.935,4.070,98436.281
1650900567070,2022-04-25T11:29:27.070,4.205,98449.563
1650900567206,2022-04-25T11:29:27.206,4.341,98440.844
1650900567343,2022-04-25T11:29:27.343,4.478,98438.055
1650900567477,2022-04-25T11:29:27.477,4.612,98440.656
1650900567614,2022-04-25T11:29:27.614,4.749,98438.055
1650900567748,2022-04-25T11:29:27.748,4.883,98443.063
1650900567885,2022-04-25T11:29:27.885,5.020,98434.969
1650900568021,2022-04-25T11:29:28.021,5.156,98441.766
