epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1635778644638,2021-11-01T10:57:24.638,0.000,99396.484
1635778644774,2021-11-01T10:57:24.774,0.136,99389.781
1635778644911,2021-11-01T10:57:24.911,0.273,99391.875
1635778645045,2021-11-01T10:57:25.045,0.407,99392.648
1635778645182,2021-11-01T10:57:25.182,0.544,99396.664
1635778645316,2021-11-01T10:57:25.316,0.678,99394.781
1635778645453,2021-11-01T10:57:25.453,0.815,99399.164
1635778645589,2021-11-01T10:57:25.589,0.951,99393.984
1635778645724,2021-11-01T10:57:25.724,1.086,99396.117
1635778645860,2021-11-01T10:57:25.860,1.222,99390.547
1635778645996,2021-11-01T10:57:25.996,1.358,99397.461
1635778646131,2021-11-01T10:57:26.131,1.493,99397.461
1635778646267,2021-11-01T10:57:26.267,1.629,99397.461
1635778646402,2021-11-01T10:57:26.402,1.764,99396.117
1635778646538,2021-11-01T10:57:26.538,1.900,99396.664
1635778646674,2021-11-01T10:57:26.674,2.036,99395.547
1635778646811,2021-11-01T10:57:26.811,2.173,99396.875
1635778646945,2021-11-01T10:57:26.945,2.307,99400.906
1635778647082,2021-11-01T10:57:27.082,2.444,99398.797
1635778647216,2021-11-01T10:57:27.216,2.578,99398.219
1635778647353,2021-11-01T10:57:27.353,2.715,99402.250
1635778647489,2021-11-01T10:57:27.489,2.851,99410.289
1635778647624,2021-11-01T10:57:27.624,2.986,99400.141
1635778647760,2021-11-01T10:57:27.760,3.122,99402.820
1635778647896,2021-11-01T10:57:27.896,3.258,99396.117
1635778648031,2021-11-01T10:57:28.031,3.393,99394.781
1635778648167,2021-11-01T10:57:28.167,3.529,99401.664
1635778648302,2021-11-01T10:57:28.302,3.664,99397.461
1635778648438,2021-11-01T10:57:28.438,3.800,99392.648
1635778648574,2021-11-01T10:57:28.574,3.936,99392.281
1635778648709,2021-11-01T10:57:28.709,4.071,99393.625
1635778648845,2021-11-01T10:57:28.845,4.207,99395.547
1635778648981,2021-11-01T10:57:28.981,4.343,99389.414
1635778649116,2021-11-01T10:57:29.116,4.478,99392.859
1635778649252,2021-11-01T10:57:29.252,4.614,99395.547
1635778649389,2021-11-01T10:57:29.389,4.751,99398.984
1635778649523,2021-11-01T10:57:29.523,4.885,99390.758
1635778649660,2021-11-01T10:57:29.660,5.022,99397.461
1635778649796,2021-11-01T10:57:29.796,5.158,99392.281
1635778649931,2021-11-01T10:57:29.931,5.293,99396.516
1635778650067,2021-11-01T10:57:30.067,5.429,99394.961
1635778650203,2021-11-01T10:57:30.203,5.565,99397.641
1635778650338,2021-11-01T10:57:30.338,5.700,99392.281
1635778650474,2021-11-01T10:57:30.474,5.836,99395.547
1635778650609,2021-11-01T10:57:30.609,5.971,99392.281
1635778650745,2021-11-01T10:57:30.745,6.107,99394.961
1635778650881,2021-11-01T10:57:30.881,6.243,99391.516
1635778651018,2021-11-01T10:57:31.018,6.380,99401.875
1635778651152,2021-11-01T10:57:31.152,6.514,99399.781
1635778651289,2021-11-01T10:57:31.289,6.651,99394.961
1635778651423,2021-11-01T10:57:31.423,6.785,99393.438
1635778651560,2021-11-01T10:57:31.560,6.922,99396.305
1635778651696,2021-11-01T10:57:31.696,7.058,99393.836
1635778651831,2021-11-01T10:57:31.831,7.193,99393.078
1635778651967,2021-11-01T10:57:31.967,7.329,99393.836
1635778652102,2021-11-01T10:57:32.102,7.464,99398.438
1635778652238,2021-11-01T10:57:32.238,7.600,99398.984
1635778652374,2021-11-01T10:57:32.374,7.736,99393.625
1635778652509,2021-11-01T10:57:32.509,7.871,99397.859
1635778652645,2021-11-01T10:57:32.645,8.007,99394.961
1635778652781,2021-11-01T10:57:32.781,8.143,99397.094
1635778652916,2021-11-01T10:57:32.916,8.278,99399.203
1635778653052,2021-11-01T10:57:33.052,8.414,99397.859
1635778653189,2021-11-01T10:57:33.189,8.551,99395.750
1635778653323,2021-11-01T10:57:33.323,8.685,99393.625
1635778653460,2021-11-01T10:57:33.460,8.822,99397.859
1635778653594,2021-11-01T10:57:33.594,8.956,99396.734
1635778653731,2021-11-01T10:57:33.731,9.093,99393.078
1635778653867,2021-11-01T10:57:33.867,9.229,99400.539
1635778654002,2021-11-01T10:57:34.002,9.364,99392.492
1635778654138,2021-11-01T10:57:34.138,9.500,99393.836
1635778654274,2021-11-01T10:57:34.274,9.636,99393.078
1635778654409,2021-11-01T10:57:34.409,9.771,99392.492
1635778654545,2021-11-01T10:57:34.545,9.907,99397.859
1635778654681,2021-11-01T10:57:34.681,10.043,99396.516
1635778654816,2021-11-01T10:57:34.816,10.178,99403.219
1635778654952,2021-11-01T10:57:34.952,10.314,99398.984
1635778655088,2021-11-01T10:57:35.088,10.450,99401.117
1635778655223,2021-11-01T10:57:35.223,10.585,99401.336
1635778655359,2021-11-01T10:57:35.359,10.721,99403.797
1635778655494,2021-11-01T10:57:35.494,10.856,99403.797
1635778655630,2021-11-01T10:57:35.630,10.992,99401.336
1635778655767,2021-11-01T10:57:35.767,11.129,99404.016
1635778655901,2021-11-01T10:57:35.901,11.263,99403.219
1635778656038,2021-11-01T10:57:36.038,11.400,99399.203
1635778656174,2021-11-01T10:57:36.174,11.536,99399.406
1635778656309,2021-11-01T10:57:36.309,11.671,99391.156
1635778656445,2021-11-01T10:57:36.445,11.807,99395.180
1635778656580,2021-11-01T10:57:36.580,11.942,99395.180
1635778656716,2021-11-01T10:57:36.716,12.078,99397.859
1635778656852,2021-11-01T10:57:36.852,12.214,99394.047
1635778656987,2021-11-01T10:57:36.987,12.349,99392.703
1635778657123,2021-11-01T10:57:37.123,12.485,99395.180
1635778657259,2021-11-01T10:57:37.259,12.621,99396.156
1635778657394,2021-11-01T10:57:37.394,12.756,99390.789
1635778657530,2021-11-01T10:57:37.530,12.892,99398.078
1635778657667,2021-11-01T10:57:37.667,13.029,99390.609
1635778657801,2021-11-01T10:57:37.801,13.163,99392.492
1635778657938,2021-11-01T10:57:37.938,13.300,99392.703
1635778658074,2021-11-01T10:57:38.074,13.436,99391.367
1635778658209,2021-11-01T10:57:38.209,13.571,99393.289
1635778658345,2021-11-01T10:57:38.345,13.707,99394.266
1635778658480,2021-11-01T10:57:38.480,13.842,99390.031
1635778658616,2021-11-01T10:57:38.616,13.978,99395.391
1635778658752,2021-11-01T10:57:38.752,14.114,99396.945
1635778658887,2021-11-01T10:57:38.887,14.249,99392.703
1635778659023,2021-11-01T10:57:39.023,14.385,99391.156
1635778659159,2021-11-01T10:57:39.159,14.521,99396.156
1635778659294,2021-11-01T10:57:39.294,14.656,99394.047
1635778659430,2021-11-01T10:57:39.430,14.792,99395.391
1635778659565,2021-11-01T10:57:39.565,14.927,99395.609
1635778659701,2021-11-01T10:57:39.701,15.063,99389.813
1635778659837,2021-11-01T10:57:39.837,15.199,99391.367
1635778659974,2021-11-01T10:57:39.974,15.336,99392.703
1635778660108,2021-11-01T10:57:40.108,15.470,99396.156
1635778660245,2021-11-01T10:57:40.245,15.607,99395.391
1635778660381,2021-11-01T10:57:40.381,15.743,99396.734
1635778660516,2021-11-01T10:57:40.516,15.878,99398.281
1635778660652,2021-11-01T10:57:40.652,16.014,99396.156
1635778660787,2021-11-01T10:57:40.787,16.149,99391.578
1635778660923,2021-11-01T10:57:40.923,16.285,99396.734
1635778661059,2021-11-01T10:57:41.059,16.421,99395.391
1635778661194,2021-11-01T10:57:41.194,16.556,99400.172
1635778661330,2021-11-01T10:57:41.330,16.692,99395.391
1635778661466,2021-11-01T10:57:41.466,16.828,99393.836
1635778661601,2021-11-01T10:57:41.601,16.963,99390.031
1635778661737,2021-11-01T10:57:41.737,17.099,99391.367
1635778661872,2021-11-01T10:57:41.872,17.234,99392.922
1635778662008,2021-11-01T10:57:42.008,17.370,99396.734
1635778662145,2021-11-01T10:57:42.145,17.507,99397.492
1635778662279,2021-11-01T10:57:42.279,17.641,99394.047
1635778662416,2021-11-01T10:57:42.416,17.778,99394.813
1635778662552,2021-11-01T10:57:42.552,17.914,99398.078
1635778662687,2021-11-01T10:57:42.687,18.049,99394.047
1635778662823,2021-11-01T10:57:42.823,18.185,99401.516
1635778662959,2021-11-01T10:57:42.959,18.321,99398.281
1635778663094,2021-11-01T10:57:43.094,18.456,99406.328
1635778663230,2021-11-01T10:57:43.230,18.592,99401.516
1635778663365,2021-11-01T10:57:43.365,18.727,99403.648
1635778663501,2021-11-01T10:57:43.501,18.863,99404.781
1635778663637,2021-11-01T10:57:43.637,18.999,99406.117
1635778663772,2021-11-01T10:57:43.772,19.134,99407.672
1635778663908,2021-11-01T10:57:43.908,19.270,99403.070
1635778664044,2021-11-01T10:57:44.044,19.406,99404.406
1635778664179,2021-11-01T10:57:44.179,19.541,99399.625
1635778664315,2021-11-01T10:57:44.315,19.677,99398.836
1635778664452,2021-11-01T10:57:44.452,19.814,99398.078
1635778664586,2021-11-01T10:57:44.586,19.948,99400.969
1635778664723,2021-11-01T10:57:44.723,20.085,99394.047
1635778664857,2021-11-01T10:57:44.857,20.219,99392.922
1635778664994,2021-11-01T10:57:44.994,20.356,99395.391
1635778665130,2021-11-01T10:57:45.130,20.492,99392.703
1635778665265,2021-11-01T10:57:45.265,20.627,99396.945
1635778665401,2021-11-01T10:57:45.401,20.763,99395.023
1635778665537,2021-11-01T10:57:45.537,20.899,99400.969
1635778665672,2021-11-01T10:57:45.672,21.034,99394.813
1635778665808,2021-11-01T10:57:45.808,21.170,99396.945
1635778665943,2021-11-01T10:57:45.943,21.305,99394.813
1635778666079,2021-11-01T10:57:46.079,21.441,99391.578
1635778666215,2021-11-01T10:57:46.215,21.577,99388.906
1635778666350,2021-11-01T10:57:46.350,21.712,99391.000
1635778666486,2021-11-01T10:57:46.486,21.848,99390.234
1635778666623,2021-11-01T10:57:46.623,21.985,99389.664
1635778666757,2021-11-01T10:57:46.757,22.119,99392.125
1635778666894,2021-11-01T10:57:46.894,22.256,99392.703
1635778667030,2021-11-01T10:57:47.030,22.392,99391.578
1635778667165,2021-11-01T10:57:47.165,22.527,99395.023
1635778667301,2021-11-01T10:57:47.301,22.663,99397.125
1635778667436,2021-11-01T10:57:47.436,22.798,99390.789
1635778667572,2021-11-01T10:57:47.572,22.934,99396.367
1635778667708,2021-11-01T10:57:47.708,23.070,99393.688
1635778667843,2021-11-01T10:57:47.843,23.205,99391.578
1635778667979,2021-11-01T10:57:47.979,23.341,99397.125
1635778668115,2021-11-01T10:57:48.115,23.477,99390.234
1635778668250,2021-11-01T10:57:48.250,23.612,99395.781
1635778668386,2021-11-01T10:57:48.386,23.748,99393.688
1635778668521,2021-11-01T10:57:48.521,23.883,99394.453
1635778668659,2021-11-01T10:57:48.659,24.021,99392.922
1635778668794,2021-11-01T10:57:48.794,24.156,99394.453
1635778668928,2021-11-01T10:57:48.928,24.290,99394.266
1635778669065,2021-11-01T10:57:49.065,24.427,99392.344
1635778669201,2021-11-01T10:57:49.201,24.563,99391.578
1635778669336,2021-11-01T10:57:49.336,24.698,99392.922
1635778669472,2021-11-01T10:57:49.472,24.834,99395.609
1635778669608,2021-11-01T10:57:49.608,24.970,99391.578
1635778669743,2021-11-01T10:57:49.743,25.105,99395.023
1635778669879,2021-11-01T10:57:49.879,25.241,99396.156
1635778670014,2021-11-01T10:57:50.014,25.376,99393.688
1635778670150,2021-11-01T10:57:50.150,25.512,99393.688
1635778670286,2021-11-01T10:57:50.286,25.648,99394.453
1635778670421,2021-11-01T10:57:50.421,25.783,99391.000
1635778670557,2021-11-01T10:57:50.557,25.919,99392.922
1635778670693,2021-11-01T10:57:50.693,26.055,99396.367
1635778670828,2021-11-01T10:57:50.828,26.190,99398.469
1635778670964,2021-11-01T10:57:50.964,26.326,99393.898
1635778671101,2021-11-01T10:57:51.101,26.463,99398.469
1635778671235,2021-11-01T10:57:51.235,26.597,99400.609
1635778671372,2021-11-01T10:57:51.372,26.734,99399.813
1635778671506,2021-11-01T10:57:51.506,26.868,99394.453
1635778671643,2021-11-01T10:57:51.643,27.005,99400.969
1635778671779,2021-11-01T10:57:51.779,27.141,99401.156
1635778671914,2021-11-01T10:57:51.914,27.276,99403.070
1635778672050,2021-11-01T10:57:52.050,27.412,99402.313
1635778672186,2021-11-01T10:57:52.186,27.548,99404.406
1635778672321,2021-11-01T10:57:52.321,27.683,99404.406
1635778672457,2021-11-01T10:57:52.457,27.819,99405.172
1635778672593,2021-11-01T10:57:52.593,27.955,99405.969
1635778672728,2021-11-01T10:57:52.728,28.090,99406.516
1635778672864,2021-11-01T10:57:52.864,28.226,99402.492
1635778673001,2021-11-01T10:57:53.001,28.363,99401.156
1635778673135,2021-11-01T10:57:53.135,28.497,99395.781
1635778673272,2021-11-01T10:57:53.272,28.634,99398.469
1635778673406,2021-11-01T10:57:53.406,28.768,99400.609
1635778673543,2021-11-01T10:57:53.543,28.905,99398.680
1635778673679,2021-11-01T10:57:53.679,29.041,99398.469
1635778673814,2021-11-01T10:57:53.814,29.176,99391.219
1635778673950,2021-11-01T10:57:53.950,29.312,99399.266
1635778674085,2021-11-01T10:57:54.085,29.447,99397.703
1635778674221,2021-11-01T10:57:54.221,29.583,99395.234
1635778674357,2021-11-01T10:57:54.357,29.719,99401.000
1635778674492,2021-11-01T10:57:54.492,29.854,99396.578
1635778674628,2021-11-01T10:57:54.628,29.990,99393.898
1635778674764,2021-11-01T10:57:54.764,30.126,99395.234
1635778674899,2021-11-01T10:57:54.899,30.261,99400.023
1635778675035,2021-11-01T10:57:55.035,30.397,99400.422
1635778675170,2021-11-01T10:57:55.170,30.532,99394.664
1635778675306,2021-11-01T10:57:55.306,30.668,99397.922
1635778675442,2021-11-01T10:57:55.442,30.804,99399.266
1635778675577,2021-11-01T10:57:55.577,30.939,99393.320
1635778675713,2021-11-01T10:57:55.713,31.075,99393.320
1635778675850,2021-11-01T10:57:55.850,31.212,99395.234
1635778675986,2021-11-01T10:57:55.986,31.348,99391.219
1635778676121,2021-11-01T10:57:56.121,31.483,99396.000
1635778676257,2021-11-01T10:57:56.257,31.619,99393.320
1635778676392,2021-11-01T10:57:56.392,31.754,99400.422
1635778676528,2021-11-01T10:57:56.528,31.890,99400.422
1635778676664,2021-11-01T10:57:56.664,32.026,99397.188
1635778676799,2021-11-01T10:57:56.799,32.161,99392.953
1635778676935,2021-11-01T10:57:56.935,32.297,99397.734
1635778677070,2021-11-01T10:57:57.070,32.432,99395.852
1635778677206,2021-11-01T10:57:57.206,32.568,99401.766
1635778677342,2021-11-01T10:57:57.342,32.704,99401.219
1635778677479,2021-11-01T10:57:57.479,32.841,99401.766
1635778677613,2021-11-01T10:57:57.613,32.975,99395.234
1635778677750,2021-11-01T10:57:57.750,33.112,99396.977
1635778677884,2021-11-01T10:57:57.884,33.246,99394.664
1635778678021,2021-11-01T10:57:58.021,33.383,99395.422
1635778678157,2021-11-01T10:57:58.157,33.519,99398.320
1635778678292,2021-11-01T10:57:58.292,33.654,99400.422
1635778678428,2021-11-01T10:57:58.428,33.790,99390.063
1635778678564,2021-11-01T10:57:58.564,33.926,99401.766
1635778678699,2021-11-01T10:57:58.699,34.061,99401.219
1635778678835,2021-11-01T10:57:58.835,34.197,99403.109
1635778678970,2021-11-01T10:57:58.970,34.332,99402.555
1635778679106,2021-11-01T10:57:59.106,34.468,99407.125
1635778679242,2021-11-01T10:57:59.242,34.604,99407.125
1635778679377,2021-11-01T10:57:59.377,34.739,99402.125
1635778679513,2021-11-01T10:57:59.513,34.875,99407.922
1635778679649,2021-11-01T10:57:59.649,35.011,99405.781
1635778679784,2021-11-01T10:57:59.784,35.146,99403.109
1635778679920,2021-11-01T10:57:59.920,35.282,99406.000
1635778680057,2021-11-01T10:58:00.057,35.419,99399.078
1635778680191,2021-11-01T10:58:00.191,35.553,99399.656
1635778680328,2021-11-01T10:58:00.328,35.690,99395.852
1635778680462,2021-11-01T10:58:00.462,35.824,99398.531
1635778680599,2021-11-01T10:58:00.599,35.961,99398.531
1635778680735,2021-11-01T10:58:00.735,36.097,99401.219
1635778680870,2021-11-01T10:58:00.870,36.232,99396.398
1635778681006,2021-11-01T10:58:01.006,36.368,99397.953
1635778681142,2021-11-01T10:58:01.142,36.504,99395.422
1635778681277,2021-11-01T10:58:01.277,36.639,99397.734
1635778681413,2021-11-01T10:58:01.413,36.775,99400.641
1635778681549,2021-11-01T10:58:01.549,36.911,99398.531
1635778681684,2021-11-01T10:58:01.684,37.046,99396.000
1635778681820,2021-11-01T10:58:01.820,37.182,99393.320
1635778681957,2021-11-01T10:58:01.957,37.319,99395.422
1635778682091,2021-11-01T10:58:02.091,37.453,99394.508
1635778682228,2021-11-01T10:58:02.228,37.590,99395.852
1635778682362,2021-11-01T10:58:02.362,37.724,99398.531
1635778682499,2021-11-01T10:58:02.499,37.861,99399.078
1635778682635,2021-11-01T10:58:02.635,37.997,99395.063
1635778682771,2021-11-01T10:58:02.771,38.133,99395.063
1635778682906,2021-11-01T10:58:02.906,38.268,99403.898
1635778683042,2021-11-01T10:58:03.042,38.404,99399.297
1635778683177,2021-11-01T10:58:03.177,38.539,99395.852
1635778683313,2021-11-01T10:58:03.313,38.675,99397.953
1635778683449,2021-11-01T10:58:03.449,38.811,99393.938
1635778683584,2021-11-01T10:58:03.584,38.946,99400.641
1635778683720,2021-11-01T10:58:03.720,39.082,99393.938
1635778683856,2021-11-01T10:58:03.856,39.218,99401.398
1635778683991,2021-11-01T10:58:03.991,39.353,99396.609
1635778684127,2021-11-01T10:58:04.127,39.489,99393.938
1635778684262,2021-11-01T10:58:04.262,39.624,99394.297
1635778684398,2021-11-01T10:58:04.398,39.760,99394.508
1635778684535,2021-11-01T10:58:04.535,39.897,99400.641
1635778684669,2021-11-01T10:58:04.669,40.031,99395.063
1635778684806,2021-11-01T10:58:04.806,40.168,99392.375
1635778684942,2021-11-01T10:58:04.942,40.304,99395.266
1635778685077,2021-11-01T10:58:05.077,40.439,99397.953
1635778685213,2021-11-01T10:58:05.213,40.575,99393.938
1635778685349,2021-11-01T10:58:05.349,40.711,99393.938
1635778685484,2021-11-01T10:58:05.484,40.846,99399.078
1635778685620,2021-11-01T10:58:05.620,40.982,99398.531
1635778685755,2021-11-01T10:58:05.755,41.117,99395.266
1635778685891,2021-11-01T10:58:05.891,41.253,99398.719
1635778686027,2021-11-01T10:58:06.027,41.389,99406.000
1635778686162,2021-11-01T10:58:06.162,41.524,99399.078
1635778686298,2021-11-01T10:58:06.298,41.660,99410.023
1635778686435,2021-11-01T10:58:06.435,41.797,99406.000
1635778686569,2021-11-01T10:58:06.569,41.931,99407.344
1635778686706,2021-11-01T10:58:06.706,42.068,99405.422
1635778686842,2021-11-01T10:58:06.842,42.204,99407.344
1635778686977,2021-11-01T10:58:06.977,42.339,99408.680
1635778687113,2021-11-01T10:58:07.113,42.475,99402.734
1635778687248,2021-11-01T10:58:07.248,42.610,99409.445
1635778687384,2021-11-01T10:58:07.384,42.746,99404.078
1635778687520,2021-11-01T10:58:07.520,42.882,99399.297
1635778687655,2021-11-01T10:58:07.655,43.017,99402.188
1635778687791,2021-11-01T10:58:07.791,43.153,99396.609
