epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1646069725465,2022-02-28T12:35:25.465,0.000,0.854,0.305,-1.037
1646069725475,2022-02-28T12:35:25.475,0.010,0.488,0.732,-1.402
1646069725485,2022-02-28T12:35:25.485,0.020,-0.244,0.427,-0.732
1646069725495,2022-02-28T12:35:25.495,0.030,-0.244,0.427,-0.610
1646069725505,2022-02-28T12:35:25.505,0.040,0.000,0.549,-0.427
1646069725515,2022-02-28T12:35:25.515,0.050,-0.244,0.549,-0.183
1646069725525,2022-02-28T12:35:25.525,0.060,-0.244,0.488,0.122
1646069725535,2022-02-28T12:35:25.535,0.070,-0.305,0.427,0.183
1646069725545,2022-02-28T12:35:25.545,0.080,-0.427,0.488,0.244
1646069725555,2022-02-28T12:35:25.555,0.090,-0.427,0.366,0.366
1646069725565,2022-02-28T12:35:25.565,0.100,-0.427,0.366,0.183
1646069725575,2022-02-28T12:35:25.575,0.110,-0.549,0.366,-0.122
1646069725585,2022-02-28T12:35:25.585,0.120,-0.671,0.183,-0.488
1646069725595,2022-02-28T12:35:25.595,0.130,-0.732,0.122,-0.732
1646069725605,2022-02-28T12:35:25.605,0.140,-0.793,0.061,-0.976
1646069725615,2022-02-28T12:35:25.615,0.150,-0.610,0.000,-1.220
1646069725625,2022-02-28T12:35:25.625,0.160,-0.427,0.122,-1.402
1646069725635,2022-02-28T12:35:25.635,0.170,-0.366,0.244,-1.463
1646069725645,2022-02-28T12:35:25.645,0.180,-0.427,0.366,-1.707
1646069725655,2022-02-28T12:35:25.655,0.190,-0.610,0.488,-1.829
1646069725665,2022-02-28T12:35:25.665,0.200,-0.671,0.732,-1.829
1646069725675,2022-02-28T12:35:25.675,0.210,-0.366,0.976,-1.707
1646069725685,2022-02-28T12:35:25.685,0.220,-0.305,0.915,-1.646
1646069725695,2022-02-28T12:35:25.695,0.230,-1.463,0.915,-2.073
1646069725705,2022-02-28T12:35:25.705,0.240,-2.012,0.976,-2.439
1646069725715,2022-02-28T12:35:25.715,0.250,-0.793,1.280,-2.439
1646069725725,2022-02-28T12:35:25.725,0.260,0.305,1.341,-2.378
1646069725735,2022-02-28T12:35:25.735,0.270,-0.122,1.341,-2.561
1646069725745,2022-02-28T12:35:25.745,0.280,-0.244,1.220,-2.622
1646069725755,2022-02-28T12:35:25.755,0.290,0.061,1.098,-2.561
1646069725765,2022-02-28T12:35:25.765,0.300,-0.244,0.915,-2.500
1646069725775,2022-02-28T12:35:25.775,0.310,-0.732,0.793,-2.500
1646069725785,2022-02-28T12:35:25.785,0.320,-0.549,0.671,-2.256
1646069725795,2022-02-28T12:35:25.795,0.330,0.000,0.732,-2.134
1646069725805,2022-02-28T12:35:25.805,0.340,0.061,0.732,-1.951
1646069725815,2022-02-28T12:35:25.815,0.350,-0.061,0.732,-1.829
1646069725825,2022-02-28T12:35:25.825,0.360,0.000,0.793,-1.768
1646069725835,2022-02-28T12:35:25.835,0.370,0.000,0.915,-1.768
1646069725845,2022-02-28T12:35:25.845,0.380,-0.183,0.976,-1.829
1646069725855,2022-02-28T12:35:25.855,0.390,-0.183,1.098,-1.768
1646069725865,2022-02-28T12:35:25.865,0.400,-0.122,1.098,-1.768
1646069725875,2022-02-28T12:35:25.875,0.410,-0.183,1.098,-1.707
1646069725885,2022-02-28T12:35:25.885,0.420,-0.244,0.976,-1.463
1646069725895,2022-02-28T12:35:25.895,0.430,-0.305,1.037,-1.402
1646069725905,2022-02-28T12:35:25.905,0.440,-0.244,0.976,-1.402
1646069725915,2022-02-28T12:35:25.915,0.450,-0.305,0.915,-1.280
1646069725925,2022-02-28T12:35:25.925,0.460,-0.183,0.793,-1.280
1646069725935,2022-02-28T12:35:25.935,0.470,-0.244,0.793,-1.220
1646069725945,2022-02-28T12:35:25.945,0.480,-0.244,0.732,-1.159
1646069725955,2022-02-28T12:35:25.955,0.490,-0.061,0.610,-1.159
1646069725965,2022-02-28T12:35:25.965,0.500,-0.305,0.610,-1.159
1646069725975,2022-02-28T12:35:25.975,0.510,-0.671,0.427,-1.280
1646069725985,2022-02-28T12:35:25.985,0.520,-0.610,0.244,-1.159
1646069725995,2022-02-28T12:35:25.995,0.530,-0.427,0.122,-1.098
1646069726005,2022-02-28T12:35:26.005,0.540,-0.549,0.061,-1.037
1646069726015,2022-02-28T12:35:26.015,0.550,-0.610,0.061,-1.037
1646069726025,2022-02-28T12:35:26.025,0.560,-0.610,-0.122,-0.976
1646069726035,2022-02-28T12:35:26.035,0.570,-0.793,-0.122,-1.037
1646069726045,2022-02-28T12:35:26.045,0.580,-0.793,0.000,-1.159
1646069726055,2022-02-28T12:35:26.055,0.590,-0.427,0.061,-1.159
1646069726065,2022-02-28T12:35:26.065,0.600,0.000,0.244,-1.159
1646069726075,2022-02-28T12:35:26.075,0.610,0.427,0.549,-1.159
1646069726085,2022-02-28T12:35:26.085,0.620,0.549,0.793,-1.098
1646069726095,2022-02-28T12:35:26.095,0.630,0.549,0.976,-1.159
1646069726105,2022-02-28T12:35:26.105,0.640,0.610,1.159,-1.220
1646069726115,2022-02-28T12:35:26.115,0.650,0.427,1.220,-1.280
1646069726125,2022-02-28T12:35:26.125,0.660,0.183,1.341,-1.220
1646069726135,2022-02-28T12:35:26.135,0.670,0.305,1.524,-1.280
1646069726145,2022-02-28T12:35:26.145,0.680,0.244,1.585,-1.220
1646069726155,2022-02-28T12:35:26.155,0.690,-0.244,1.402,-1.159
1646069726165,2022-02-28T12:35:26.165,0.700,-0.244,1.463,-0.976
1646069726175,2022-02-28T12:35:26.175,0.710,0.122,1.463,-0.732
1646069726185,2022-02-28T12:35:26.185,0.720,-0.122,1.220,-0.671
1646069726195,2022-02-28T12:35:26.195,0.730,-0.427,0.915,-0.793
1646069726205,2022-02-28T12:35:26.205,0.740,-0.183,0.610,-0.732
1646069726215,2022-02-28T12:35:26.215,0.750,-0.061,0.305,-0.671
1646069726225,2022-02-28T12:35:26.225,0.760,-0.122,0.000,-0.610
1646069726235,2022-02-28T12:35:26.235,0.770,0.061,-0.366,-0.671
1646069726245,2022-02-28T12:35:26.245,0.780,-0.427,-0.488,-0.854
1646069726255,2022-02-28T12:35:26.255,0.790,-0.793,-0.427,-0.976
1646069726265,2022-02-28T12:35:26.265,0.800,0.427,-0.366,-0.732
1646069726275,2022-02-28T12:35:26.275,0.810,1.707,-0.183,-0.244
1646069726285,2022-02-28T12:35:26.285,0.820,1.037,-0.122,-0.183
1646069726295,2022-02-28T12:35:26.295,0.830,0.122,0.122,0.000
1646069726305,2022-02-28T12:35:26.305,0.840,0.061,0.244,0.244
1646069726315,2022-02-28T12:35:26.315,0.850,0.000,0.488,0.427
1646069726325,2022-02-28T12:35:26.325,0.860,-0.305,0.610,0.671
1646069726335,2022-02-28T12:35:26.335,0.870,-0.244,0.793,0.976
1646069726345,2022-02-28T12:35:26.345,0.880,-0.183,0.854,1.159
1646069726355,2022-02-28T12:35:26.355,0.890,-0.488,0.854,1.037
1646069726365,2022-02-28T12:35:26.365,0.900,-0.549,0.854,0.976
1646069726375,2022-02-28T12:35:26.375,0.910,-0.244,0.793,0.854
1646069726385,2022-02-28T12:35:26.385,0.920,-0.183,0.732,0.671
1646069726395,2022-02-28T12:35:26.395,0.930,-0.610,0.549,0.244
1646069726405,2022-02-28T12:35:26.405,0.940,-0.854,0.305,-0.061
1646069726415,2022-02-28T12:35:26.415,0.950,-0.671,0.122,-0.244
1646069726425,2022-02-28T12:35:26.425,0.960,-0.488,0.122,-0.427
1646069726435,2022-02-28T12:35:26.435,0.970,-0.366,0.244,-0.671
1646069726445,2022-02-28T12:35:26.445,0.980,-0.183,0.305,-0.854
1646069726455,2022-02-28T12:35:26.455,0.990,-0.061,0.488,-0.915
1646069726465,2022-02-28T12:35:26.465,1.000,-0.366,0.671,-1.159
1646069726475,2022-02-28T12:35:26.475,1.010,-0.610,0.854,-1.220
1646069726485,2022-02-28T12:35:26.485,1.020,-0.488,0.854,-0.915
1646069726495,2022-02-28T12:35:26.495,1.030,-0.732,0.793,-0.732
1646069726505,2022-02-28T12:35:26.505,1.040,-1.890,0.610,-0.915
1646069726515,2022-02-28T12:35:26.515,1.050,-2.378,0.549,-1.037
1646069726525,2022-02-28T12:35:26.525,1.060,-1.220,0.488,-0.732
1646069726535,2022-02-28T12:35:26.535,1.070,-0.671,0.122,-0.366
1646069726545,2022-02-28T12:35:26.545,1.080,-1.402,-0.244,-0.427
1646069726555,2022-02-28T12:35:26.555,1.090,-1.585,-0.549,-0.427
