epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1650386489799,2022-04-19T12:41:29.799,0.000,0.000119500,0.000043625,0.000009438
1650386489849,2022-04-19T12:41:29.849,0.050,0.000119875,0.000036000,0.000012813
1650386489899,2022-04-19T12:41:29.899,0.100,0.000122062,0.000043625,0.000011687
1650386489949,2022-04-19T12:41:29.949,0.150,0.000121312,0.000044750,0.000009813
1650386489999,2022-04-19T12:41:29.999,0.200,0.000121000,0.000042937,0.000012438
1650386490049,2022-04-19T12:41:30.049,0.250,0.000120250,0.000045063,0.000012062
1650386490099,2022-04-19T12:41:30.099,0.300,0.000122062,0.000045438,0.000011687
1650386490149,2022-04-19T12:41:30.149,0.350,0.000120625,0.000044000,0.000010188
1650386490199,2022-04-19T12:41:30.199,0.400,0.000120625,0.000044750,0.000012062
1650386490249,2022-04-19T12:41:30.249,0.450,0.000121688,0.000045438,0.000010563
1650386490299,2022-04-19T12:41:30.299,0.500,0.000122438,0.000044750,0.000010937
1650386490349,2022-04-19T12:41:30.349,0.550,0.000120250,0.000044375,0.000011687
1650386490399,2022-04-19T12:41:30.399,0.600,0.000121000,0.000045063,0.000010937
1650386490449,2022-04-19T12:41:30.449,0.650,0.000119500,0.000045812,0.000010937
1650386490499,2022-04-19T12:41:30.499,0.700,0.000119875,0.000045063,0.000009438
1650386490549,2022-04-19T12:41:30.549,0.750,0.000119875,0.000045063,0.000012062
1650386490599,2022-04-19T12:41:30.599,0.800,0.000119875,0.000045812,0.000011312
1650386490649,2022-04-19T12:41:30.649,0.850,0.000120625,0.000029125,0.000012062
1650386490699,2022-04-19T12:41:30.699,0.900,0.000120625,0.000045063,0.000011687
1650386490749,2022-04-19T12:41:30.749,0.950,0.000121000,0.000044000,0.000010563
1650386490799,2022-04-19T12:41:30.799,1.000,0.000121688,0.000045125,0.000011312
1650386490849,2022-04-19T12:41:30.849,1.050,0.000120250,0.000043625,0.000010937
1650386490899,2022-04-19T12:41:30.899,1.100,0.000122438,0.000045063,0.000012062
1650386490949,2022-04-19T12:41:30.949,1.150,0.000120625,0.000045812,0.000010563
1650386490999,2022-04-19T12:41:30.999,1.200,0.000120625,0.000042937,0.000012875
1650386491049,2022-04-19T12:41:31.049,1.250,0.000119875,0.000045812,0.000011312
1650386491099,2022-04-19T12:41:31.099,1.300,0.000120250,0.000044375,0.000011312
1650386491149,2022-04-19T12:41:31.149,1.350,0.000121000,0.000046563,0.000012062
1650386491199,2022-04-19T12:41:31.199,1.400,0.000122062,0.000045063,0.000011312
1650386491249,2022-04-19T12:41:31.249,1.450,0.000120250,0.000040750,0.000012062
1650386491299,2022-04-19T12:41:31.299,1.500,0.000120250,0.000042188,0.000012438
1650386491349,2022-04-19T12:41:31.349,1.550,0.000121000,0.000036000,0.000011687
1650386491399,2022-04-19T12:41:31.399,1.600,0.000120250,0.000038187,0.000012062
1650386491449,2022-04-19T12:41:31.449,1.650,0.000119875,0.000027313,0.000010563
1650386491499,2022-04-19T12:41:31.499,1.700,0.000120250,0.000043250,0.000012062
1650386491549,2022-04-19T12:41:31.549,1.750,0.000122813,0.000044000,0.000011312
1650386491599,2022-04-19T12:41:31.599,1.800,0.000119875,0.000044750,0.000013625
1650386491649,2022-04-19T12:41:31.649,1.850,0.000122062,0.000045125,0.000011687
1650386491699,2022-04-19T12:41:31.699,1.900,0.000120250,0.000043250,0.000012438
1650386491749,2022-04-19T12:41:31.749,1.950,0.000119875,0.000044000,0.000012062
1650386491799,2022-04-19T12:41:31.799,2.000,0.000120250,0.000029125,0.000013250
1650386491849,2022-04-19T12:41:31.849,2.050,0.000120250,0.000046187,0.000010563
1650386491899,2022-04-19T12:41:31.899,2.100,0.000120625,0.000045812,0.000012875
1650386491949,2022-04-19T12:41:31.949,2.150,0.000121000,0.000046187,0.000012500
1650386491999,2022-04-19T12:41:31.999,2.200,0.000121688,0.000045438,0.000011312
1650386492049,2022-04-19T12:41:32.049,2.250,0.000119875,0.000045438,0.000013250
1650386492099,2022-04-19T12:41:32.099,2.300,0.000120625,0.000045812,0.000012438
1650386492149,2022-04-19T12:41:32.149,2.350,0.000120250,0.000042937,0.000013250
1650386492199,2022-04-19T12:41:32.199,2.400,0.000120625,0.000046563,0.000012875
1650386492249,2022-04-19T12:41:32.249,2.450,0.000119563,0.000031625,0.000012500
1650386492299,2022-04-19T12:41:32.299,2.500,0.000121375,0.000045812,0.000012500
1650386492349,2022-04-19T12:41:32.349,2.550,0.000119563,0.000045125,0.000012125
1650386492399,2022-04-19T12:41:32.399,2.600,0.000120625,0.000044375,0.000013250
1650386492449,2022-04-19T12:41:32.449,2.650,0.000121000,0.000045125,0.000011312
1650386492499,2022-04-19T12:41:32.499,2.700,0.000121000,0.000046187,0.000014000
1650386492549,2022-04-19T12:41:32.549,2.750,0.000119875,0.000046563,0.000011312
1650386492599,2022-04-19T12:41:32.599,2.800,0.000121000,0.000039313,0.000012062
1650386492649,2022-04-19T12:41:32.649,2.850,0.000121000,0.000044750,0.000012438
1650386492699,2022-04-19T12:41:32.699,2.900,0.000119875,0.000043625,0.000011687
1650386492749,2022-04-19T12:41:32.749,2.950,0.000120625,0.000044750,0.000013625
1650386492799,2022-04-19T12:41:32.799,3.000,0.000121000,0.000044000,0.000012062
1650386492849,2022-04-19T12:41:32.849,3.050,0.000120250,0.000045125,0.000013625
1650386492899,2022-04-19T12:41:32.899,3.100,0.000120625,0.000045812,0.000011687
1650386492949,2022-04-19T12:41:32.949,3.150,0.000121000,0.000041125,0.000014000
1650386492999,2022-04-19T12:41:32.999,3.200,0.000118813,0.000045438,0.000012438
1650386493049,2022-04-19T12:41:33.049,3.250,0.000121000,0.000038187,0.000013250
1650386493099,2022-04-19T12:41:33.099,3.300,0.000123188,0.000045125,0.000012875
1650386493149,2022-04-19T12:41:33.149,3.350,0.000120625,0.000042937,0.000011687
1650386493199,2022-04-19T12:41:33.199,3.400,0.000120250,0.000046187,0.000013250
1650386493249,2022-04-19T12:41:33.249,3.450,0.000120250,0.000045125,0.000012062
1650386493299,2022-04-19T12:41:33.299,3.500,0.000119875,0.000045125,0.000012500
1650386493349,2022-04-19T12:41:33.349,3.550,0.000121000,0.000038562,0.000009813
1650386493399,2022-04-19T12:41:33.399,3.600,0.000122062,0.000036750,0.000011687
1650386493449,2022-04-19T12:41:33.449,3.650,0.000121375,0.000045438,0.000011312
1650386493499,2022-04-19T12:41:33.499,3.700,0.000121688,0.000045125,0.000011312
1650386493549,2022-04-19T12:41:33.549,3.750,0.000121375,0.000044750,0.000012875
1650386493599,2022-04-19T12:41:33.599,3.800,0.000121375,0.000044750,0.000012062
1650386493649,2022-04-19T12:41:33.649,3.850,0.000121375,0.000044000,0.000013250
1650386493699,2022-04-19T12:41:33.699,3.900,0.000120250,0.000045125,0.000011312
1650386493749,2022-04-19T12:41:33.749,3.950,0.000120625,0.000045812,0.000013250
1650386493799,2022-04-19T12:41:33.799,4.000,0.000121688,0.000046187,0.000010937
1650386493849,2022-04-19T12:41:33.849,4.050,0.000121000,0.000042188,0.000012438
1650386493899,2022-04-19T12:41:33.899,4.100,0.000119875,0.000045125,0.000011687
1650386493949,2022-04-19T12:41:33.949,4.150,0.000121000,0.000043625,0.000010937
1650386493999,2022-04-19T12:41:33.999,4.200,0.000120625,0.000046187,0.000012062
1650386494049,2022-04-19T12:41:34.049,4.250,0.000122438,0.000044750,0.000010937
