epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1650900283832,2022-04-25T11:24:43.832,0.000,0.844,-0.038,0.021
1650900283842,2022-04-25T11:24:43.842,0.010,0.849,-0.050,0.020
1650900283852,2022-04-25T11:24:43.852,0.020,0.851,-0.067,0.011
1650900283862,2022-04-25T11:24:43.862,0.030,0.864,-0.080,0.006
1650900283872,2022-04-25T11:24:43.872,0.040,0.883,-0.086,0.003
1650900283882,2022-04-25T11:24:43.882,0.050,0.898,-0.091,0.003
1650900283892,2022-04-25T11:24:43.892,0.060,0.921,-0.100,0.008
1650900283902,2022-04-25T11:24:43.902,0.070,0.941,-0.126,0.003
1650900283912,2022-04-25T11:24:43.912,0.080,0.942,-0.151,0.001
1650900283922,2022-04-25T11:24:43.922,0.090,0.952,-0.170,0.008
1650900283932,2022-04-25T11:24:43.932,0.100,0.961,-0.198,0.012
1650900283942,2022-04-25T11:24:43.942,0.110,0.973,-0.226,0.007
1650900283952,2022-04-25T11:24:43.952,0.120,0.987,-0.248,0.011
1650900283962,2022-04-25T11:24:43.962,0.130,1.001,-0.260,0.018
1650900283972,2022-04-25T11:24:43.972,0.140,1.009,-0.259,0.027
1650900283982,2022-04-25T11:24:43.982,0.150,0.996,-0.264,0.028
1650900283992,2022-04-25T11:24:43.992,0.160,0.972,-0.266,0.037
1650900284002,2022-04-25T11:24:44.002,0.170,0.954,-0.260,0.047
1650900284012,2022-04-25T11:24:44.012,0.180,0.940,-0.255,0.049
1650900284022,2022-04-25T11:24:44.022,0.190,0.929,-0.251,0.045
1650900284032,2022-04-25T11:24:44.032,0.200,0.919,-0.248,0.044
1650900284042,2022-04-25T11:24:44.042,0.210,0.917,-0.244,0.049
1650900284052,2022-04-25T11:24:44.052,0.220,0.907,-0.241,0.051
1650900284062,2022-04-25T11:24:44.062,0.230,0.903,-0.236,0.050
1650900284072,2022-04-25T11:24:44.072,0.240,0.900,-0.231,0.051
1650900284082,2022-04-25T11:24:44.082,0.250,0.898,-0.232,0.055
1650900284092,2022-04-25T11:24:44.092,0.260,0.889,-0.238,0.050
1650900284102,2022-04-25T11:24:44.102,0.270,0.891,-0.237,0.056
1650900284112,2022-04-25T11:24:44.112,0.280,0.895,-0.237,0.059
1650900284122,2022-04-25T11:24:44.122,0.290,0.897,-0.245,0.057
1650900284132,2022-04-25T11:24:44.132,0.300,0.910,-0.248,0.060
1650900284142,2022-04-25T11:24:44.142,0.310,0.910,-0.253,0.063
1650900284152,2022-04-25T11:24:44.152,0.320,0.901,-0.260,0.062
1650900284162,2022-04-25T11:24:44.162,0.330,0.901,-0.265,0.065
1650900284172,2022-04-25T11:24:44.172,0.340,0.901,-0.271,0.064
1650900284182,2022-04-25T11:24:44.182,0.350,0.903,-0.275,0.062
1650900284192,2022-04-25T11:24:44.192,0.360,0.903,-0.278,0.059
1650900284202,2022-04-25T11:24:44.202,0.370,0.910,-0.282,0.056
1650900284212,2022-04-25T11:24:44.212,0.380,0.917,-0.287,0.057
1650900284222,2022-04-25T11:24:44.222,0.390,0.911,-0.288,0.054
1650900284232,2022-04-25T11:24:44.232,0.400,0.906,-0.288,0.051
1650900284242,2022-04-25T11:24:44.242,0.410,0.905,-0.287,0.047
1650900284252,2022-04-25T11:24:44.252,0.420,0.903,-0.289,0.044
1650900284262,2022-04-25T11:24:44.262,0.430,0.908,-0.289,0.036
1650900284272,2022-04-25T11:24:44.272,0.440,0.912,-0.286,0.029
1650900284282,2022-04-25T11:24:44.282,0.450,0.917,-0.281,0.027
1650900284292,2022-04-25T11:24:44.292,0.460,0.920,-0.278,0.021
1650900284302,2022-04-25T11:24:44.302,0.470,0.925,-0.277,0.020
1650900284312,2022-04-25T11:24:44.312,0.480,0.922,-0.277,0.017
1650900284322,2022-04-25T11:24:44.322,0.490,0.917,-0.276,0.018
1650900284332,2022-04-25T11:24:44.332,0.500,0.911,-0.276,0.020
1650900284342,2022-04-25T11:24:44.342,0.510,0.906,-0.278,0.020
1650900284352,2022-04-25T11:24:44.352,0.520,0.909,-0.278,0.024
1650900284362,2022-04-25T11:24:44.362,0.530,0.908,-0.274,0.028
1650900284372,2022-04-25T11:24:44.372,0.540,0.909,-0.274,0.028
1650900284382,2022-04-25T11:24:44.382,0.550,0.907,-0.278,0.037
1650900284392,2022-04-25T11:24:44.392,0.560,0.904,-0.278,0.042
1650900284402,2022-04-25T11:24:44.402,0.570,0.901,-0.282,0.044
1650900284412,2022-04-25T11:24:44.412,0.580,0.894,-0.281,0.049
1650900284422,2022-04-25T11:24:44.422,0.590,0.895,-0.275,0.051
1650900284432,2022-04-25T11:24:44.432,0.600,0.895,-0.271,0.053
1650900284442,2022-04-25T11:24:44.442,0.610,0.896,-0.270,0.051
1650900284452,2022-04-25T11:24:44.452,0.620,0.896,-0.270,0.054
1650900284462,2022-04-25T11:24:44.462,0.630,0.896,-0.274,0.055
1650900284472,2022-04-25T11:24:44.472,0.640,0.888,-0.279,0.057
1650900284482,2022-04-25T11:24:44.482,0.650,0.885,-0.284,0.059
1650900284492,2022-04-25T11:24:44.492,0.660,0.891,-0.290,0.060
1650900284502,2022-04-25T11:24:44.502,0.670,0.900,-0.299,0.062
1650900284512,2022-04-25T11:24:44.512,0.680,0.914,-0.306,0.063
