epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1650900460665,2022-04-25T11:27:40.665,0.000,-8.171,-5.488,17.195
1650900460675,2022-04-25T11:27:40.675,0.010,-7.805,-5.854,16.829
1650900460685,2022-04-25T11:27:40.685,0.020,-7.256,-7.012,16.402
1650900460695,2022-04-25T11:27:40.695,0.030,-6.585,-8.415,15.488
1650900460705,2022-04-25T11:27:40.705,0.040,-5.976,-8.963,14.085
1650900460715,2022-04-25T11:27:40.715,0.050,-4.024,-9.024,12.683
1650900460725,2022-04-25T11:27:40.725,0.060,-3.049,-9.207,11.463
1650900460735,2022-04-25T11:27:40.735,0.070,-1.829,-9.634,10.488
1650900460745,2022-04-25T11:27:40.745,0.080,-0.244,-10.183,9.695
1650900460755,2022-04-25T11:27:40.755,0.090,0.427,-10.427,8.902
1650900460765,2022-04-25T11:27:40.765,0.100,0.549,-10.183,7.744
1650900460775,2022-04-25T11:27:40.775,0.110,0.366,-9.756,6.524
1650900460785,2022-04-25T11:27:40.785,0.120,-0.427,-9.573,5.427
1650900460795,2022-04-25T11:27:40.795,0.130,-0.854,-9.817,4.634
1650900460805,2022-04-25T11:27:40.805,0.140,-1.585,-10.366,3.963
1650900460815,2022-04-25T11:27:40.815,0.150,-2.744,-10.976,3.415
1650900460825,2022-04-25T11:27:40.825,0.160,-3.293,-11.402,3.110
1650900460835,2022-04-25T11:27:40.835,0.170,-4.390,-11.463,2.805
1650900460845,2022-04-25T11:27:40.845,0.180,-5.488,-11.220,2.256
1650900460855,2022-04-25T11:27:40.855,0.190,-6.341,-10.549,1.768
1650900460865,2022-04-25T11:27:40.865,0.200,-7.134,-9.756,1.402
1650900460875,2022-04-25T11:27:40.875,0.210,-7.805,-9.268,0.854
1650900460885,2022-04-25T11:27:40.885,0.220,-8.476,-9.207,0.366
1650900460895,2022-04-25T11:27:40.895,0.230,-8.232,-9.634,0.000
1650900460905,2022-04-25T11:27:40.905,0.240,-7.805,-10.122,0.000
1650900460915,2022-04-25T11:27:40.915,0.250,-7.500,-10.488,0.061
1650900460925,2022-04-25T11:27:40.925,0.260,-7.134,-10.671,0.122
1650900460935,2022-04-25T11:27:40.935,0.270,-6.890,-10.305,0.427
1650900460945,2022-04-25T11:27:40.945,0.280,-6.463,-9.573,0.732
1650900460955,2022-04-25T11:27:40.955,0.290,-6.037,-8.841,1.098
1650900460965,2022-04-25T11:27:40.965,0.300,-5.610,-8.354,1.707
1650900460975,2022-04-25T11:27:40.975,0.310,-4.878,-8.110,2.317
1650900460985,2022-04-25T11:27:40.985,0.320,-4.085,-7.927,2.744
1650900460995,2022-04-25T11:27:40.995,0.330,-3.415,-7.622,3.110
1650900461005,2022-04-25T11:27:41.005,0.340,-3.293,-7.134,3.354
1650900461015,2022-04-25T11:27:41.015,0.350,-2.866,-6.829,3.537
1650900461025,2022-04-25T11:27:41.025,0.360,-2.927,-6.280,4.146
1650900461035,2022-04-25T11:27:41.035,0.370,-3.049,-5.854,5.000
1650900461045,2022-04-25T11:27:41.045,0.380,-3.415,-5.427,5.854
1650900461055,2022-04-25T11:27:41.055,0.390,-3.232,-5.061,6.220
1650900461065,2022-04-25T11:27:41.065,0.400,-3.720,-4.939,6.098
1650900461075,2022-04-25T11:27:41.075,0.410,-3.659,-5.427,5.915
1650900461085,2022-04-25T11:27:41.085,0.420,-3.598,-5.732,5.732
1650900461095,2022-04-25T11:27:41.095,0.430,-3.537,-5.305,5.183
1650900461105,2022-04-25T11:27:41.105,0.440,-4.329,-4.634,4.329
1650900461115,2022-04-25T11:27:41.115,0.450,-5.183,-3.720,3.110
1650900461125,2022-04-25T11:27:41.125,0.460,-5.793,-2.805,1.585
1650900461135,2022-04-25T11:27:41.135,0.470,-6.768,-2.134,0.244
1650900461145,2022-04-25T11:27:41.145,0.480,-7.744,-1.890,-0.915
1650900461155,2022-04-25T11:27:41.155,0.490,-8.232,-1.707,-1.707
1650900461165,2022-04-25T11:27:41.165,0.500,-8.232,-1.768,-2.439
1650900461175,2022-04-25T11:27:41.175,0.510,-8.659,-2.439,-2.622
1650900461185,2022-04-25T11:27:41.185,0.520,-8.293,-3.171,-2.500
1650900461195,2022-04-25T11:27:41.195,0.530,-8.293,-3.476,-2.439
