epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1650900760001,2022-04-25T11:32:40.001,0.000,-0.000052062,-0.000002188,0.000082812
1650900760051,2022-04-25T11:32:40.051,0.050,-0.000052812,-0.000001438,0.000080875
1650900760101,2022-04-25T11:32:40.101,0.100,-0.000051688,-0.000001438,0.000080937
1650900760151,2022-04-25T11:32:40.151,0.150,-0.000052812,-0.000002188,0.000080937
1650900760201,2022-04-25T11:32:40.201,0.200,-0.000051688,-0.000011875,0.000080563
1650900760251,2022-04-25T11:32:40.251,0.250,-0.000052437,-0.000003688,0.000080937
1650900760301,2022-04-25T11:32:40.301,0.300,-0.000053875,-0.000003312,0.000081313
1650900760351,2022-04-25T11:32:40.351,0.350,-0.000051688,-0.000002562,0.000080563
1650900760401,2022-04-25T11:32:40.401,0.400,-0.000051688,-0.000000688,0.000081313
1650900760451,2022-04-25T11:32:40.451,0.450,-0.000051313,-0.000004063,0.000082125
1650900760501,2022-04-25T11:32:40.501,0.500,-0.000051688,-0.000011125,0.000081750
1650900760551,2022-04-25T11:32:40.551,0.550,-0.000052437,-0.000011875,0.000080250
1650900760601,2022-04-25T11:32:40.601,0.600,-0.000052812,-0.000001813,0.000080625
1650900760651,2022-04-25T11:32:40.651,0.650,-0.000051688,-0.000001438,0.000081750
1650900760701,2022-04-25T11:32:40.701,0.700,-0.000052812,-0.000002938,0.000082125
1650900760751,2022-04-25T11:32:40.751,0.750,-0.000051313,-0.000001438,0.000080187
1650900760801,2022-04-25T11:32:40.801,0.800,-0.000052437,-0.000015937,0.000081750
1650900760851,2022-04-25T11:32:40.851,0.850,-0.000052812,-0.000003688,0.000081000
1650900760901,2022-04-25T11:32:40.901,0.900,-0.000051688,-0.000011125,0.000081750
1650900760951,2022-04-25T11:32:40.951,0.950,-0.000052437,-0.000001063,0.000079500
1650900761001,2022-04-25T11:32:41.001,1.000,-0.000052437,-0.000000688,0.000075625
1650900761051,2022-04-25T11:32:41.051,1.050,-0.000053188,-0.000000312,0.000076813
1650900761101,2022-04-25T11:32:41.101,1.100,-0.000052812,0.000001875,0.000074187
1650900761151,2022-04-25T11:32:41.151,1.150,-0.000053875,0.000000750,0.000074500
1650900761201,2022-04-25T11:32:41.201,1.200,-0.000052062,0.000001125,0.000072625
1650900761251,2022-04-25T11:32:41.251,1.250,-0.000051313,-0.000006687,0.000071875
1650900761301,2022-04-25T11:32:41.301,1.300,-0.000053188,0.000001125,0.000068437
1650900761351,2022-04-25T11:32:41.351,1.350,-0.000054625,0.000001125,0.000067313
1650900761401,2022-04-25T11:32:41.401,1.400,-0.000053188,0.000002625,0.000066125
1650900761451,2022-04-25T11:32:41.451,1.450,-0.000052062,0.000004125,0.000063875
1650900761501,2022-04-25T11:32:41.501,1.500,-0.000051688,0.000002625,0.000065000
1650900761551,2022-04-25T11:32:41.551,1.550,-0.000050562,0.000005250,0.000062000
1650900761601,2022-04-25T11:32:41.601,1.600,-0.000052062,0.000002625,0.000061563
1650900761651,2022-04-25T11:32:41.651,1.650,-0.000051688,0.000006000,0.000061250
1650900761701,2022-04-25T11:32:41.701,1.700,-0.000049813,0.000004875,0.000060062
1650900761751,2022-04-25T11:32:41.751,1.750,-0.000050562,0.000001125,0.000060062
1650900761801,2022-04-25T11:32:41.801,1.800,-0.000050562,0.000005625,0.000058187
1650900761851,2022-04-25T11:32:41.851,1.850,-0.000049062,0.000009312,0.000058187
1650900761901,2022-04-25T11:32:41.901,1.900,-0.000048687,0.000008937,0.000058187
1650900761951,2022-04-25T11:32:41.951,1.950,-0.000049438,0.000005625,0.000055500
1650900762001,2022-04-25T11:32:42.001,2.000,-0.000047562,0.000013437,0.000055875
1650900762051,2022-04-25T11:32:42.051,2.050,-0.000047187,0.000009312,0.000053188
1650900762101,2022-04-25T11:32:42.101,2.100,-0.000047250,0.000010438,0.000054000
1650900762151,2022-04-25T11:32:42.151,2.150,-0.000046500,0.000012313,0.000053625
1650900762201,2022-04-25T11:32:42.201,2.200,-0.000045375,-0.000000688,0.000052062
1650900762251,2022-04-25T11:32:42.251,2.250,-0.000045750,0.000012313,0.000052500
1650900762301,2022-04-25T11:32:42.301,2.300,-0.000045375,0.000011562,0.000050188
1650900762351,2022-04-25T11:32:42.351,2.350,-0.000044250,0.000013437,0.000050188
1650900762401,2022-04-25T11:32:42.401,2.400,-0.000045750,0.000010438,0.000049062
1650900762451,2022-04-25T11:32:42.451,2.450,-0.000044625,0.000013063,0.000049438
1650900762501,2022-04-25T11:32:42.501,2.500,-0.000044625,0.000012313,0.000049813
1650900762551,2022-04-25T11:32:42.551,2.550,-0.000044625,0.000011937,0.000049813
1650900762601,2022-04-25T11:32:42.601,2.600,-0.000045750,0.000012688,0.000049438
1650900762651,2022-04-25T11:32:42.651,2.650,-0.000044625,0.000011187,0.000050562
1650900762701,2022-04-25T11:32:42.701,2.700,-0.000047250,0.000012313,0.000051313
1650900762751,2022-04-25T11:32:42.751,2.750,-0.000047562,0.000012313,0.000051688
1650900762801,2022-04-25T11:32:42.801,2.800,-0.000048687,0.000011187,0.000052125
1650900762851,2022-04-25T11:32:42.851,2.850,-0.000048687,0.000013063,0.000053625
1650900762901,2022-04-25T11:32:42.901,2.900,-0.000048313,0.000011562,0.000054375
1650900762951,2022-04-25T11:32:42.951,2.950,-0.000050188,0.000011187,0.000053625
1650900763001,2022-04-25T11:32:43.001,3.000,-0.000048687,0.000010438,0.000053625
1650900763051,2022-04-25T11:32:43.051,3.050,-0.000049813,0.000002250,0.000055187
1650900763101,2022-04-25T11:32:43.101,3.100,-0.000049438,0.000005625,0.000054375
1650900763151,2022-04-25T11:32:43.151,3.150,-0.000050562,0.000010812,0.000055875
1650900763201,2022-04-25T11:32:43.201,3.200,-0.000050188,0.000009688,0.000056312
1650900763251,2022-04-25T11:32:43.251,3.250,-0.000050188,-0.000007375,0.000057063
1650900763301,2022-04-25T11:32:43.301,3.300,-0.000050937,0.000005625,0.000057063
1650900763351,2022-04-25T11:32:43.351,3.350,-0.000050562,0.000006000,0.000056687
1650900763401,2022-04-25T11:32:43.401,3.400,-0.000050562,0.000008937,0.000058938
1650900763451,2022-04-25T11:32:43.451,3.450,-0.000052062,0.000007437,0.000057813
1650900763501,2022-04-25T11:32:43.501,3.500,-0.000050562,0.000007437,0.000060062
1650900763551,2022-04-25T11:32:43.551,3.550,-0.000050188,0.000010812,0.000057813
1650900763601,2022-04-25T11:32:43.601,3.600,-0.000048687,0.000004875,0.000057813
1650900763651,2022-04-25T11:32:43.651,3.650,-0.000049438,0.000009688,0.000056687
1650900763701,2022-04-25T11:32:43.701,3.700,-0.000049813,0.000005625,0.000057063
1650900763751,2022-04-25T11:32:43.751,3.750,-0.000049813,0.000008562,0.000057438
1650900763801,2022-04-25T11:32:43.801,3.800,-0.000049813,0.000009312,0.000055563
1650900763851,2022-04-25T11:32:43.851,3.850,-0.000050188,0.000007063,0.000057813
1650900763901,2022-04-25T11:32:43.901,3.900,-0.000049813,0.000008562,0.000054750
1650900763951,2022-04-25T11:32:43.951,3.950,-0.000050562,0.000002625,0.000056312
1650900764001,2022-04-25T11:32:44.001,4.000,-0.000050937,0.000008937,0.000054375
1650900764051,2022-04-25T11:32:44.051,4.050,-0.000051313,0.000009688,0.000053250
1650900764101,2022-04-25T11:32:44.101,4.100,-0.000050188,0.000011187,0.000054000
1650900764151,2022-04-25T11:32:44.151,4.150,-0.000049813,0.000010438,0.000052875
1650900764201,2022-04-25T11:32:44.201,4.200,-0.000050937,0.000010812,0.000051750
1650900764251,2022-04-25T11:32:44.251,4.250,-0.000051313,0.000010063,0.000051375
1650900764301,2022-04-25T11:32:44.301,4.300,-0.000051313,-0.000000312,0.000053250
1650900764351,2022-04-25T11:32:44.351,4.350,-0.000050562,0.000003000,0.000052875
1650900764401,2022-04-25T11:32:44.401,4.400,-0.000050188,0.000004125,0.000053625
1650900764451,2022-04-25T11:32:44.451,4.450,-0.000050562,0.000008562,0.000055563
1650900764501,2022-04-25T11:32:44.501,4.500,-0.000049438,0.000009312,0.000054375
1650900764551,2022-04-25T11:32:44.551,4.550,-0.000051688,0.000008187,0.000055125
1650900764601,2022-04-25T11:32:44.601,4.600,-0.000051688,0.000007063,0.000054750
1650900764651,2022-04-25T11:32:44.651,4.650,-0.000051688,-0.000003312,0.000055563
1650900764701,2022-04-25T11:32:44.701,4.700,-0.000050937,0.000009688,0.000055938
1650900764751,2022-04-25T11:32:44.751,4.750,-0.000052437,0.000006750,0.000055125
1650900764801,2022-04-25T11:32:44.801,4.800,-0.000050937,0.000008187,0.000057438
1650900764851,2022-04-25T11:32:44.851,4.850,-0.000049813,0.000007813,0.000055125
1650900764901,2022-04-25T11:32:44.901,4.900,-0.000049813,0.000007813,0.000056687
1650900764951,2022-04-25T11:32:44.951,4.950,-0.000050562,0.000006750,0.000055187
1650900765001,2022-04-25T11:32:45.001,5.000,-0.000051313,-0.000002938,0.000056687
1650900765051,2022-04-25T11:32:45.051,5.050,-0.000051688,0.000008187,0.000055187
1650900765101,2022-04-25T11:32:45.101,5.100,-0.000050937,0.000006750,0.000052062
1650900765151,2022-04-25T11:32:45.151,5.150,-0.000050937,0.000007813,0.000056312
1650900765201,2022-04-25T11:32:45.201,5.200,-0.000050937,0.000008937,0.000054000
1650900765251,2022-04-25T11:32:45.251,5.250,-0.000050188,0.000007437,0.000053250
1650900765301,2022-04-25T11:32:45.301,5.300,-0.000050937,0.000006750,0.000052875
1650900765351,2022-04-25T11:32:45.351,5.350,-0.000050562,-0.000007750,0.000054000
1650900765401,2022-04-25T11:32:45.401,5.400,-0.000051688,0.000007813,0.000051750
1650900765451,2022-04-25T11:32:45.451,5.450,-0.000051688,0.000007813,0.000052875
1650900765501,2022-04-25T11:32:45.501,5.500,-0.000051688,0.000009312,0.000052125
1650900765551,2022-04-25T11:32:45.551,5.550,-0.000050562,0.000009312,0.000052125
1650900765601,2022-04-25T11:32:45.601,5.600,-0.000049438,0.000007063,0.000054000
1650900765651,2022-04-25T11:32:45.651,5.650,-0.000051688,0.000002250,0.000054375
1650900765701,2022-04-25T11:32:45.701,5.700,-0.000050562,-0.000007375,0.000054000
1650900765751,2022-04-25T11:32:45.751,5.750,-0.000051313,0.000006750,0.000053250
1650900765801,2022-04-25T11:32:45.801,5.800,-0.000050188,0.000005250,0.000051375
1650900765851,2022-04-25T11:32:45.851,5.850,-0.000049813,0.000007437,0.000055187
1650900765901,2022-04-25T11:32:45.901,5.900,-0.000051313,0.000007437,0.000052500
1650900765951,2022-04-25T11:32:45.951,5.950,-0.000049813,-0.000005938,0.000055500
1650900766001,2022-04-25T11:32:46.001,6.000,-0.000051688,0.000006375,0.000054812
1650900766051,2022-04-25T11:32:46.051,6.050,-0.000051313,0.000002625,0.000054750
1650900766101,2022-04-25T11:32:46.101,6.100,-0.000050562,0.000007437,0.000054000
1650900766151,2022-04-25T11:32:46.151,6.150,-0.000050562,0.000007063,0.000053625
1650900766201,2022-04-25T11:32:46.201,6.200,-0.000049813,0.000008187,0.000054375
1650900766251,2022-04-25T11:32:46.251,6.250,-0.000049813,0.000008562,0.000053250
1650900766301,2022-04-25T11:32:46.301,6.300,-0.000050188,0.000007813,0.000053250
1650900766351,2022-04-25T11:32:46.351,6.350,-0.000049438,0.000009312,0.000053250
1650900766401,2022-04-25T11:32:46.401,6.400,-0.000049438,0.000004125,0.000053250
1650900766451,2022-04-25T11:32:46.451,6.450,-0.000050562,0.000007813,0.000053250
1650900766501,2022-04-25T11:32:46.501,6.500,-0.000050937,0.000006750,0.000053625
1650900766551,2022-04-25T11:32:46.551,6.550,-0.000049438,0.000006750,0.000052875
1650900766601,2022-04-25T11:32:46.601,6.600,-0.000048687,0.000007813,0.000049813
1650900766651,2022-04-25T11:32:46.651,6.650,-0.000047938,0.000007813,0.000050625
1650900766701,2022-04-25T11:32:46.701,6.700,-0.000049062,0.000010063,0.000048313
1650900766751,2022-04-25T11:32:46.751,6.750,-0.000050937,0.000006750,0.000048313
1650900766801,2022-04-25T11:32:46.801,6.800,-0.000049813,0.000006375,0.000048313
