epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1650900759983,2022-04-25T11:32:39.983,0.000,98461.531
1650900760243,2022-04-25T11:32:40.243,0.260,98458.422
1650900760503,2022-04-25T11:32:40.503,0.520,98453.734
1650900760764,2022-04-25T11:32:40.764,0.781,98460.047
1650900761025,2022-04-25T11:32:41.025,1.042,98455.828
1650900761286,2022-04-25T11:32:41.286,1.303,98458.422
1650900761546,2022-04-25T11:32:41.546,1.563,98458.141
1650900761807,2022-04-25T11:32:41.807,1.824,98453.734
1650900762068,2022-04-25T11:32:42.068,2.085,98456.836
1650900762327,2022-04-25T11:32:42.327,2.344,98459.719
1650900762588,2022-04-25T11:32:42.588,2.605,98462.328
1650900762849,2022-04-25T11:32:42.849,2.866,98450.336
1650900763109,2022-04-25T11:32:43.109,3.126,98458.422
1650900763370,2022-04-25T11:32:43.370,3.387,98449.039
1650900763631,2022-04-25T11:32:43.631,3.648,98451.641
1650900763892,2022-04-25T11:32:43.892,3.909,98448.531
1650900764152,2022-04-25T11:32:44.152,4.169,98451.922
1650900764412,2022-04-25T11:32:44.412,4.429,98447.742
1650900764672,2022-04-25T11:32:44.672,4.689,98453.219
1650900764933,2022-04-25T11:32:44.933,4.950,98457.125
1650900765194,2022-04-25T11:32:45.194,5.211,98448.031
1650900765455,2022-04-25T11:32:45.455,5.472,98450.625
1650900765715,2022-04-25T11:32:45.715,5.732,98453.219
1650900765976,2022-04-25T11:32:45.976,5.993,98449.328
1650900766237,2022-04-25T11:32:46.237,6.254,98449.328
1650900766496,2022-04-25T11:32:46.496,6.513,98449.039
1650900766757,2022-04-25T11:32:46.757,6.774,98447.742
1650900767017,2022-04-25T11:32:47.017,7.034,98449.328
1650900767278,2022-04-25T11:32:47.278,7.295,98451.922
1650900767539,2022-04-25T11:32:47.539,7.556,98456.141
1650900767800,2022-04-25T11:32:47.800,7.817,98456.141
1650900768060,2022-04-25T11:32:48.060,8.077,98446.438
1650900768321,2022-04-25T11:32:48.321,8.338,98446.734
1650900768582,2022-04-25T11:32:48.582,8.599,98450.625
1650900768841,2022-04-25T11:32:48.841,8.858,98450.945
1650900769102,2022-04-25T11:32:49.102,9.119,98450.945
1650900769363,2022-04-25T11:32:49.363,9.380,98450.625
1650900769623,2022-04-25T11:32:49.623,9.640,98453.070
1650900769884,2022-04-25T11:32:49.884,9.901,98451.922
1650900770145,2022-04-25T11:32:50.145,10.162,98448.031
1650900770406,2022-04-25T11:32:50.406,10.423,98453.547
1650900770666,2022-04-25T11:32:50.666,10.683,98454.367
1650900770927,2022-04-25T11:32:50.927,10.944,98453.219
1650900771188,2022-04-25T11:32:51.188,11.205,98451.773
1650900771449,2022-04-25T11:32:51.449,11.466,98452.250
1650900771708,2022-04-25T11:32:51.708,11.725,98452.250
1650900771969,2022-04-25T11:32:51.969,11.986,98452.250
1650900772229,2022-04-25T11:32:52.229,12.246,98450.625
1650900772490,2022-04-25T11:32:52.490,12.507,98448.031
1650900772751,2022-04-25T11:32:52.751,12.768,98455.344
1650900773012,2022-04-25T11:32:53.012,13.029,98461.344
1650900773272,2022-04-25T11:32:53.272,13.289,98457.766
1650900773533,2022-04-25T11:32:53.533,13.550,98457.445
1650900773794,2022-04-25T11:32:53.794,13.811,98457.445
1650900774055,2022-04-25T11:32:54.055,14.072,98452.250
1650900774315,2022-04-25T11:32:54.315,14.332,98458.422
1650900774575,2022-04-25T11:32:54.575,14.592,98461.656
1650900774835,2022-04-25T11:32:54.835,14.852,98455.672
1650900775096,2022-04-25T11:32:55.096,15.113,98453.219
1650900775357,2022-04-25T11:32:55.357,15.374,98457.953
1650900775618,2022-04-25T11:32:55.618,15.635,98458.422
1650900775878,2022-04-25T11:32:55.878,15.895,98454.531
1650900776139,2022-04-25T11:32:56.139,16.156,98454.844
1650900776400,2022-04-25T11:32:56.400,16.417,98457.125
1650900776659,2022-04-25T11:32:56.659,16.676,98460.047
1650900776920,2022-04-25T11:32:56.920,16.937,98460.047
