file_name,relative_path,dataset,exp_id,activity_id,activity_name,user_id,sensor_name
10_MetaWear_2019-09-14T16.16.00.093_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/10_MetaWear_2019-09-14T16.16.00.093_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,Dataset_1A,10,10,Running,1,Accelerometer
10_MetaWear_2019-09-14T16.16.00.093_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/10_MetaWear_2019-09-14T16.16.00.093_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,Dataset_1A,10,10,Running,1,Gyroscope
10_MetaWear_2019-09-14T16.16.00.093_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/10_MetaWear_2019-09-14T16.16.00.093_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,Dataset_1A,10,10,Running,1,Magnetometer
10_MetaWear_2019-09-14T16.16.00.093_F1E55E2FE95F_Pressure_7.330Hz_1.4.5.csv,DataSets/Dataset_1A/User1/10_MetaWear_2019-09-14T16.16.00.093_F1E55E2FE95F_Pressure_7.330Hz_1.4.5.csv,Dataset_1A,10,10,Running,1,Pressure
11_MetaWear_2019-09-14T16.18.22.686_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/11_MetaWear_2019-09-14T16.18.22.686_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,Dataset_1A,11,11,Taking stairs,1,Accelerometer
11_MetaWear_2019-09-14T16.18.22.686_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/11_MetaWear_2019-09-14T16.18.22.686_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,Dataset_1A,11,11,Taking stairs,1,Gyroscope
11_MetaWear_2019-09-14T16.18.22.686_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/11_MetaWear_2019-09-14T16.18.22.686_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,Dataset_1A,11,11,Taking stairs,1,Magnetometer
11_MetaWear_2019-09-14T16.18.22.686_F1E55E2FE95F_Pressure_7.330Hz_1.4.5.csv,DataSets/Dataset_1A/User1/11_MetaWear_2019-09-14T16.18.22.686_F1E55E2FE95F_Pressure_7.330Hz_1.4.5.csv,Dataset_1A,11,11,Taking stairs,1,Pressure
1_MetaWear_2019-09-14T13.41.43.335_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/1_MetaWear_2019-09-14T13.41.43.335_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,Dataset_1A,1,1,Sitting – Reading a Book,1,Accelerometer
1_MetaWear_2019-09-14T13.41.43.335_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/1_MetaWear_2019-09-14T13.41.43.335_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,Dataset_1A,1,1,Sitting – Reading a Book,1,Gyroscope
1_MetaWear_2019-09-14T13.41.43.335_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/1_MetaWear_2019-09-14T13.41.43.335_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,Dataset_1A,1,1,Sitting – Reading a Book,1,Magnetometer
1_MetaWear_2019-09-14T13.41.43.335_F1E55E2FE95F_Pressure_7.330Hz_1.4.5.csv,DataSets/Dataset_1A/User1/1_MetaWear_2019-09-14T13.41.43.335_F1E55E2FE95F_Pressure_7.330Hz_1.4.5.csv,Dataset_1A,1,1,Sitting – Reading a Book,1,Pressure
2_MetaWear_2019-09-14T13.44.59.441_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/2_MetaWear_2019-09-14T13.44.59.441_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,Dataset_1A,2,2,Sitting – Writing on a Notebook,1,Accelerometer
2_MetaWear_2019-09-14T13.44.59.441_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/2_MetaWear_2019-09-14T13.44.59.441_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,Dataset_1A,2,2,Sitting – Writing on a Notebook,1,Gyroscope
2_MetaWear_2019-09-14T13.44.59.441_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/2_MetaWear_2019-09-14T13.44.59.441_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,Dataset_1A,2,2,Sitting – Writing on a Notebook,1,Magnetometer
2_MetaWear_2019-09-14T13.44.59.441_F1E55E2FE95F_Pressure_7.330Hz_1.4.5.csv,DataSets/Dataset_1A/User1/2_MetaWear_2019-09-14T13.44.59.441_F1E55E2FE95F_Pressure_7.330Hz_1.4.5.csv,Dataset_1A,2,2,Sitting – Writing on a Notebook,1,Pressure
3_MetaWear_2019-09-14T13.48.13.875_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/3_MetaWear_2019-09-14T13.48.13.875_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,Dataset_1A,3,3,Using Computer – Typing,1,Accelerometer
3_MetaWear_2019-09-14T13.48.13.875_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/3_MetaWear_2019-09-14T13.48.13.875_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,Dataset_1A,3,3,Using Computer – Typing,1,Gyroscope
3_MetaWear_2019-09-14T13.48.13.875_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/3_MetaWear_2019-09-14T13.48.13.875_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,Dataset_1A,3,3,Using Computer – Typing,1,Magnetometer
3_MetaWear_2019-09-14T13.48.13.875_F1E55E2FE95F_Pressure_7.330Hz_1.4.5.csv,DataSets/Dataset_1A/User1/3_MetaWear_2019-09-14T13.48.13.875_F1E55E2FE95F_Pressure_7.330Hz_1.4.5.csv,Dataset_1A,3,3,Using Computer – Typing,1,Pressure
4_MetaWear_2019-09-14T13.50.16.877_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/4_MetaWear_2019-09-14T13.50.16.877_F1E55E2FE95F_Accelerometer_100.000Hz_1.4.5.csv,Dataset_1A,4,4,Using Computer – Browsing,1,Accelerometer
4_MetaWear_2019-09-14T13.50.16.877_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/4_MetaWear_2019-09-14T13.50.16.877_F1E55E2FE95F_Gyroscope_100.000Hz_1.4.5.csv,Dataset_1A,4,4,Using Computer – Browsing,1,Gyroscope
4_MetaWear_2019-09-14T13.50.16.877_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,DataSets/Dataset_1A/User1/4_MetaWear_2019-09-14T13.50.16.877_F1E55E2FE95F_Magnetometer_20.000Hz_1.4.5.csv,Dataset_1A,4,4,Using Computer – Browsing,1,Magnetometer
