epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1574110995141,2019-11-18T16:03:15.141,0.0,0.003746056014063313,0.003028239009118359,-0.011962446250856044
1574110995151,2019-11-18T16:03:15.151,0.01,0.008918732527461497,-0.00992053555229828,-0.00998735744055021
1574110995161,2019-11-18T16:03:15.161,0.02,0.009676329289263812,-0.012743522135902812,-0.010177725844309503
1574110995171,2019-11-18T16:03:15.171,0.03,0.007490251143894519,-0.009185585344198121,-0.012929569282754842
1574110995181,2019-11-18T16:03:15.181,0.04,0.006297946315930664,-0.00790998773238162,-0.016197931477432693
1574110995191,2019-11-18T16:03:15.191,0.05,0.006680365167506459,-0.008522393140673372,-0.01767910022106871
1574110995201,2019-11-18T16:03:15.201,0.06,0.006596368241685482,-0.005988127234256403,-0.017634301680557667
1574110995211,2019-11-18T16:03:15.211,0.07,0.004885596095871529,-0.0017100300407761264,-0.018124982006217885
1574110995221,2019-11-18T16:03:15.221,0.08,0.00175010982783177,-0.0008242385959535447,-0.019912430745167943
1574110995231,2019-11-18T16:03:15.231,0.09,-0.0017806023615886126,-0.002936329230180011,-0.021767958743857084
1574110995241,2019-11-18T16:03:15.241,0.1,-0.0038209258234394475,-0.0032117543875953944,-0.022679960479378376
1574110995251,2019-11-18T16:03:15.251,0.11,-0.0032135403919762396,-0.00029557177695227596,-0.02335659734571102
1574110995261,2019-11-18T16:03:15.261,0.12,-0.0011896351914601451,0.002663433594055974,-0.02506138158723927
1574110995271,2019-11-18T16:03:15.271,0.13,0.0001866050865902098,0.00349900130128058,-0.027555488926709216
1574110995281,2019-11-18T16:03:15.281,0.14,0.00027471898307297456,0.0022325656261714816,-0.029193896426469274
1574110995291,2019-11-18T16:03:15.291,0.15,-0.0008100032265066202,-0.002470918829674547,-0.029432537077843594
1574110995301,2019-11-18T16:03:15.301,0.16,-0.0034548304938310567,-0.011531183385302695,-0.029948196759118577
1574110995311,2019-11-18T16:03:15.311,0.17,-0.007333568995147223,-0.01976483456523881,-0.03209099298788716
1574110995321,2019-11-18T16:03:15.321,0.18,-0.010186854788594504,-0.020091632944225273,-0.03469419848960596
1574110995331,2019-11-18T16:03:15.331,0.19,-0.01008272720104098,-0.014396308581847265,-0.03601657917524507
1574110995341,2019-11-18T16:03:15.341,0.2,-0.0085145775349992,-0.010998956741356699,-0.03614710430222693
1574110995351,2019-11-18T16:03:15.351,0.21,-0.008578945058380874,-0.011920323725893451,-0.03580333051266736
1574110995361,2019-11-18T16:03:15.361,0.22,-0.010136477921130923,-0.013586601866401506,-0.03485861606895237
1574110995371,2019-11-18T16:03:15.371,0.23,-0.010474151793946722,-0.016788870201800123,-0.03384715093658999
1574110995381,2019-11-18T16:03:15.381,0.24,-0.00983544820764301,-0.022517119498693255,-0.03457729130678042
1574110995391,2019-11-18T16:03:15.391,0.25,-0.011352479415598535,-0.02358288212310772,-0.03726589375257501
1574110995401,2019-11-18T16:03:15.401,0.26,-0.014910873136905825,-0.015553522283681048,-0.03931824532792318
1574110995411,2019-11-18T16:03:15.411,0.27,-0.016456109461289982,-0.008367932098382306,-0.0389175116595646
1574110995421,2019-11-18T16:03:15.421,0.28,-0.014559408779945202,-0.01158999697708503,-0.037586570164509
1574110995431,2019-11-18T16:03:15.431,0.29,-0.01287163907385805,-0.01795538881899758,-0.03734084753021595
1574110995441,2019-11-18T16:03:15.441,0.3,-0.014730566286666004,-0.01681672172283329,-0.03766130318046157
1574110995451,2019-11-18T16:03:15.451,0.31,-0.019246151000510872,-0.012841539701925492,-0.0371872283114429
1574110995461,2019-11-18T16:03:15.461,0.32,-0.0239384305755622,-0.01631122721062482,-0.03619300770868743
1574110995471,2019-11-18T16:03:15.471,0.33,-0.028066142734597774,-0.024439708599440946,-0.03535224378571712
1574110995481,2019-11-18T16:03:15.481,0.34,-0.03204875164690827,-0.026311731765750503,-0.033768324312210364
1574110995491,2019-11-18T16:03:15.491,0.35,-0.03577847817582838,-0.02067423683287462,-0.0302141206761945
1574110995501,2019-11-18T16:03:15.501,0.36,-0.03858292030194233,-0.01702285091020473,-0.02509739546600955
1574110995511,2019-11-18T16:03:15.511,0.37,-0.039642339976216134,-0.019544153113054706,-0.01970935935273413
1574110995521,2019-11-18T16:03:15.521,0.38,-0.03802651404128582,-0.019199314414649008,-0.014731204909955099
1574110995531,2019-11-18T16:03:15.531,0.39,-0.033381826903544416,-0.007823296250087767,-0.010407364861534988
