epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1568493598219,2019-09-14T16:39:58.219,0.0,4.841452158892617e-06,-2.8126004972468178e-06,-1.372814038751068e-06
1568493598269,2019-09-14T16:39:58.269,0.05,5.08374103560143e-06,-3.862275371411962e-06,-1.773116175352701e-06
1568493598319,2019-09-14T16:39:58.319,0.1,5.198740804156553e-06,-3.957510298066491e-06,-2.060103031127183e-06
1568493598369,2019-09-14T16:39:58.369,0.15,5.277589716918651e-06,-3.0890092923788124e-06,-2.0836794341440047e-06
1568493598419,2019-09-14T16:39:58.419,0.2,5.482099261450052e-06,-2.0659615329137897e-06,-2.0183491398933786e-06
1568493598469,2019-09-14T16:39:58.469,0.25,5.6322607725346115e-06,-1.5911343035817853e-06,-2.2881535253670383e-06
1568493598519,2019-09-14T16:39:58.519,0.3,5.2788290154025915e-06,-1.6847994293409362e-06,-2.9791852975317848e-06
1568493598569,2019-09-14T16:39:58.569,0.35,4.407681904782477e-06,-1.8619767724466334e-06,-3.822672158991443e-06
1568493598619,2019-09-14T16:39:58.619,0.4,3.6344852610450803e-06,-1.566826740891169e-06,-4.664356065409616e-06
1568493598669,2019-09-14T16:39:58.669,0.45,3.389355447201581e-06,-6.256232440526023e-07,-5.50761641050496e-06
1568493598719,2019-09-14T16:39:58.719,0.5,3.4094425429331934e-06,4.856354287449733e-07,-6.365197374865375e-06
1568493598769,2019-09-14T16:39:58.769,0.55,3.306488292718515e-06,1.0896517078631526e-06,-7.2295279456239245e-06
1568493598819,2019-09-14T16:39:58.819,0.6,2.94856750052914e-06,1.0448519380351172e-06,-7.808770329767013e-06
1568493598869,2019-09-14T16:39:58.869,0.65,2.019503400721327e-06,6.600006869394715e-07,-7.593954521656084e-06
1568493598919,2019-09-14T16:39:58.919,0.7,1.3359093077977457e-07,9.822883410634937e-08,-6.5945748015281165e-06
1568493598969,2019-09-14T16:39:58.969,0.75,-2.2455023089366205e-06,-5.869384166238705e-07,-5.417887030451133e-06
1568493599019,2019-09-14T16:39:59.019,0.8,-4.035377674711938e-06,-1.0639951701015512e-06,-4.464072149157835e-06
1568493599069,2019-09-14T16:39:59.069,0.85,-4.9994922187220055e-06,-9.126712422581138e-07,-3.661907873971817e-06
1568493599119,2019-09-14T16:39:59.119,0.9,-5.841163374600483e-06,-8.685584660351531e-08,-2.76485233482781e-06
1568493599169,2019-09-14T16:39:59.169,0.95,-6.710894484064844e-06,9.913744518042962e-07,-1.3923374589511087e-06
1568493599219,2019-09-14T16:39:59.219,1.0,-6.9013219732336035e-06,1.7137629810532977e-06,8.097687514499208e-07
1568493599269,2019-09-14T16:39:59.269,1.05,-6.0776698075964295e-06,1.9259045864971202e-06,3.7138550660355635e-06
1568493599319,2019-09-14T16:39:59.319,1.1,-4.713157193932308e-06,2.2657538791362e-06,6.703540486169974e-06
1568493599369,2019-09-14T16:39:59.369,1.15,-3.4034579390282033e-06,3.245727209736333e-06,9.14391672300208e-06
1568493599419,2019-09-14T16:39:59.419,1.2,-2.5012083387988413e-06,4.336240865402922e-06,1.066415666956742e-05
1568493599469,2019-09-14T16:39:59.469,1.25,-2.1301305020835666e-06,4.841640652535302e-06,1.1158612713438082e-05
1568493599519,2019-09-14T16:39:59.519,1.3,-2.1427454000792257e-06,5.050775282961087e-06,1.071366527622364e-05
1568493599569,2019-09-14T16:39:59.569,1.35,-2.4772131270403802e-06,5.572971792541434e-06,9.475890792616792e-06
