epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1602946422327,2020-10-17T10:53:42.327,0.0,1.4848345281016538e-06,2.0079891506500785e-07,-2.52789895680786e-07
1602946422377,2020-10-17T10:53:42.377,0.05,1.0561433897679233e-06,1.42320197663554e-07,-3.5197016464619064e-07
1602946422427,2020-10-17T10:53:42.427,0.1,1.0203519493055738e-06,4.729044370797115e-07,-5.409891791463707e-07
1602946422477,2020-10-17T10:53:42.477,0.15,1.3758429239810723e-06,8.365369189415601e-07,-9.071515793951516e-07
1602946422527,2020-10-17T10:53:42.527,0.2,1.7781774176960094e-06,7.175387117487294e-07,-1.3230143770424067e-06
1602946422577,2020-10-17T10:53:42.577,0.25,1.906042694717614e-06,3.4723424711773e-07,-1.3629741557134347e-06
1602946422627,2020-10-17T10:53:42.627,0.3,1.7482702095897781e-06,3.296473044896479e-07,-7.910433715705696e-07
1602946422677,2020-10-17T10:53:42.677,0.35,1.5137401082574222e-06,6.766921761622074e-07,-7.541000163768783e-08
1602946422727,2020-10-17T10:53:42.727,0.4,1.3286751337320431e-06,9.214667069763779e-07,8.789167939138872e-08
1602946422777,2020-10-17T10:53:42.777,0.45,1.1928201833521922e-06,8.949567228023255e-07,-2.7556252485929847e-07
1602946422827,2020-10-17T10:53:42.827,0.5,1.067295073963238e-06,7.290488072095109e-07,-5.385995597488037e-07
1602946422877,2020-10-17T10:53:42.877,0.55,8.068059379779066e-07,4.330261740069735e-07,-4.164358628593518e-07
1602946422927,2020-10-17T10:53:42.927,0.6,3.528586112697885e-07,7.468381672951359e-08,-1.9076781093767178e-07
1602946422977,2020-10-17T10:53:42.977,0.65,3.999695765110572e-08,-3.938610420696292e-08,-1.8233180605829578e-07
1602946423027,2020-10-17T10:53:43.027,0.7,1.4588728695179276e-07,1.5818610398039793e-07,-4.0191573208779334e-07
1602946423077,2020-10-17T10:53:43.077,0.75,3.479156736972559e-07,3.38430600064557e-07,-5.858233294875782e-07
1602946423127,2020-10-17T10:53:43.127,0.8,3.0571600271800655e-07,3.2637653964280344e-07,-5.79692123832405e-07
1602946423177,2020-10-17T10:53:43.177,0.85,2.8566392306950956e-07,2.7526398860361437e-07,-5.96612403649689e-07
1602946423227,2020-10-17T10:53:43.227,0.9,5.188549186224027e-07,2.687025293565356e-07,-6.933778681050973e-07
1602946423277,2020-10-17T10:53:43.277,0.95,5.935770507837529e-07,1.9844563359847287e-07,-5.414787977626171e-07
1602946423327,2020-10-17T10:53:43.327,1.0,1.4838493837848717e-07,8.368716320223672e-08,-3.0341763937112226e-07
1602946423377,2020-10-17T10:53:43.377,1.05,-3.901768155029574e-07,1.9553747873956196e-07,-6.040091413892257e-07
1602946423427,2020-10-17T10:53:43.427,1.1,-3.8447945019874387e-07,5.656597673731e-07,-1.1335851352068908e-06
1602946423477,2020-10-17T10:53:43.477,1.15,3.141422974584135e-08,6.899164180172809e-07,-9.102729832114173e-07
1602946423527,2020-10-17T10:53:43.527,1.2,1.410206373450614e-07,3.0551729145885407e-07,-2.0533465816190363e-07
1602946423577,2020-10-17T10:53:43.577,1.25,-3.067147381577442e-07,-3.7800712702749576e-08,-2.9293290595028395e-07
1602946423627,2020-10-17T10:53:43.627,1.3,-7.77140636101001e-07,1.4557121640238987e-07,-1.1737152725088339e-06
1602946423677,2020-10-17T10:53:43.677,1.35,-7.011239148929867e-07,5.197342736859585e-07,-1.5129731752151978e-06
