epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1602949048783,2020-10-17T11:37:28.783,0.0,-0.0008239333533477177,0.05214287481836445,-0.002322270809722605
1602949048793,2020-10-17T11:37:28.793,0.01,-0.007360842362566142,0.05713427530296997,-0.004442595487025983
1602949048803,2020-10-17T11:37:28.803,0.02,-0.008348857705980936,0.06039463470964254,-0.006347744652406297
1602949048813,2020-10-17T11:37:28.813,0.03,-0.006559017679372595,0.06411443787822863,-0.006902092703054784
1602949048823,2020-10-17T11:37:28.823,0.04,-0.00819882408044874,0.0711582116678759,-0.006499112074870084
1602949048833,2020-10-17T11:37:28.833,0.05,-0.013585691258533487,0.07970223148303666,-0.007315664452361221
1602949048843,2020-10-17T11:37:28.843,0.06,-0.01790297137295621,0.08476311182810219,-0.009437408208508592
1602949048853,2020-10-17T11:37:28.853,0.07,-0.019157899137349547,0.08441987298456127,-0.010515548269256915
1602949048863,2020-10-17T11:37:28.863,0.08,-0.020282393706325567,0.08155553710343529,-0.010111799032744933
1602949048873,2020-10-17T11:37:28.873,0.09,-0.023453485286809773,0.08014469387741395,-0.010073079575613757
1602949048883,2020-10-17T11:37:28.883,0.1,-0.02700085532167975,0.08232884445848254,-0.010367338930775134
1602949048893,2020-10-17T11:37:28.893,0.11,-0.029308090046844565,0.08814894654998025,-0.008878464465365606
1602949048903,2020-10-17T11:37:28.903,0.12,-0.0320728950292729,0.09548773829256056,-0.005390743785306441
1602949048913,2020-10-17T11:37:28.913,0.13,-0.03764622095685754,0.10057330206842344,-0.0019594815446709784
1602949048923,2020-10-17T11:37:28.923,0.14,-0.04563995604067956,0.10102663758850716,0.00044606932460279744
1602949048933,2020-10-17T11:37:28.933,0.15,-0.054913755793361226,0.09920981106105298,0.002111777265250365
1602949048943,2020-10-17T11:37:28.943,0.16,-0.06733270218065623,0.10058000893658484,0.0022411075086070666
1602949048953,2020-10-17T11:37:28.953,0.17,-0.08484172979578244,0.10689306499710977,0.0002964752899422995
1602949048963,2020-10-17T11:37:28.963,0.18,-0.10351914604797982,0.11249942539301361,-0.0016441239369225343
1602949048973,2020-10-17T11:37:28.973,0.19,-0.11751783034383814,0.11044261583254003,-0.0016077039676470964
1602949048983,2020-10-17T11:37:28.983,0.2,-0.1282549190050097,0.10161408754626547,-0.0005986792147698433
1602949048993,2020-10-17T11:37:28.993,0.21,-0.14137802941225702,0.09399749906665794,0.0008195792258232915
1602949049003,2020-10-17T11:37:29.003,0.22,-0.15638551387873026,0.09315439892906091,0.005581203927684247
1602949049013,2020-10-17T11:37:29.013,0.23,-0.1676174720944401,0.09794472553538211,0.015615701611884112
1602949049023,2020-10-17T11:37:29.023,0.24,-0.17285446825750353,0.10494740024429167,0.027186335189554114
1602949049033,2020-10-17T11:37:29.033,0.25,-0.17450548398005428,0.11172599962371815,0.0349938246352815
1602949049043,2020-10-17T11:37:29.043,0.26,-0.17556136472530484,0.11592270960635029,0.03881975098410721
1602949049053,2020-10-17T11:37:29.053,0.27,-0.17796578768778804,0.1159461571311447,0.041776155645809845
1602949049063,2020-10-17T11:37:29.063,0.28,-0.1819517650275532,0.11314521846647954,0.043894985003678166
1602949049073,2020-10-17T11:37:29.073,0.29,-0.1862832637112969,0.11053440059139713,0.043021429259428035
1602949049083,2020-10-17T11:37:29.083,0.3,-0.19070752777252623,0.10908813141597665,0.040740034537346384
1602949049093,2020-10-17T11:37:29.093,0.31,-0.19596827476893083,0.10712254704817131,0.04098776660016121
1602949049103,2020-10-17T11:37:29.103,0.32,-0.20129022665301777,0.10383747774050739,0.04350805447195037
1602949049113,2020-10-17T11:37:29.113,0.33,-0.20552116493966416,0.10182475410115777,0.04455880409441633
1602949049123,2020-10-17T11:37:29.123,0.34,-0.20952697002152765,0.10433170294327002,0.04322347545930693
1602949049133,2020-10-17T11:37:29.133,0.35,-0.21365400042736474,0.1103049597696191,0.04190915188646534
1602949049143,2020-10-17T11:37:29.143,0.36,-0.215249304428353,0.11415964002138164,0.0413327420458163
1602949049153,2020-10-17T11:37:29.153,0.37,-0.2126590188376854,0.11205573607517579,0.03945496030469671
1602949049163,2020-10-17T11:37:29.163,0.38,-0.2089905062373201,0.10694672269386882,0.03545193637286412
1602949049173,2020-10-17T11:37:29.173,0.39,-0.20779990079395044,0.10415921300588685,0.03126146921357099
1602949049183,2020-10-17T11:37:29.183,0.4,-0.2072918237195922,0.10327015614028534,0.028679611421918168
1602949049193,2020-10-17T11:37:29.193,0.41,-0.20259151252786778,0.09979363203140096,0.02753298138633665
1602949049203,2020-10-17T11:37:29.203,0.42,-0.19234222097181558,0.09441665346319886,0.027036991341513772
1602949049213,2020-10-17T11:37:29.213,0.43,-0.18003985062777836,0.09341007318032962,0.026583813733891133
1602949049223,2020-10-17T11:37:29.223,0.44,-0.16896562049209762,0.09849217730999284,0.024759816959154857
1602949049233,2020-10-17T11:37:29.233,0.45,-0.1580176576254381,0.10374089489212876,0.019991565875247534
1602949049243,2020-10-17T11:37:29.243,0.46,-0.14442408778412752,0.10579690950430182,0.013305685239400237
1602949049253,2020-10-17T11:37:29.253,0.47,-0.12922712715254225,0.10924839429560967,0.008212205479947256
1602949049263,2020-10-17T11:37:29.263,0.48,-0.11660276534408184,0.11601270263157354,0.006080915252044619
1602949049273,2020-10-17T11:37:29.273,0.49,-0.10845304488104679,0.11751693704916502,0.003952273922017134
1602949049283,2020-10-17T11:37:29.283,0.5,-0.10332645155003262,0.10687639091391007,-0.0005373287615708186
1602949049293,2020-10-17T11:37:29.293,0.51,-0.09982850582095457,0.09245440303854005,-0.004571306335311575
1602949049303,2020-10-17T11:37:29.303,0.52,-0.09807382382530896,0.08809693928628767,-0.0041984365089553
