epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1603638823492,2020-10-25T11:13:43.492,0.0,-0.01815933512642979,0.011444036566127299,0.013000996104714
1603638823502,2020-10-25T11:13:43.502,0.01,-0.023814872924467035,0.0064039574872529394,0.016968335661523448
1603638823512,2020-10-25T11:13:43.512,0.02,-0.026096634779172265,0.005476517617135345,0.017203988188772498
1603638823522,2020-10-25T11:13:43.522,0.03,-0.026123571530188502,0.006831114194526339,0.015493643576896353
1603638823532,2020-10-25T11:13:43.532,0.04,-0.027967765457115032,0.005762007551988871,0.016298403310146446
1603638823542,2020-10-25T11:13:43.542,0.05,-0.03327911205414685,0.0011475693108409356,0.02026206287442935
1603638823552,2020-10-25T11:13:43.552,0.06,-0.039359155477867606,-0.0036826152880503832,0.02365126891892031
1603638823562,2020-10-25T11:13:43.562,0.07,-0.04303578632343336,-0.005563153246322989,0.023473055424824217
1603638823572,2020-10-25T11:13:43.572,0.08,-0.044744083058194786,-0.0051142239868660596,0.020232033082467092
1603638823582,2020-10-25T11:13:43.582,0.09,-0.04735613564303284,-0.004809657045759297,0.015895675042776027
1603638823592,2020-10-25T11:13:43.592,0.1,-0.05194017688971575,-0.005214726450918186,0.01198547939203168
1603638823602,2020-10-25T11:13:43.602,0.11,-0.05630962912146796,-0.005412168078965979,0.009601081029670501
1603638823612,2020-10-25T11:13:43.612,0.12,-0.057583392772686585,-0.005193091505133111,0.008883774320414062
1603638823622,2020-10-25T11:13:43.622,0.13,-0.055108666518386244,-0.004590936840937901,0.008473085100293981
1603638823632,2020-10-25T11:13:43.632,0.14,-0.05079627555887793,-0.003358790945943413,0.007005305800078614
1603638823642,2020-10-25T11:13:43.642,0.15,-0.04723868231812908,-0.0021757969248824395,0.00499611296940726
1603638823652,2020-10-25T11:13:43.652,0.16,-0.04576407284540934,-0.002138845077190435,0.0041252618626726155
1603638823662,2020-10-25T11:13:43.662,0.17,-0.0458315179322212,-0.0026095617924662712,0.004422839383024043
1603638823672,2020-10-25T11:13:43.672,0.18,-0.04559636169641141,-0.001951499087704883,0.003830562683786728
1603638823682,2020-10-25T11:13:43.682,0.19,-0.04319695110331498,-0.0004889690342067471,0.0018953443882616019
1603638823692,2020-10-25T11:13:43.692,0.2,-0.03868822694893995,0.00010839843179647247,0.001201807023815823
1603638823702,2020-10-25T11:13:43.702,0.21,-0.035124899482679474,0.0002756678119481953,0.0027448905034885467
1603638823712,2020-10-25T11:13:43.712,0.22,-0.03599395260244948,0.0016681500660992823,0.00355856474478194
1603638823722,2020-10-25T11:13:43.722,0.23,-0.04063213816876954,0.0031015695117211093,0.0016355572445007844
1603638823732,2020-10-25T11:13:43.732,0.24,-0.044379523223443455,0.0018686549196993089,-0.0009536636576852264
1603638823742,2020-10-25T11:13:43.742,0.25,-0.04414376821844097,-0.001392039084016541,-0.0020018612858385743
1603638823752,2020-10-25T11:13:43.752,0.26,-0.041119575501484026,-0.0036445129544360596,-0.0021781456826521542
1603638823762,2020-10-25T11:13:43.762,0.27,-0.037648650405616116,-0.004235511549079354,-0.0026882459772402363
1603638823772,2020-10-25T11:13:43.772,0.28,-0.034783130398267206,-0.004852130449329758,-0.0032725826733109526
1603638823782,2020-10-25T11:13:43.782,0.29,-0.033434182693595785,-0.006268695627070682,-0.003475543090415556
1603638823792,2020-10-25T11:13:43.792,0.3,-0.03450276838680317,-0.008127220699912509,-0.003741645084826395
1603638823802,2020-10-25T11:13:43.802,0.31,-0.03680434899118255,-0.010178686979970448,-0.004729253984947964
1603638823812,2020-10-25T11:13:43.812,0.32,-0.037169346160202774,-0.011659719804478661,-0.006504697619907202
1603638823822,2020-10-25T11:13:43.822,0.33,-0.03350633783850511,-0.011278687996562536,-0.008480310109497985
1603638823832,2020-10-25T11:13:43.832,0.34,-0.026840232827140844,-0.009275397911061307,-0.009788609168529808
1603638823842,2020-10-25T11:13:43.842,0.35,-0.02029262762708458,-0.007727882245222374,-0.009856897494925165
1603638823852,2020-10-25T11:13:43.852,0.36,-0.016255914110964415,-0.007703211271932273,-0.009151587501584062
1603638823862,2020-10-25T11:13:43.862,0.37,-0.014479177692427292,-0.007637719995015278,-0.009372945269695662
1603638823872,2020-10-25T11:13:43.872,0.38,-0.013577327657702292,-0.005608313055662213,-0.011890200002410612
1603638823882,2020-10-25T11:13:43.882,0.39,-0.013806771722716448,-0.0023588198590671454,-0.015987670907490314
1603638823892,2020-10-25T11:13:43.892,0.4,-0.015952883339463726,-0.0010985584470930845,-0.019907889535566263
1603638823902,2020-10-25T11:13:43.902,0.41,-0.018085055680301765,-0.004072302133678537,-0.02280108552687628
1603638823912,2020-10-25T11:13:43.912,0.42,-0.017155305732184236,-0.0099267362774512,-0.024344827464752535
1603638823922,2020-10-25T11:13:43.922,0.43,-0.01367403945401063,-0.015453381722833573,-0.02440210600957292
1603638823932,2020-10-25T11:13:43.932,0.44,-0.010896670082745924,-0.019180982747007563,-0.02422543482904091
1603638823942,2020-10-25T11:13:43.942,0.45,-0.009743630447214314,-0.021557812834540474,-0.025480221882710177
1603638823952,2020-10-25T11:13:43.952,0.46,-0.00831456032111763,-0.02258174206999121,-0.027512546714081945
1603638823962,2020-10-25T11:13:43.962,0.47,-0.005907215975488816,-0.021205611012372855,-0.028297215361308824
1603638823972,2020-10-25T11:13:43.972,0.48,-0.004408562430056625,-0.016668831297246948,-0.028259862905796764
1603638823982,2020-10-25T11:13:43.982,0.49,-0.005687967175013306,-0.010013687360325405,-0.030219610680141083
1603638823992,2020-10-25T11:13:43.992,0.5,-0.008829587337451573,-0.004742480259038936,-0.03479131572104254
1603638824002,2020-10-25T11:13:44.002,0.51,-0.01036316847186713,-0.00463742055168075,-0.03881484430048771
1603638824012,2020-10-25T11:13:44.012,0.52,-0.007796883761230647,-0.00991428172387778,-0.03984304197880778
1603638824022,2020-10-25T11:13:44.022,0.53,-0.002181929254663347,-0.017091502212836934,-0.03906715968140129
1603638824032,2020-10-25T11:13:44.032,0.54,0.004038844097592439,-0.02277293529325015,-0.038209580190261
1603638824042,2020-10-25T11:13:44.042,0.55,0.010023844462268025,-0.025558666348378885,-0.03722028246018842
1603638824052,2020-10-25T11:13:44.052,0.56,0.015491111329498992,-0.025140646269333843,-0.03653750733832986
1603638824062,2020-10-25T11:13:44.062,0.57,0.018793947716193804,-0.021989361530725948,-0.037844613732797225
1603638824072,2020-10-25T11:13:44.072,0.58,0.01864262382527051,-0.017424164977851014,-0.04121517164277002
1603638824082,2020-10-25T11:13:44.082,0.59,0.01652215770477253,-0.013474552958850264,-0.04432728219431803
1603638824092,2020-10-25T11:13:44.092,0.6,0.015193092675496022,-0.013145912928646064,-0.04517005923558513
1603638824102,2020-10-25T11:13:44.102,0.61,0.015462385510364326,-0.017864870707823166,-0.04363630827126026
1603638824112,2020-10-25T11:13:44.112,0.62,0.016156590693591155,-0.02315471531724757,-0.040893161774266745
1603638824122,2020-10-25T11:13:44.122,0.63,0.01668172765877262,-0.022238695047067915,-0.03889622824913237
1603638824132,2020-10-25T11:13:44.132,0.64,0.017553625032856776,-0.01596089237518884,-0.03923482010475053
1603638824142,2020-10-25T11:13:44.142,0.65,0.018485972844341614,-0.012417194187421286,-0.04099043617256174
1603638824152,2020-10-25T11:13:44.152,0.66,0.01817431199921606,-0.014879790036510656,-0.04169933068491895
1603638824162,2020-10-25T11:13:44.162,0.67,0.016137214178011096,-0.01806827891161984,-0.04101523711039022
1603638824172,2020-10-25T11:13:44.172,0.68,0.01289054081691414,-0.018624828912026787,-0.040507214377177525
1603638824182,2020-10-25T11:13:44.182,0.69,0.008783578636485862,-0.020017633341898405,-0.04002074958855227
1603638824192,2020-10-25T11:13:44.192,0.7,0.004417699828169486,-0.02356163745406408,-0.03792121866988875
1603638824202,2020-10-25T11:13:44.202,0.71,0.0013266434522986167,-0.02437383004040212,-0.03454068148177927
1603638824212,2020-10-25T11:13:44.212,0.72,0.0005738500316443153,-0.020724889667581604,-0.03171458803704626
1603638824222,2020-10-25T11:13:44.222,0.73,0.0010340041377530221,-0.017827132188749165,-0.029579574637502788
1603638824232,2020-10-25T11:13:44.232,0.74,0.0001982098388038392,-0.01830857344968044,-0.027201180612701614
1603638824242,2020-10-25T11:13:44.242,0.75,-0.0030818762046114483,-0.018712108756628435,-0.025186298096404342
1603638824252,2020-10-25T11:13:44.252,0.76,-0.007349124949989343,-0.018051010700064783,-0.02442292325088457
1603638824262,2020-10-25T11:13:44.262,0.77,-0.010468659282616883,-0.019023956260816776,-0.02371446655877345
1603638824272,2020-10-25T11:13:44.272,0.78,-0.011991920179811665,-0.019409875672267762,-0.021355311643257522
1603638824282,2020-10-25T11:13:44.282,0.79,-0.012833178451641246,-0.014086807536388569,-0.017213555384343434
1603638824292,2020-10-25T11:13:44.292,0.8,-0.013362316421603251,-0.006465879820046687,-0.01171999997908476
1603638824302,2020-10-25T11:13:44.302,0.81,-0.01263906864375259,-0.0061464954259464605,-0.005203319052802667
1603638824312,2020-10-25T11:13:44.312,0.82,-0.008993434754990268,-0.014097441085037826,0.0014315887429290298
1603638824322,2020-10-25T11:13:44.322,0.83,-0.0013789718083293625,-0.020471893775509033,0.0077531971711519345
1603638824332,2020-10-25T11:13:44.332,0.84,0.008822414225487078,-0.01854643504876944,0.014382095757428059
1603638824342,2020-10-25T11:13:44.342,0.85,0.01795955523349828,-0.012794910050451304,0.02051492293665267
1603638824352,2020-10-25T11:13:44.352,0.86,0.023237034103834167,-0.011372086292208886,0.023471640796687104
1603638824362,2020-10-25T11:13:44.362,0.87,0.02472646839532502,-0.015631099811680253,0.022520977419088248
1603638824372,2020-10-25T11:13:44.372,0.88,0.024045887239876017,-0.019344975992391343,0.020027592553301728
1603638824382,2020-10-25T11:13:44.382,0.89,0.023034138636433908,-0.017072639597627975,0.017610809576657498
1603638824392,2020-10-25T11:13:44.392,0.9,0.023591989355559298,-0.011126707105605045,0.01468828439597309
1603638824402,2020-10-25T11:13:44.402,0.91,0.026407724785801952,-0.008220914947523235,0.011530821109203143
1603638824412,2020-10-25T11:13:44.412,0.92,0.029654390287165086,-0.010384016236313213,0.00983560931043943
1603638824422,2020-10-25T11:13:44.422,0.93,0.030489453777955765,-0.012648735725225117,0.009443829559890884
1603638824432,2020-10-25T11:13:44.432,0.94,0.02800748652575284,-0.010030955758931249,0.008065271964968182
1603638824442,2020-10-25T11:13:44.442,0.95,0.024062932017960538,-0.003653273259001682,0.005078349311537668
