epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1605378405602,2020-11-14T13:26:45.602,0.0,2.076827985078183,-11.293955845434306,8.880545753563135
1605378405612,2020-11-14T13:26:45.612,0.01,0.8592793867726558,-12.111640909635087,9.159557362931443
1605378405622,2020-11-14T13:26:45.622,0.02,-0.14523639790673634,-15.313978191280796,9.825999142937363
1605378405632,2020-11-14T13:26:45.632,0.03,-0.27747612904038427,-20.526237940838733,11.186360845179527
1605378405642,2020-11-14T13:26:45.642,0.04,0.6805053893615425,-25.62821027656414,13.32282139092656
1605378405652,2020-11-14T13:26:45.652,0.05,1.9312213688828999,-29.49047058144594,15.91458534204444
1605378405662,2020-11-14T13:26:45.662,0.06,2.8175120364255677,-32.753309407190095,18.213348467407748
1605378405672,2020-11-14T13:26:45.672,0.07,3.736987273034595,-36.72764906799914,19.47580810243094
1605378405682,2020-11-14T13:26:45.682,0.08,4.746501606868882,-42.26985339193369,19.71469387084273
1605378405692,2020-11-14T13:26:45.692,0.09,4.302107159126719,-49.19254268385561,19.84764085142188
1605378405702,2020-11-14T13:26:45.702,0.1,1.4422029884140743,-56.32322911950312,20.708598644266903
1605378405712,2020-11-14T13:26:45.712,0.11,-1.6728416225040745,-62.38547772688093,22.014452799243507
1605378405722,2020-11-14T13:26:45.722,0.12,-1.658416260825924,-66.91172563669238,22.688021277039063
1605378405732,2020-11-14T13:26:45.732,0.13,2.428911828328999,-70.1462928627404,22.15890593892415
1605378405742,2020-11-14T13:26:45.742,0.14,8.152298894536594,-72.33685856333614,21.041630938625865
1605378405752,2020-11-14T13:26:45.752,0.15,11.106594997419005,-73.76915085450868,20.291841726928787
1605378405762,2020-11-14T13:26:45.762,0.16,8.88699116107031,-75.59415921412611,19.622692986669527
1605378405772,2020-11-14T13:26:45.772,0.17,5.5142602259161695,-79.6837388068286,17.35739883727933
1605378405782,2020-11-14T13:26:45.782,0.18,7.650320657980774,-86.82624675811674,12.591373049427371
1605378405792,2020-11-14T13:26:45.792,0.19,14.659672949948696,-95.52536772659079,6.808429676945714
