epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1627844784249,2021-08-01T15:06:24.249,0.0,6.594268166537685e-07,3.1166096776974224e-07,1.4926779009119589e-06
1627844784299,2021-08-01T15:06:24.299,0.05,5.324352651478743e-07,1.5728112708141054e-06,1.6848172839908044e-06
1627844784349,2021-08-01T15:06:24.349,0.1,3.1350718245531356e-07,2.7529320578623143e-06,1.6270953698655657e-06
1627844784399,2021-08-01T15:06:24.399,0.15,-7.113766767539863e-10,4.208351262336116e-06,1.5226858224214557e-06
1627844784449,2021-08-01T15:06:24.449,0.2,-3.282769467585007e-07,5.763416608791193e-06,1.5839071855433665e-06
1627844784499,2021-08-01T15:06:24.499,0.25,-6.068190587762154e-07,7.170749337290137e-06,1.6869938541153456e-06
1627844784549,2021-08-01T15:06:24.549,0.3,-7.786053461070641e-07,7.89759805633847e-06,1.8834401198237004e-06
1627844784599,2021-08-01T15:06:24.599,0.35,-8.246447018254282e-07,5.903450728502879e-06,2.43182389815746e-06
1627844784649,2021-08-01T15:06:24.649,0.4,-1.0056961503022283e-06,1.1551426978911855e-06,3.028042950827079e-06
1627844784699,2021-08-01T15:06:24.699,0.45,-1.5346579492000507e-06,-1.4698677476024442e-06,3.0662819826959297e-06
1627844784749,2021-08-01T15:06:24.749,0.5,-1.885062841795414e-06,1.2540139866758752e-06,2.7291488402867816e-06
1627844784799,2021-08-01T15:06:24.799,0.55,-1.4197402992691802e-06,5.4694516906886e-06,2.7710721811745326e-06
1627844784849,2021-08-01T15:06:24.849,0.6,-5.786713916438368e-07,6.6098826661538e-06,3.3467809511168456e-06
1627844784899,2021-08-01T15:06:24.899,0.65,-2.0944994445833852e-07,5.645717664238876e-06,3.87663732001949e-06
1627844784949,2021-08-01T15:06:24.949,0.7,-2.5486487295551694e-07,5.342805494753542e-06,3.919218957268135e-06
1627844784999,2021-08-01T15:06:24.999,0.75,-2.561327169066638e-07,5.866204348707074e-06,3.6512573430853848e-06
1627844785049,2021-08-01T15:06:25.049,0.8,-3.0087527799033806e-07,6.300887908772176e-06,3.5772207096363584e-06
1627844785099,2021-08-01T15:06:25.099,0.85,-5.993956899421142e-07,6.531255752753478e-06,4.0031338090374465e-06
1627844785149,2021-08-01T15:06:25.149,0.9,-9.526094407125772e-07,6.583104914528207e-06,4.6889345880650545e-06
1627844785199,2021-08-01T15:06:25.199,0.95,-1.1474622437621975e-06,6.268314390885875e-06,5.035118883270488e-06
1627844785249,2021-08-01T15:06:25.249,1.0,-1.2492664773742432e-06,5.7319998621306295e-06,4.833664349986472e-06
1627844785299,2021-08-01T15:06:25.299,1.05,-1.254703652731486e-06,5.403321828371519e-06,4.574489483244279e-06
1627844785349,2021-08-01T15:06:25.349,1.1,-9.767762901159506e-07,5.425408011445879e-06,4.640211662599876e-06
1627844785399,2021-08-01T15:06:25.399,1.15,-5.225252342485218e-07,5.478246994360114e-06,4.727274020061552e-06
1627844785449,2021-08-01T15:06:25.449,1.2,-4.4328002456035816e-07,5.260120269965673e-06,4.5954752632825745e-06
1627844785499,2021-08-01T15:06:25.499,1.25,-9.784247499963626e-07,5.0143337705458245e-06,4.588414634501238e-06
1627844785549,2021-08-01T15:06:25.549,1.3,-1.4314049432093669e-06,5.103748209647931e-06,4.777867007489411e-06
1627844785599,2021-08-01T15:06:25.599,1.35,-1.001584516239978e-06,5.175428755240639e-06,4.613445987401253e-06
1627844785649,2021-08-01T15:06:25.649,1.4,-1.1353775534987366e-07,4.713569670468533e-06,3.9828643894242635e-06
1627844785699,2021-08-01T15:06:25.699,1.45,1.2064208479924847e-07,4.1822659560128405e-06,3.524709010179225e-06
1627844785749,2021-08-01T15:06:25.749,1.5,-3.280364561238972e-07,4.2789793271484545e-06,3.600297375837682e-06
1627844785799,2021-08-01T15:06:25.799,1.55,-5.481755927095676e-07,4.642078259084628e-06,3.945981481405252e-06
1627844785849,2021-08-01T15:06:25.849,1.6,-4.579865403567048e-07,4.714283786067664e-06,4.2598928614871175e-06
1627844785899,2021-08-01T15:06:25.899,1.65,-7.944764477298305e-07,4.769110527463835e-06,4.356692214326596e-06
1627844785949,2021-08-01T15:06:25.949,1.7,-1.4177680775609162e-06,4.91084528430004e-06,4.124066644975322e-06
1627844785999,2021-08-01T15:06:25.999,1.75,-1.3949896698383147e-06,4.5871391338598274e-06,3.8111218507087685e-06
1627844786049,2021-08-01T15:06:26.049,1.8,-8.955359318351969e-07,3.7864284588180606e-06,3.84255505550555e-06
1627844786099,2021-08-01T15:06:26.099,1.85,-1.1618065949824926e-06,3.189091238573528e-06,4.1779208025618955e-06
1627844786149,2021-08-01T15:06:26.149,1.9,-2.2336908536651212e-06,3.067707811455393e-06,4.37726319101159e-06
1627844786199,2021-08-01T15:06:26.199,1.95,-2.6316506521845662e-06,3.223849017917538e-06,4.274927663099687e-06
1627844786249,2021-08-01T15:06:26.249,2.0,-1.8444377511816707e-06,3.497956025214604e-06,4.156085267388317e-06
1627844786299,2021-08-01T15:06:26.299,2.05,-1.2029595773058483e-06,3.6503119683522465e-06,4.32416652605622e-06
1627844786349,2021-08-01T15:06:26.349,2.1,-1.6561632173478343e-06,3.5173858212398443e-06,4.7480863013781795e-06
1627844786399,2021-08-01T15:06:26.399,2.15,-2.3773920596886187e-06,3.2959879138859215e-06,5.096936263935184e-06
1627844786449,2021-08-01T15:06:26.449,2.2,-2.239114011815664e-06,2.9893311917309484e-06,5.109114890031728e-06
1627844786499,2021-08-01T15:06:26.499,2.25,-1.4727554542449756e-06,2.4344373273173218e-06,4.987072068612474e-06
1627844786549,2021-08-01T15:06:26.549,2.3,-1.1858692493660937e-06,2.2089543962136413e-06,5.185117189884549e-06
1627844786599,2021-08-01T15:06:26.599,2.35,-1.7254920438386078e-06,2.9069052385166272e-06,5.678637596867226e-06
1627844786649,2021-08-01T15:06:26.649,2.4,-2.130995888157e-06,3.7499959551743324e-06,5.892552066679022e-06
1627844786699,2021-08-01T15:06:26.699,2.45,-1.4873551844654188e-06,3.7584076497982536e-06,5.6172490273264535e-06
1627844786749,2021-08-01T15:06:26.749,2.5,-4.1226663894757555e-07,3.360361898384782e-06,5.47595842036062e-06
1627844786799,2021-08-01T15:06:26.799,2.55,-2.394562122067799e-07,3.2610398541979805e-06,6.063648911637726e-06
1627844786849,2021-08-01T15:06:26.849,2.6,-9.427746301561345e-07,3.2696980032197016e-06,7.0041159338694925e-06
1627844786899,2021-08-01T15:06:26.899,2.65,-1.3440780221748857e-06,3.2976509131259927e-06,7.328323740224187e-06
1627844786949,2021-08-01T15:06:26.949,2.7,-1.1571436134432215e-06,3.6189914842482853e-06,6.782904657121882e-06
1627844786999,2021-08-01T15:06:26.999,2.75,-1.0536935143429365e-06,3.794319372002557e-06,6.373288717626685e-06
1627844787049,2021-08-01T15:06:27.049,2.8,-1.1353593162742068e-06,3.3238293084939408e-06,7.02219639217931e-06
1627844787099,2021-08-01T15:06:27.099,2.85,-1.113509793435058e-06,2.856596056895303e-06,8.015505420596565e-06
1627844787149,2021-08-01T15:06:27.149,2.9,-1.2418495380240873e-06,2.9183771168745906e-06,8.003670052715923e-06
1627844787199,2021-08-01T15:06:27.199,2.95,-1.5811132768710881e-06,2.894708266350661e-06,7.170901167819511e-06
1627844787249,2021-08-01T15:06:27.249,3.0,-1.5075475300275006e-06,2.6879624360696897e-06,6.777369742295498e-06
1627844787299,2021-08-01T15:06:27.299,3.05,-1.0749839313297676e-06,3.0918490887351043e-06,7.062513968159434e-06
1627844787349,2021-08-01T15:06:27.349,3.1,-1.2445240050881472e-06,3.742883037349525e-06,7.280700103943834e-06
1627844787399,2021-08-01T15:06:27.399,3.15,-1.893684648020975e-06,3.4565067143589e-06,7.22561438352577e-06
1627844787449,2021-08-01T15:06:27.449,3.2,-1.6987819646825929e-06,2.6422779272413758e-06,7.32978551500545e-06
1627844787499,2021-08-01T15:06:27.499,3.25,-6.874568364308618e-07,2.603529633199607e-06,7.695703302134667e-06
1627844787549,2021-08-01T15:06:27.549,3.3,-3.789081599467848e-07,3.0768442887345826e-06,7.84981333105672e-06
1627844787599,2021-08-01T15:06:27.599,3.35,-1.0292459672428448e-06,2.9484431544498487e-06,7.289483078628754e-06
1627844787649,2021-08-01T15:06:27.649,3.4,-1.4719369446210886e-06,2.308075831296127e-06,6.077369045081127e-06
1627844787699,2021-08-01T15:06:27.699,3.45,-1.4174805177550697e-06,1.892012596016575e-06,4.859782241587257e-06
1627844787749,2021-08-01T15:06:27.749,3.5,-1.3236755479924656e-06,1.734206964688933e-06,4.160490181280541e-06
1627844787799,2021-08-01T15:06:27.799,3.55,-1.0056102330160628e-06,1.494163036505e-06,3.90414294278648e-06
1627844787849,2021-08-01T15:06:27.849,3.6,-4.3159387026095923e-07,1.1566466764422842e-06,3.839245024602331e-06
1627844787899,2021-08-01T15:06:27.899,3.65,-3.362008587500481e-07,1.0433761511232804e-06,3.8999724077899365e-06
