epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1627859176799,2021-08-01T19:06:16.799,0.0,-1.8099204024277848,5.271934127992166,10.898756027504687
1627859176809,2021-08-01T19:06:16.809,0.01,-1.5527176203912645,5.006012580220287,11.156076245818438
1627859176819,2021-08-01T19:06:16.819,0.02,-1.195350781267667,4.56058330737823,11.094478230253147
1627859176829,2021-08-01T19:06:16.829,0.03,-1.0628476354912073,3.893889112592794,10.81519431645025
1627859176839,2021-08-01T19:06:16.839,0.04,-1.3688829745419384,3.1520321768296027,10.619914081177033
1627859176849,2021-08-01T19:06:16.849,0.05,-1.7433274552453732,2.539194535122716,10.576111476141213
1627859176859,2021-08-01T19:06:16.859,0.06,-1.8002741675202745,2.149916436372706,10.521534714487707
1627859176869,2021-08-01T19:06:16.869,0.07,-1.7655824095414907,1.9675042319824052,10.36150766640224
1627859176879,2021-08-01T19:06:16.879,0.08,-2.041264519093149,1.9362460982350655,10.14529309808745
1627859176889,2021-08-01T19:06:16.889,0.09,-2.443452525998749,1.9745679802180764,9.884810937548203
1627859176899,2021-08-01T19:06:16.899,0.1,-2.4445484790180743,2.0078979884485255,9.49328746813281
1627859176909,2021-08-01T19:06:16.909,0.11,-2.0582199842349294,2.040263615485909,8.951940295521034
1627859176919,2021-08-01T19:06:16.919,0.12,-1.8584824787913283,2.1580057188682837,8.39102387502351
1627859176929,2021-08-01T19:06:16.929,0.13,-2.067384308999301,2.456500294592903,7.953108130322489
1627859176939,2021-08-01T19:06:16.939,0.14,-2.252822694396858,2.960841890073929,7.691702103816458
1627859176949,2021-08-01T19:06:16.949,0.15,-2.0905641723085013,3.595055764214928,7.607094675082216
1627859176959,2021-08-01T19:06:16.959,0.16,-1.8300428253619752,4.236066003213499,7.6496673807486255
1627859176969,2021-08-01T19:06:16.969,0.17,-1.779991010425665,4.813854210525813,7.700456270649987
1627859176979,2021-08-01T19:06:16.979,0.18,-1.8470178892056333,5.34165877539272,7.668316122592157
1627859176989,2021-08-01T19:06:16.989,0.19,-1.8328405542631032,5.841874823376148,7.583854565234159
1627859176999,2021-08-01T19:06:16.999,0.2,-1.8037803643060804,6.28735840552771,7.524431640817472
1627859177009,2021-08-01T19:06:17.009,0.21,-1.9373832541010885,6.6324587011330145,7.505858426450532
1627859177019,2021-08-01T19:06:17.019,0.22,-2.22135926403314,6.840762649804814,7.492534388764183
1627859177029,2021-08-01T19:06:17.029,0.23,-2.449854584676839,6.870042648993888,7.435427469139813
1627859177039,2021-08-01T19:06:17.039,0.24,-2.4274045765562797,6.711567379379932,7.2823507237965845
1627859177049,2021-08-01T19:06:17.049,0.25,-2.1347929768101217,6.457456186668848,7.044901965609663
1627859177059,2021-08-01T19:06:17.059,0.26,-1.7486247675356705,6.252136576406235,6.861453878672416
1627859177069,2021-08-01T19:06:17.069,0.27,-1.4996258787571959,6.165782495851359,6.8917454147158335
1627859177079,2021-08-01T19:06:17.079,0.28,-1.4655887451255836,6.157094246667127,7.147951155340657
1627859177089,2021-08-01T19:06:17.089,0.29,-1.5065990180751827,6.146653572918174,7.523709162429302
1627859177099,2021-08-01T19:06:17.099,0.3,-1.4418355341125642,6.096115171250268,7.952990439152259
1627859177109,2021-08-01T19:06:17.109,0.31,-1.2794137611619005,6.0262155589878414,8.43163422664568
1627859177119,2021-08-01T19:06:17.119,0.32,-1.2238048125689802,5.977697676684676,8.938650818096594
1627859177129,2021-08-01T19:06:17.129,0.33,-1.4410986397074703,5.957081607675269,9.43528791921617
1627859177139,2021-08-01T19:06:17.139,0.34,-1.8412258371552994,5.916576408142177,9.883760274540714
1627859177149,2021-08-01T19:06:17.149,0.35,-2.1418997978432315,5.7964999143343325,10.22505255618339
1627859177159,2021-08-01T19:06:17.159,0.36,-2.1852309567547277,5.597384594209049,10.41938153643333
1627859177169,2021-08-01T19:06:17.169,0.37,-2.1255801940649457,5.391670653610926,10.509556784419432
1627859177179,2021-08-01T19:06:17.179,0.38,-2.202301730035369,5.238835176757906,10.553120714712435
1627859177189,2021-08-01T19:06:17.189,0.39,-2.3966845801241248,5.0990111056675005,10.514656460414116
1627859177199,2021-08-01T19:06:17.199,0.4,-2.4825253240184133,4.868507320206895,10.317785065217667
1627859177209,2021-08-01T19:06:17.209,0.41,-2.385886051160503,4.511435932088565,9.973252012169374
1627859177219,2021-08-01T19:06:17.219,0.42,-2.2956340024511164,4.111736003877088,9.563034972602035
1627859177229,2021-08-01T19:06:17.229,0.43,-2.374480241459948,3.7609554451605383,9.115470476359874
1627859177239,2021-08-01T19:06:17.239,0.44,-2.536361000898578,3.438460956603759,8.571552949085
1627859177249,2021-08-01T19:06:17.249,0.45,-2.6105850031389357,3.0591112884890013,7.865352771165215
1627859177259,2021-08-01T19:06:17.259,0.46,-2.5766008594502554,2.592028551383131,6.966542359062656
1627859177269,2021-08-01T19:06:17.269,0.47,-2.4870016282611758,2.0393324848307106,5.8395958914633646
1627859177279,2021-08-01T19:06:17.279,0.48,-2.292661093657713,1.3486649076613277,4.465115223134929
1627859177289,2021-08-01T19:06:17.289,0.49,-1.9474534046734355,0.4849831479363046,2.940843085671115
1627859177299,2021-08-01T19:06:17.299,0.5,-1.575002433299899,-0.46051703462976934,1.410233957441109
1627859177309,2021-08-01T19:06:17.309,0.51,-1.2660495946742636,-1.3921480093435312,-0.17522577645373102
1627859177319,2021-08-01T19:06:17.319,0.52,-0.7745642458647384,-2.362088854310456,-2.011342548606903
1627859177329,2021-08-01T19:06:17.329,0.53,0.23670454010362618,-3.4212531336954153,-4.0746116275428035
1627859177339,2021-08-01T19:06:17.339,0.54,1.6118569585544362,-4.430307761688286,-6.065734512110755
1627859177349,2021-08-01T19:06:17.349,0.55,2.7661935799154427,-5.1990649200098975,-7.813508095304504
1627859177359,2021-08-01T19:06:17.359,0.56,3.467449571825796,-5.670218194054787,-9.429414333657922
1627859177369,2021-08-01T19:06:17.369,0.57,4.108606063865233,-5.833012852566876,-10.965977234157368
1627859177379,2021-08-01T19:06:17.379,0.58,4.982643121619497,-5.6546949080665385,-12.231510282922017
1627859177389,2021-08-01T19:06:17.389,0.59,5.744061127928357,-5.2012634130887925,-13.017608211030566
1627859177399,2021-08-01T19:06:17.399,0.6,5.9069003768803805,-4.621979159958444,-13.255627609276917
1627859177409,2021-08-01T19:06:17.409,0.61,5.501567233535722,-3.9435380507495696,-12.941633066037415
1627859177419,2021-08-01T19:06:17.419,0.62,4.903389699028231,-3.049761324697204,-12.10158910769021
1627859177429,2021-08-01T19:06:17.429,0.63,4.282918520906112,-1.8859194596243727,-10.792557261882635
1627859177439,2021-08-01T19:06:17.439,0.64,3.5271818883404245,-0.5229857566492924,-9.023158380821737
1627859177449,2021-08-01T19:06:17.449,0.65,2.540012720735586,0.9768045867033155,-6.741196182444382
1627859177459,2021-08-01T19:06:17.459,0.66,1.381725642259871,2.5950646159286874,-3.943569154994549
1627859177469,2021-08-01T19:06:17.469,0.67,0.15922093210183536,4.25069059482694,-0.7085308132351467
1627859177479,2021-08-01T19:06:17.479,0.68,-1.0883752296831768,5.7938652492897935,2.881063705471459
1627859177489,2021-08-01T19:06:17.489,0.69,-2.3697892015230524,7.127757314961162,6.731659066633743
1627859177499,2021-08-01T19:06:17.499,0.7,-3.632602386404646,8.253512654774305,10.64537716215042
1627859177509,2021-08-01T19:06:17.509,0.71,-4.715797007686466,9.187697682800788,14.337653727000196
1627859177519,2021-08-01T19:06:17.519,0.72,-5.477713492272548,9.904991743464345,17.58193019419175
1627859177529,2021-08-01T19:06:17.529,0.73,-5.965516244687873,10.389683701296835,20.288141652141185
1627859177539,2021-08-01T19:06:17.539,0.74,-6.371815700070399,10.69270713186987,22.45224410188288
1627859177549,2021-08-01T19:06:17.549,0.75,-6.818330333765694,10.87667480398472,24.08151102613836
1627859177559,2021-08-01T19:06:17.559,0.76,-7.237522766272679,10.922673200188848,25.157521231580546
1627859177569,2021-08-01T19:06:17.569,0.77,-7.459099475220714,10.784921234569392,25.6729733097742
1627859177579,2021-08-01T19:06:17.579,0.78,-7.443347233167311,10.536683465284357,25.713870740597265
1627859177589,2021-08-01T19:06:17.589,0.79,-7.439713363806867,10.23706516323476,25.304159729791078
1627859177599,2021-08-01T19:06:17.599,0.8,-7.64348357583955,9.492149025575277,23.92994424665953
1627859177609,2021-08-01T19:06:17.609,0.81,-7.578553205381773,7.472661709913134,20.492324309825747
1627859177619,2021-08-01T19:06:17.619,0.82,-6.461964519484566,3.7904399739955794,14.277232689836861
1627859177629,2021-08-01T19:06:17.629,0.83,-4.593540329770056,-0.9433649427124731,5.824214584815677
1627859177639,2021-08-01T19:06:17.639,0.84,-3.3563350317798344,-5.980272955680963,-3.7927217078202524
1627859177649,2021-08-01T19:06:17.649,0.85,-2.9131598315576177,-11.46977519809474,-14.340787963976945
1627859177659,2021-08-01T19:06:17.659,0.86,-1.0870268651442374,-17.932106544358902,-26.244508583787713
1627859177669,2021-08-01T19:06:17.669,0.87,3.944584899939728,-25.05410800748401,-39.114777358180184
1627859177679,2021-08-01T19:06:17.679,0.88,10.618459863195405,-31.757789597278553,-51.37645430591437
1627859177689,2021-08-01T19:06:17.689,0.89,15.247369093816246,-37.293067514298976,-61.543621929428156
1627859177699,2021-08-01T19:06:17.699,0.9,16.02387932931643,-41.71629532617543,-69.27804939369211
1627859177709,2021-08-01T19:06:17.709,0.91,14.557053360203101,-45.40155692315619,-75.11719328487764
1627859177719,2021-08-01T19:06:17.719,0.92,13.648070367530394,-48.53427683476808,-79.6861800689193
1627859177729,2021-08-01T19:06:17.729,0.93,14.632454253962608,-51.132466374196646,-83.32107319069982
1627859177739,2021-08-01T19:06:17.739,0.94,16.893072682515253,-53.26791958634479,-86.0885666906008
1627859177749,2021-08-01T19:06:17.749,0.95,18.987230151620395,-55.109810244756034,-87.92472043258691
1627859177759,2021-08-01T19:06:17.759,0.96,19.828388979421064,-56.8080471463282,-88.82267201843615
