epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636134503762,2021-11-05T13:48:23.762,0.0,0.005523287832433077,4.1491225513389104e-05,0.0013347505440312183
1636134503772,2021-11-05T13:48:23.772,0.01,0.005248672076899529,-0.0013547207819700933,0.0019774079759295794
1636134503782,2021-11-05T13:48:23.782,0.02,0.005308758543180277,-0.0006799621120243976,0.0006820997750278507
1636134503792,2021-11-05T13:48:23.792,0.03,0.004813564714968884,0.0001838313519457067,-0.002120582991137347
1636134503802,2021-11-05T13:48:23.802,0.04,0.003634935827489968,-0.0005917642494618554,-0.004077390700986925
1636134503812,2021-11-05T13:48:23.812,0.05,0.0035639498655272595,-0.0015270669198531597,-0.003388044736383474
1636134503822,2021-11-05T13:48:23.822,0.06,0.00508382850762302,-0.0016001033711828562,-0.0006538614607916096
1636134503832,2021-11-05T13:48:23.832,0.07,0.005394244247355578,-0.0023418115087055734,0.0014726463187233047
1636134503842,2021-11-05T13:48:23.842,0.08,0.0028648359643097146,-0.003862175472614547,0.0009467179060083169
1636134503852,2021-11-05T13:48:23.852,0.09,0.000591227432424737,-0.0037547544244785173,-0.0011000193837682622
1636134503862,2021-11-05T13:48:23.862,0.1,0.0016482866532743041,-0.0018471843602907473,-0.001774465631879476
1636134503872,2021-11-05T13:48:23.872,0.11,0.004120575143705189,-0.0009018304366343168,-0.00042455234818985295
1636134503882,2021-11-05T13:48:23.882,0.12,0.0046345210476640645,-0.0013313185794268285,0.0010599124972448452
1636134503892,2021-11-05T13:48:23.892,0.13,0.0032465419098327204,-0.0008521797912129409,0.0016773148498642572
1636134503902,2021-11-05T13:48:23.902,0.14,0.0018427000493368643,8.2757286969966e-05,0.0021800384604615925
1636134503912,2021-11-05T13:48:23.912,0.15,0.0010469921325278425,-0.0014459219466579248,0.0029355728760917027
1636134503922,2021-11-05T13:48:23.922,0.16,0.000734106659596733,-0.005089828179646063,0.0037018396070691876
1636134503932,2021-11-05T13:48:23.932,0.17,0.0010201258463084489,-0.007506800022571332,0.004912719090555849
1636134503942,2021-11-05T13:48:23.942,0.18,0.001275335964598928,-0.007870954623127376,0.006701222023407448
1636134503952,2021-11-05T13:48:23.952,0.19,-9.357984843932729e-05,-0.008076921052147353,0.00758770853637007
1636134503962,2021-11-05T13:48:23.962,0.2,-0.003117776274079915,-0.00854319134719239,0.006616595304281274
1636134503972,2021-11-05T13:48:23.972,0.21,-0.0048370045561170905,-0.008209640110622786,0.005558237099410202
1636134503982,2021-11-05T13:48:23.982,0.22,-0.0031746278157785447,-0.007470676599499303,0.0063841978426217895
1636134503992,2021-11-05T13:48:23.992,0.23,-0.0008578127734429494,-0.0075451795661607484,0.008083361945362256
1636134504002,2021-11-05T13:48:24.002,0.24,-0.0015921178321221128,-0.008066638758426826,0.008360723675542449
1636134504012,2021-11-05T13:48:24.012,0.25,-0.004235111094433202,-0.007906041275363648,0.006598897004892033
1636134504022,2021-11-05T13:48:24.022,0.26,-0.005391069025672735,-0.007323383851536655,0.003672069360569978
1636134504032,2021-11-05T13:48:24.032,0.27,-0.005437197335172472,-0.0073966343555908875,0.001055029287224301
1636134504042,2021-11-05T13:48:24.042,0.28,-0.007176237032873827,-0.00803787370357312,0.00017290924018758657
1636134504052,2021-11-05T13:48:24.052,0.29,-0.010612889643547454,-0.0080246343233222,0.0004897225951003389
1636134504062,2021-11-05T13:48:24.062,0.3,-0.013288457654288495,-0.006984953065721621,-0.00030257048121690324
1636134504072,2021-11-05T13:48:24.072,0.31,-0.014423978792040671,-0.006081836991822261,-0.0026334227255403325
1636134504082,2021-11-05T13:48:24.082,0.32,-0.015541717121509218,-0.005969362973775351,-0.0043190341129496854
1636134504092,2021-11-05T13:48:24.092,0.33,-0.017699833893392608,-0.0056001353550637345,-0.004492155479944988
1636134504102,2021-11-05T13:48:24.102,0.34,-0.020298135613523935,-0.0043973080175825265,-0.005014090095765556
1636134504112,2021-11-05T13:48:24.112,0.35,-0.022221762443668067,-0.0034267268483493055,-0.007073077536212929
1636134504122,2021-11-05T13:48:24.122,0.36,-0.022753325359248552,-0.0025557169359194383,-0.009218433461985531
1636134504132,2021-11-05T13:48:24.132,0.37,-0.02183848517809627,0.0005853226340963142,-0.009826013119846454
1636134504142,2021-11-05T13:48:24.142,0.38,-0.020407354807042036,0.0058463461132929025,-0.00956189209009345
1636134504152,2021-11-05T13:48:24.152,0.39,-0.019666179126296944,0.007825567694996417,-0.010078655982074823
1636134504162,2021-11-05T13:48:24.162,0.4,-0.01956603286601743,0.002441316755143235,-0.011341176731794361
1636134504172,2021-11-05T13:48:24.172,0.41,-0.019287304700843777,-0.0056302653028542935,-0.011863504001534717
1636134504182,2021-11-05T13:48:24.182,0.42,-0.019272409984899562,-0.007389022281654012,-0.011261561209612758
1636134504192,2021-11-05T13:48:24.192,0.43,-0.02066274210517622,-0.0009229610936325667,-0.010748545803037442
1636134504202,2021-11-05T13:48:24.202,0.44,-0.022662463680911432,0.006551025067788072,-0.010837898943863954
1636134504212,2021-11-05T13:48:24.212,0.45,-0.022957365550652635,0.00804956805808883,-0.010428124989584111
1636134504222,2021-11-05T13:48:24.222,0.46,-0.02129387833117031,0.003573505133601034,-0.008845501180802101
1636134504232,2021-11-05T13:48:24.232,0.47,-0.02030719098534802,-0.002710604020974358,-0.006961864293045274
1636134504242,2021-11-05T13:48:24.242,0.48,-0.02145888832697381,-0.007564438598301807,-0.00548959628501027
1636134504252,2021-11-05T13:48:24.252,0.49,-0.02231037969794745,-0.010025902834303733,-0.004138135470176127
1636134504262,2021-11-05T13:48:24.262,0.5,-0.02051937315005905,-0.010751788823182801,-0.0031288530696165283
1636134504272,2021-11-05T13:48:24.272,0.51,-0.01855056959381274,-0.01071569591723702,-0.003197329150143131
1636134504282,2021-11-05T13:48:24.282,0.52,-0.020063645476010812,-0.009514507985023369,-0.0036289729256561275
1636134504292,2021-11-05T13:48:24.292,0.53,-0.023267630370537324,-0.006412507514960075,-0.002856668848614611
1636134504302,2021-11-05T13:48:24.302,0.54,-0.023471337738293956,-0.0033933799502463523,-0.0011197417451121832
1636134504312,2021-11-05T13:48:24.312,0.55,-0.02092808068817818,-0.0035085660203421046,-7.04512397568696e-05
1636134504322,2021-11-05T13:48:24.322,0.56,-0.01992590902491122,-0.005779213015332971,-0.00011801786973253914
1636134504332,2021-11-05T13:48:24.332,0.57,-0.021156272196066007,-0.006464593754477194,-0.0003913154678600577
1636134504342,2021-11-05T13:48:24.342,0.58,-0.02129724015956542,-0.005243142291630596,-0.00046633564963585283
1636134504352,2021-11-05T13:48:24.352,0.59,-0.01942757156747192,-0.004878946179924528,-0.00021982497760111679
1636134504362,2021-11-05T13:48:24.362,0.6,-0.01807989293625144,-0.0057535597790810255,0.0006081926083320094
1636134504372,2021-11-05T13:48:24.372,0.61,-0.018333965179267872,-0.006116914574033416,0.0012842130563802024
1636134504382,2021-11-05T13:48:24.382,0.62,-0.018425138989477723,-0.006217408098155772,0.0005460905303707286
1636134504392,2021-11-05T13:48:24.392,0.63,-0.016980841866505333,-0.0072578739703923565,-0.0009348035147461719
1636134504402,2021-11-05T13:48:24.402,0.64,-0.01484086533127267,-0.008055210454846124,-0.000979451778990934
1636134504412,2021-11-05T13:48:24.412,0.65,-0.013944500093284223,-0.006779295697862239,0.0006370790146256475
1636134504422,2021-11-05T13:48:24.422,0.66,-0.015198381017849875,-0.004305356094008132,0.0015494480657119634
1636134504432,2021-11-05T13:48:24.432,0.67,-0.01705708096116785,-0.0029144568442172046,0.0003786550848601991
1636134504442,2021-11-05T13:48:24.442,0.68,-0.017213418394161694,-0.0030788863715610904,-0.0010965878598221508
1636134504452,2021-11-05T13:48:24.452,0.69,-0.016027466743707267,-0.0036062837415434396,-0.0005742256021436948
1636134504462,2021-11-05T13:48:24.462,0.7,-0.015872297659820536,-0.00388340182253169,0.0014655942201820588
1636134504472,2021-11-05T13:48:24.472,0.71,-0.016903881235688555,-0.004160604794018736,0.0026261163008654514
1636134504482,2021-11-05T13:48:24.482,0.72,-0.016938796611069597,-0.00422364877478524,0.001892426457727477
1636134504492,2021-11-05T13:48:24.492,0.73,-0.015722611535081563,-0.003486182346226327,0.0006171572202679581
1636134504502,2021-11-05T13:48:24.502,0.74,-0.0154555006015023,-0.002273336774938543,0.00038991294564065266
