epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1636729376822,2021-11-12T10:02:56.822,0.000,97969.242
1636729376958,2021-11-12T10:02:56.958,0.136,97966.000
1636729377093,2021-11-12T10:02:57.093,0.271,97968.859
1636729377229,2021-11-12T10:02:57.229,0.407,97971.531
1636729377366,2021-11-12T10:02:57.366,0.544,97965.406
1636729377500,2021-11-12T10:02:57.500,0.678,97966.195
1636729377637,2021-11-12T10:02:57.637,0.815,97966.195
1636729377771,2021-11-12T10:02:57.771,0.949,97962.188
1636729377908,2021-11-12T10:02:57.908,1.086,97966.195
1636729378044,2021-11-12T10:02:58.044,1.222,97966.195
1636729378179,2021-11-12T10:02:58.179,1.357,97963.531
1636729378315,2021-11-12T10:02:58.315,1.493,97965.617
1636729378451,2021-11-12T10:02:58.451,1.629,97962.188
1636729378586,2021-11-12T10:02:58.586,1.764,97964.281
1636729378722,2021-11-12T10:02:58.722,1.900,97964.859
1636729378858,2021-11-12T10:02:58.858,2.036,97968.078
1636729378993,2021-11-12T10:02:58.993,2.171,97966.195
1636729379129,2021-11-12T10:02:59.129,2.307,97969.031
1636729379266,2021-11-12T10:02:59.266,2.444,97961.406
1636729379400,2021-11-12T10:02:59.400,2.578,97965.617
1636729379537,2021-11-12T10:02:59.537,2.715,97968.859
1636729379671,2021-11-12T10:02:59.671,2.849,97969.031
1636729379808,2021-11-12T10:02:59.808,2.986,97961.031
1636729379944,2021-11-12T10:02:59.944,3.122,97966.195
1636729380079,2021-11-12T10:03:00.079,3.257,97961.609
1636729380215,2021-11-12T10:03:00.215,3.393,97967.156
1636729380351,2021-11-12T10:03:00.351,3.529,97960.484
1636729380486,2021-11-12T10:03:00.486,3.664,97967.906
1636729380622,2021-11-12T10:03:00.622,3.800,97964.281
1636729380757,2021-11-12T10:03:00.757,3.935,97966.570
1636729380893,2021-11-12T10:03:00.893,4.071,97962.563
1636729381029,2021-11-12T10:03:01.029,4.207,97967.703
1636729381164,2021-11-12T10:03:01.164,4.342,97968.859
1636729381300,2021-11-12T10:03:01.300,4.478,97969.031
1636729381436,2021-11-12T10:03:01.436,4.614,97967.703
1636729381571,2021-11-12T10:03:01.571,4.749,97964.484
1636729381707,2021-11-12T10:03:01.707,4.885,97971.703
1636729381844,2021-11-12T10:03:01.844,5.022,97974.375
1636729381978,2021-11-12T10:03:01.978,5.156,97962.367
1636729382115,2021-11-12T10:03:02.115,5.293,97964.281
1636729382251,2021-11-12T10:03:02.251,5.429,97969.031
1636729382386,2021-11-12T10:03:02.386,5.564,97965.984
1636729382522,2021-11-12T10:03:02.522,5.700,97973.438
1636729382657,2021-11-12T10:03:02.657,5.835,97971.328
1636729382793,2021-11-12T10:03:02.793,5.971,97961.234
1636729382929,2021-11-12T10:03:02.929,6.107,97962.367
1636729383064,2021-11-12T10:03:03.064,6.242,97966.773
1636729383200,2021-11-12T10:03:03.200,6.378,97969.234
1636729383336,2021-11-12T10:03:03.336,6.514,97963.906
1636729383473,2021-11-12T10:03:03.473,6.651,97962.766
1636729383607,2021-11-12T10:03:03.607,6.785,97965.813
1636729383744,2021-11-12T10:03:03.744,6.922,97959.141
1636729383878,2021-11-12T10:03:03.878,7.056,97965.031
1636729384015,2021-11-12T10:03:04.015,7.193,97962.367
1636729384151,2021-11-12T10:03:04.151,7.329,97969.609
1636729384286,2021-11-12T10:03:04.286,7.464,97965.984
1636729384422,2021-11-12T10:03:04.422,7.600,97962.188
1636729384558,2021-11-12T10:03:04.558,7.736,97960.102
1636729384693,2021-11-12T10:03:04.693,7.871,97968.109
1636729384829,2021-11-12T10:03:04.829,8.007,97965.609
1636729384964,2021-11-12T10:03:04.964,8.142,97961.438
1636729385100,2021-11-12T10:03:05.100,8.278,97966.938
1636729385236,2021-11-12T10:03:05.236,8.414,97961.438
1636729385372,2021-11-12T10:03:05.372,8.550,97968.109
1636729385507,2021-11-12T10:03:05.507,8.685,97964.273
1636729385643,2021-11-12T10:03:05.643,8.821,97966.938
1636729385778,2021-11-12T10:03:05.778,8.956,97961.609
1636729385914,2021-11-12T10:03:05.914,9.092,97965.438
1636729386051,2021-11-12T10:03:06.051,9.229,97970.188
1636729386185,2021-11-12T10:03:06.185,9.363,97965.609
1636729386322,2021-11-12T10:03:06.322,9.500,97963.727
1636729386456,2021-11-12T10:03:06.456,9.634,97971.531
1636729386593,2021-11-12T10:03:06.593,9.771,97973.609
1636729386729,2021-11-12T10:03:06.729,9.907,97965.609
1636729386864,2021-11-12T10:03:06.864,10.042,97968.281
1636729387000,2021-11-12T10:03:07.000,10.178,97969.063
1636729387136,2021-11-12T10:03:07.136,10.314,97966.188
1636729387271,2021-11-12T10:03:07.271,10.449,97965.063
1636729387407,2021-11-12T10:03:07.407,10.585,97968.859
1636729387542,2021-11-12T10:03:07.542,10.720,97970.398
1636729387678,2021-11-12T10:03:07.678,10.856,97964.273
1636729387814,2021-11-12T10:03:07.814,10.992,97968.477
1636729387949,2021-11-12T10:03:07.949,11.127,97969.609
1636729388085,2021-11-12T10:03:08.085,11.263,97969.813
1636729388222,2021-11-12T10:03:08.222,11.400,97970.563
1636729388356,2021-11-12T10:03:08.356,11.534,97964.273
1636729388493,2021-11-12T10:03:08.493,11.671,97973.813
1636729388629,2021-11-12T10:03:08.629,11.807,97969.813
1636729388764,2021-11-12T10:03:08.764,11.942,97970.563
1636729388900,2021-11-12T10:03:08.900,12.078,97971.148
1636729389035,2021-11-12T10:03:09.035,12.213,97965.813
1636729389171,2021-11-12T10:03:09.171,12.349,97969.813
1636729389307,2021-11-12T10:03:09.307,12.485,97968.281
1636729389442,2021-11-12T10:03:09.442,12.620,97967.523
1636729389578,2021-11-12T10:03:09.578,12.756,97970.563
1636729389714,2021-11-12T10:03:09.714,12.892,97968.477
1636729389849,2021-11-12T10:03:09.849,13.027,97970.016
1636729389985,2021-11-12T10:03:09.985,13.163,97966.563
1636729390120,2021-11-12T10:03:10.120,13.298,97969.813
1636729390256,2021-11-12T10:03:10.256,13.434,97970.398
1636729390392,2021-11-12T10:03:10.392,13.570,97971.148
1636729390527,2021-11-12T10:03:10.527,13.705,97968.680
1636729390663,2021-11-12T10:03:10.663,13.841,97968.477
1636729390800,2021-11-12T10:03:10.800,13.978,97972.102
1636729390934,2021-11-12T10:03:10.934,14.112,97965.234
1636729391071,2021-11-12T10:03:11.071,14.249,97969.234
1636729391205,2021-11-12T10:03:11.205,14.383,97967.344
1636729391342,2021-11-12T10:03:11.342,14.520,97969.438
1636729391478,2021-11-12T10:03:11.478,14.656,97967.344
1636729391613,2021-11-12T10:03:11.613,14.791,97969.234
1636729391749,2021-11-12T10:03:11.749,14.927,97970.563
1636729391885,2021-11-12T10:03:11.885,15.063,97962.016
1636729392020,2021-11-12T10:03:12.020,15.198,97969.234
1636729392156,2021-11-12T10:03:12.156,15.334,97967.344
1636729392292,2021-11-12T10:03:12.292,15.470,97967.344
1636729392427,2021-11-12T10:03:12.427,15.605,97964.672
1636729392563,2021-11-12T10:03:12.563,15.741,97967.344
1636729392698,2021-11-12T10:03:12.698,15.876,97966.016
1636729392834,2021-11-12T10:03:12.834,16.012,97969.438
1636729392971,2021-11-12T10:03:12.971,16.149,97968.680
1636729393105,2021-11-12T10:03:13.105,16.283,97968.680
1636729393242,2021-11-12T10:03:13.242,16.420,97966.016
1636729393378,2021-11-12T10:03:13.378,16.556,97962.180
1636729393513,2021-11-12T10:03:13.513,16.691,97971.344
1636729393649,2021-11-12T10:03:13.649,16.827,97970.188
1636729393784,2021-11-12T10:03:13.784,16.962,97966.969
1636729393920,2021-11-12T10:03:13.920,17.098,97968.680
1636729394056,2021-11-12T10:03:14.056,17.234,97967.516
1636729394191,2021-11-12T10:03:14.191,17.369,97968.852
1636729394327,2021-11-12T10:03:14.327,17.505,97964.852
1636729394463,2021-11-12T10:03:14.463,17.641,97967.516
1636729394598,2021-11-12T10:03:14.598,17.776,97966.188
1636729394734,2021-11-12T10:03:14.734,17.912,97970.766
1636729394871,2021-11-12T10:03:14.871,18.049,97967.516
1636729395005,2021-11-12T10:03:15.005,18.183,97969.641
1636729395142,2021-11-12T10:03:15.142,18.320,97966.766
1636729395276,2021-11-12T10:03:15.276,18.454,97968.680
1636729395413,2021-11-12T10:03:15.413,18.591,97971.523
1636729395549,2021-11-12T10:03:15.549,18.727,97963.516
1636729395683,2021-11-12T10:03:15.683,18.861,97966.766
1636729395820,2021-11-12T10:03:15.820,18.998,97969.055
1636729395956,2021-11-12T10:03:15.956,19.134,97964.852
1636729396091,2021-11-12T10:03:16.091,19.269,97973.641
1636729396227,2021-11-12T10:03:16.227,19.405,97966.188
1636729396362,2021-11-12T10:03:16.362,19.540,97971.523
1636729396498,2021-11-12T10:03:16.498,19.676,97973.063
1636729396634,2021-11-12T10:03:16.634,19.812,97968.852
1636729396770,2021-11-12T10:03:16.770,19.948,97966.969
1636729396905,2021-11-12T10:03:16.905,20.083,97967.719
1636729397041,2021-11-12T10:03:17.041,20.219,97973.063
1636729397176,2021-11-12T10:03:17.176,20.354,97966.188
1636729397312,2021-11-12T10:03:17.312,20.490,97966.391
1636729397449,2021-11-12T10:03:17.449,20.627,97966.969
1636729397583,2021-11-12T10:03:17.583,20.761,97969.641
1636729397720,2021-11-12T10:03:17.720,20.898,97970.969
1636729397856,2021-11-12T10:03:17.856,21.034,97964.852
1636729397991,2021-11-12T10:03:17.991,21.169,97973.844
1636729398127,2021-11-12T10:03:18.127,21.305,97967.172
1636729398262,2021-11-12T10:03:18.262,21.440,97972.500
1636729398398,2021-11-12T10:03:18.398,21.576,97970.969
1636729398534,2021-11-12T10:03:18.534,21.712,97967.172
1636729398669,2021-11-12T10:03:18.669,21.847,97966.969
1636729398805,2021-11-12T10:03:18.805,21.983,97965.828
1636729398941,2021-11-12T10:03:18.941,22.119,97968.500
1636729399076,2021-11-12T10:03:19.076,22.254,97968.500
1636729399212,2021-11-12T10:03:19.212,22.390,97970.594
1636729399349,2021-11-12T10:03:19.349,22.527,97969.258
1636729399483,2021-11-12T10:03:19.483,22.661,97970.594
