epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1650900128868,2022-04-25T11:22:08.868,0.0,0.025646402118727905,-0.02345384417613644,-0.28176998722573104
1650900128878,2022-04-25T11:22:08.878,0.01,0.09513464399945312,-0.6924794898648499,-0.23569600439728655
1650900128888,2022-04-25T11:22:08.888,0.02,0.08804573292116143,-0.9350413325006084,-0.21640569008281543
1650900128898,2022-04-25T11:22:08.898,0.03,-0.006038903480641601,-0.8476167038081284,-0.22083303636624702
1650900128908,2022-04-25T11:22:08.908,0.04,-0.06851722736441368,-0.847457750064144,-0.22814724330578717
1650900128918,2022-04-25T11:22:08.918,0.05,0.019741978047754898,-1.1552514137794547,-0.20800014721351195
1650900128928,2022-04-25T11:22:08.928,0.06,0.17412464584613205,-1.6035061036475386,-0.15765347039533784
1650900128938,2022-04-25T11:22:08.938,0.07,0.19832359387107604,-1.7970704902437065,-0.1318689184809601
1650900128948,2022-04-25T11:22:08.948,0.08,0.06379393095503824,-1.4919022088765685,-0.13178544493891142
1650900128958,2022-04-25T11:22:08.958,0.09,-0.08189037471187365,-0.952229059735679,-0.04421062045573024
1650900128968,2022-04-25T11:22:08.968,0.1,-0.1464338877858602,-0.7393317935093247,0.1465172326639731
1650900128978,2022-04-25T11:22:08.978,0.11,-0.15929502151426964,-0.9929084030621792,0.251734871083149
1650900128988,2022-04-25T11:22:08.988,0.12,-0.16413989899484727,-1.2527660209519333,0.15085587380335463
1650900128998,2022-04-25T11:22:08.998,0.13,-0.20196247117649566,-1.1486503564538937,-0.043326718650829016
1650900129008,2022-04-25T11:22:09.008,0.14,-0.3265357491437086,-0.8276670993155115,-0.15634926860724085
1650900129018,2022-04-25T11:22:09.018,0.15,-0.5013123717496798,-0.5850247448070892,-0.05591125322828086
1650900129028,2022-04-25T11:22:09.028,0.16,-0.5803481306681243,-0.538615643131523,0.29636781641246285
1650900129038,2022-04-25T11:22:09.038,0.17,-0.5107254383301527,-0.6837948219383012,0.6616355880643403
1650900129048,2022-04-25T11:22:09.048,0.18,-0.43000275494340345,-0.905456308739121,0.6602343164500979
1650900129058,2022-04-25T11:22:09.058,0.19,-0.45597902971703874,-1.0531397054815363,0.27013946603141126
1650900129068,2022-04-25T11:22:09.068,0.2,-0.5238745247751073,-1.161728388639684,-0.1350781537145495
1650900129078,2022-04-25T11:22:09.078,0.21,-0.5274475946667581,-1.350819198030905,-0.30359557109953694
1650900129088,2022-04-25T11:22:09.088,0.22,-0.46616169471539504,-1.532139371583089,-0.31329632149977865
1650900129098,2022-04-25T11:22:09.098,0.23,-0.36914690405309614,-1.526185078898933,-0.2767713156825639
1650900129108,2022-04-25T11:22:09.108,0.24,-0.22635844325282334,-1.356955062871922,-0.18153730638995902
1650900129118,2022-04-25T11:22:09.118,0.25,-0.05865155039708676,-1.1644304731898216,-0.04395795591705927
1650900129128,2022-04-25T11:22:09.128,0.26,0.09086018256531762,-0.9887214460711005,0.038112735758135785
1650900129138,2022-04-25T11:22:09.138,0.27,0.26274230640566143,-0.8484764615628753,0.03335151696468439
1650900129148,2022-04-25T11:22:09.148,0.28,0.5152263090741567,-0.8350507333017756,0.016155033555427977
1650900129158,2022-04-25T11:22:09.158,0.29,0.7532405428173571,-0.9327071421922046,0.02989154505091202
1650900129168,2022-04-25T11:22:09.168,0.3,0.8014691062840393,-0.9261817562829716,0.025220347927457712
1650900129178,2022-04-25T11:22:09.178,0.31,0.6379192547068745,-0.6943287229238557,-0.03464163528337636
1650900129188,2022-04-25T11:22:09.188,0.32,0.4013890995677566,-0.46116047536441074,-0.08936979778431743
1650900129198,2022-04-25T11:22:09.198,0.33,0.1782402695961896,-0.520283480712975,-0.06178591091254449
1650900129208,2022-04-25T11:22:09.208,0.34,-0.09559126564003785,-0.7868244975079449,0.010727769891184277
1650900129218,2022-04-25T11:22:09.218,0.35,-0.4767518047385187,-0.905051611482441,-0.0003882171845461394
1650900129228,2022-04-25T11:22:09.228,0.36,-0.8341473800902721,-0.8266215483799286,-0.13391274215444293
1650900129238,2022-04-25T11:22:09.238,0.37,-0.9510633256496346,-0.9619303375972728,-0.2300077940351876
1650900129248,2022-04-25T11:22:09.248,0.38,-0.7966073039562058,-1.5116591582160224,-0.08627055458643035
1650900129258,2022-04-25T11:22:09.258,0.39,-0.5691006397825781,-1.8996373612575472,0.2568681328429598
1650900129268,2022-04-25T11:22:09.268,0.4,-0.48102167594231593,-1.4332714112496383,0.5106007790196226
1650900129278,2022-04-25T11:22:09.278,0.41,-0.5670662452518422,-0.4785090082020813,0.5153823338665307
1650900129288,2022-04-25T11:22:09.288,0.42,-0.6467635544413353,-0.1157684380544557,0.4673745833104944
1650900129298,2022-04-25T11:22:09.298,0.43,-0.508885062411574,-0.5095919380846464,0.6026451313570422
