epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1650900128869,2022-04-25T11:22:08.869,0.0,1.5514631837010172e-07,5.258738841590002e-07,-1.404347006313973e-07
1650900128919,2022-04-25T11:22:08.919,0.05,-9.165719079051083e-07,9.908147765305884e-06,2.0775835608861266e-07
1650900128969,2022-04-25T11:22:08.969,0.1,-2.008747854598265e-06,1.4172302680081417e-05,3.108728337212634e-07
1650900129019,2022-04-25T11:22:09.019,0.15,-2.725263228111522e-06,1.4469308060779184e-05,3.010075049299783e-07
1650900129069,2022-04-25T11:22:09.069,0.2,-2.4198861088345086e-06,1.4276247847994058e-05,3.0336651690346325e-07
1650900129119,2022-04-25T11:22:09.119,0.25,-1.2614920937707834e-06,1.3578072499362072e-05,1.1959617356386586e-07
1650900129169,2022-04-25T11:22:09.169,0.3,-3.729192541988385e-07,1.1193944243165583e-05,-3.406151278114779e-07
1650900129219,2022-04-25T11:22:09.219,0.35,-3.372457912404084e-07,9.122137683191554e-06,-7.085984296281121e-07
1650900129269,2022-04-25T11:22:09.269,0.4,-7.091090015286657e-07,1.0006806794268141e-05,-6.112002980417911e-07
1650900129319,2022-04-25T11:22:09.319,0.45,-1.1250364893600914e-06,1.2634110738252713e-05,-2.212827157801817e-07
1650900129369,2022-04-25T11:22:09.369,0.5,-1.5450103925978177e-06,1.3799602308555347e-05,1.1735751423537375e-08
1650900129419,2022-04-25T11:22:09.419,0.55,-1.6716848936158135e-06,1.2823768782537348e-05,1.2047752348641322e-08
1650900129469,2022-04-25T11:22:09.469,0.6,-1.2970142563140591e-06,1.1358469098335614e-05,5.123380262160449e-08
1650900129519,2022-04-25T11:22:09.519,0.65,-8.199820641220152e-07,1.0636012800413164e-05,1.6494256457173951e-07
1650900129569,2022-04-25T11:22:09.569,0.7,-7.387342681895963e-07,1.0981405726337173e-05,7.53166187036882e-08
1650900129619,2022-04-25T11:22:09.619,0.75,-9.9538305628625e-07,1.2242855301340066e-05,-2.1224269799187234e-07
1650900129669,2022-04-25T11:22:09.669,0.8,-1.1377015171069604e-06,1.3320644387040988e-05,-2.202138447569018e-07
1650900129719,2022-04-25T11:22:09.719,0.85,-9.621470287868843e-07,1.2850686069189743e-05,2.5731138965208517e-07
1650900129769,2022-04-25T11:22:09.769,0.9,-8.004479200742726e-07,1.122572733996959e-05,6.464982273304392e-07
1650900129819,2022-04-25T11:22:09.819,0.95,-1.0360414923683815e-06,1.0319192020754153e-05,3.530534834184333e-07
1650900129869,2022-04-25T11:22:09.869,1.0,-1.5011675185753535e-06,1.059249077795135e-05,-3.5614356261947936e-07
1650900129919,2022-04-25T11:22:09.919,1.05,-1.6867287634465244e-06,1.0506355899291841e-05,-8.287579271485266e-07
1650900129969,2022-04-25T11:22:09.969,1.1,-1.4085229865389695e-06,9.461188598825269e-06,-9.316334758280623e-07
1650900130019,2022-04-25T11:22:10.019,1.15,-9.50527985816956e-07,8.919140309836614e-06,-9.023703365953447e-07
1650900130069,2022-04-25T11:22:10.069,1.2,-6.987393220424021e-07,9.660109069157991e-06,-8.329494078219556e-07
1650900130119,2022-04-25T11:22:10.119,1.25,-7.616645743876504e-07,1.0216371350510616e-05,-7.321263908997861e-07
1650900130169,2022-04-25T11:22:10.169,1.3,-8.464221282599018e-07,9.28948684238342e-06,-6.460615950164243e-07
1650900130219,2022-04-25T11:22:10.219,1.35,-7.139162831402095e-07,7.911198980394715e-06,-5.895834539471556e-07
1650900130269,2022-04-25T11:22:10.269,1.4,-7.393408145513669e-07,7.763318753136748e-06,-5.897018365430331e-07
1650900130319,2022-04-25T11:22:10.319,1.45,-1.385836232202607e-06,8.649169543714017e-06,-6.282630133983782e-07
1650900130369,2022-04-25T11:22:10.369,1.5,-2.2062865246149944e-06,9.115259124373573e-06,-5.203698893075042e-07
1650900130419,2022-04-25T11:22:10.419,1.55,-2.332034096575402e-06,8.74601329349063e-06,-1.4998647866034603e-07
1650900130469,2022-04-25T11:22:10.469,1.6,-1.8402177150990994e-06,8.46326256049669e-06,2.0551933579780794e-07
1650900130519,2022-04-25T11:22:10.519,1.65,-1.4833488339313075e-06,8.867213788845784e-06,1.034212392994314e-07
1650900130569,2022-04-25T11:22:10.569,1.7,-1.257378380122243e-06,9.341631195540307e-06,-3.877495441310978e-07
1650900130619,2022-04-25T11:22:10.619,1.75,-5.999356323650291e-07,9.019918824588628e-06,-5.775606533237707e-07
1650900130669,2022-04-25T11:22:10.669,1.8,1.735105080619559e-07,8.088784138840964e-06,-9.5652886406233e-08
1650900130719,2022-04-25T11:22:10.719,1.85,7.435840693323647e-08,7.581426275804725e-06,4.096387330211694e-07
1650900130769,2022-04-25T11:22:10.769,1.9,-9.47676352407137e-07,7.936485552861877e-06,7.356472976306463e-08
1650900130819,2022-04-25T11:22:10.819,1.95,-1.7502803013984617e-06,8.377058757323193e-06,-8.99368644594523e-07
1650900130869,2022-04-25T11:22:10.869,2.0,-1.474143696292802e-06,7.943106154278403e-06,-1.3917368016387072e-06
1650900130919,2022-04-25T11:22:10.919,2.05,-5.915365025490755e-07,6.718063831689826e-06,-9.820534175495397e-07
1650900130969,2022-04-25T11:22:10.969,2.1,-1.7137741276884746e-07,5.826719837474803e-06,-6.48743405611722e-07
1650900131019,2022-04-25T11:22:11.019,2.15,-4.353069880519252e-07,6.20364388958378e-06,-1.1398243581469883e-06
1650900131069,2022-04-25T11:22:11.069,2.2,-7.480797368352129e-07,7.287414582964501e-06,-1.6199054418515198e-06
1650900131119,2022-04-25T11:22:11.119,2.25,-8.537627747132067e-07,7.53360632626375e-06,-1.2512889034652823e-06
1650900131169,2022-04-25T11:22:11.169,2.3,-9.670311747804058e-07,6.54875159902061e-06,-8.532258308777021e-07
1650900131219,2022-04-25T11:22:11.219,2.35,-8.541386480670613e-07,5.5419654591856e-06,-1.3090584493676195e-06
1650900131269,2022-04-25T11:22:11.269,2.4,-2.2716805074027546e-07,5.371158421796584e-06,-1.8915555687498842e-06
1650900131319,2022-04-25T11:22:11.319,2.45,2.84677848086012e-07,5.669319886300707e-06,-1.8738859686391773e-06
1650900131369,2022-04-25T11:22:11.369,2.5,-6.118763448104396e-08,5.9889610528759264e-06,-1.9348806116789604e-06
1650900131419,2022-04-25T11:22:11.419,2.55,-7.560103035177817e-07,6.3398989688643765e-06,-2.469293571672252e-06
1650900131469,2022-04-25T11:22:11.469,2.6,-7.551056264595134e-07,6.590782452299582e-06,-2.563318609867404e-06
1650900131519,2022-04-25T11:22:11.519,2.65,-2.2342139708811288e-07,6.411325248961163e-06,-1.8580604719264655e-06
1650900131569,2022-04-25T11:22:11.569,2.7,-2.822529604944013e-07,5.9276527087111595e-06,-1.4170675983663347e-06
1650900131619,2022-04-25T11:22:11.619,2.75,-1.167611816136626e-06,5.707329223591832e-06,-1.8659738104957301e-06
1650900131669,2022-04-25T11:22:11.669,2.8,-1.9533189403074913e-06,5.837221687092422e-06,-2.4022447144440115e-06
1650900131719,2022-04-25T11:22:11.719,2.85,-2.0118007844679504e-06,5.764673106149356e-06,-2.2024403882182557e-06
1650900131769,2022-04-25T11:22:11.769,2.9,-1.5116513413367187e-06,5.293389243802322e-06,-1.530800042799422e-06
