epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1650900460670,2022-04-25T11:27:40.670,0.000,98460.320
1650900460806,2022-04-25T11:27:40.806,0.136,98454.609
1650900460942,2022-04-25T11:27:40.942,0.272,98453.313
1650900461077,2022-04-25T11:27:41.077,0.407,98456.250
1650900461213,2022-04-25T11:27:41.213,0.543,98459.305
1650900461350,2022-04-25T11:27:41.350,0.680,98456.703
1650900461484,2022-04-25T11:27:41.484,0.814,98450.703
1650900461621,2022-04-25T11:27:41.621,0.951,98454.094
1650900461755,2022-04-25T11:27:41.755,1.085,98448.609
1650900461892,2022-04-25T11:27:41.892,1.222,98455.750
1650900462028,2022-04-25T11:27:42.028,1.358,98451.500
1650900462163,2022-04-25T11:27:42.163,1.493,98454.609
1650900462299,2022-04-25T11:27:42.299,1.629,98451.211
1650900462435,2022-04-25T11:27:42.435,1.765,98455.906
1650900462571,2022-04-25T11:27:42.571,1.901,98447.313
1650900462706,2022-04-25T11:27:42.706,2.036,98452.516
1650900462842,2022-04-25T11:27:42.842,2.172,98456.703
1650900462977,2022-04-25T11:27:42.977,2.307,98455.109
1650900463113,2022-04-25T11:27:43.113,2.443,98452.008
1650900463250,2022-04-25T11:27:43.250,2.580,98455.109
1650900463384,2022-04-25T11:27:43.384,2.714,98455.109
1650900463521,2022-04-25T11:27:43.521,2.851,98452.797
1650900463657,2022-04-25T11:27:43.657,2.987,98456.250
1650900463792,2022-04-25T11:27:43.792,3.122,98448.109
1650900463928,2022-04-25T11:27:43.928,3.258,98446.008
1650900464064,2022-04-25T11:27:44.064,3.394,98446.008
1650900464199,2022-04-25T11:27:44.199,3.529,98452.352
1650900464335,2022-04-25T11:27:44.335,3.665,98445.852
1650900464471,2022-04-25T11:27:44.471,3.801,98444.992
1650900464606,2022-04-25T11:27:44.606,3.936,98445.852
1650900464742,2022-04-25T11:27:44.742,4.072,98446.297
1650900464877,2022-04-25T11:27:44.877,4.207,98444.992
1650900465013,2022-04-25T11:27:45.013,4.343,98446.797
1650900465149,2022-04-25T11:27:45.149,4.479,98450.195
1650900465284,2022-04-25T11:27:45.284,4.614,98443.695
