epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1650900759977,2022-04-25T11:32:39.977,0.0,-0.011437533345632316,-0.049081324695426476,-0.00706666474856065
1650900759987,2022-04-25T11:32:39.987,0.01,-0.009391681711164807,-0.04894758171214145,-0.005740575680558
1650900759997,2022-04-25T11:32:39.997,0.02,-0.00866363185806271,-0.049172088546677636,-0.00411408133314862
1650900760007,2022-04-25T11:32:40.007,0.03,-0.006477579231131224,-0.04858421081829118,-0.003139135059206846
1650900760017,2022-04-25T11:32:40.017,0.04,-0.0027350271873136695,-0.0464774309117328,-0.0035365565599325783
1650900760027,2022-04-25T11:32:40.027,0.05,-0.002922987861637639,-0.04439764996083016,-0.004514158332877596
1650900760037,2022-04-25T11:32:40.037,0.06,-0.008664140774658127,-0.04408094124261036,-0.005168211733502656
1650900760047,2022-04-25T11:32:40.047,0.07,-0.01317056297578462,-0.04489450188784527,-0.005494152174412924
1650900760057,2022-04-25T11:32:40.057,0.08,-0.011213898959740235,-0.04504649375504937,-0.005188150604956043
1650900760067,2022-04-25T11:32:40.067,0.09,-0.007147660843769916,-0.04432753017487508,-0.0034437134764817956
1650900760077,2022-04-25T11:32:40.077,0.1,-0.007707806539991072,-0.043758680378247344,-0.0006363078151928868
1650900760087,2022-04-25T11:32:40.087,0.11,-0.01178128263569684,-0.04334030370228237,0.001610676156779364
1650900760097,2022-04-25T11:32:40.097,0.12,-0.013400822535270937,-0.04246369567497864,0.0024657903500137925
1650900760107,2022-04-25T11:32:40.107,0.13,-0.011552091018066434,-0.041904723792095616,0.002516347676882131
1650900760117,2022-04-25T11:32:40.117,0.14,-0.010563950455339643,-0.04262414495919778,0.0024214113363371878
1650900760127,2022-04-25T11:32:40.127,0.15,-0.012632279019415667,-0.04332484453549573,0.002293750092612645
1650900760137,2022-04-25T11:32:40.137,0.16,-0.015370290521540535,-0.042373773041981797,0.0020966347432198208
1650900760147,2022-04-25T11:32:40.147,0.17,-0.01560000729789012,-0.04093592002446157,0.0017153187802084978
1650900760157,2022-04-25T11:32:40.157,0.18,-0.012469746069136565,-0.04096378656757549,0.0012058791869862316
1650900760167,2022-04-25T11:32:40.167,0.19,-0.008257014670712914,-0.0418687642844534,0.0010719186871533302
1650900760177,2022-04-25T11:32:40.177,0.2,-0.0066342698298146666,-0.0419598171674833,0.0011977013806331433
1650900760187,2022-04-25T11:32:40.187,0.21,-0.008310655022273045,-0.041170386824193085,0.0002752728498503845
1650900760197,2022-04-25T11:32:40.197,0.22,-0.010067553637607186,-0.04039769585040372,-0.002005487756781429
1650900760207,2022-04-25T11:32:40.207,0.23,-0.009902101645524703,-0.03984438126523563,-0.0036688058206833132
1650900760217,2022-04-25T11:32:40.217,0.24,-0.009588733500103875,-0.03918312000567756,-0.003458306779016213
1650900760227,2022-04-25T11:32:40.227,0.25,-0.010466599010455113,-0.03817495732675725,-0.0031203043510325983
1650900760237,2022-04-25T11:32:40.237,0.26,-0.011168855726507974,-0.03653600922558642,-0.0044358140799425705
1650900760247,2022-04-25T11:32:40.247,0.27,-0.01075755607895646,-0.03418521797753227,-0.006188885288504657
1650900760257,2022-04-25T11:32:40.257,0.28,-0.009734003805419276,-0.03201374018193528,-0.006154132809295601
1650900760267,2022-04-25T11:32:40.267,0.29,-0.007982643508490483,-0.031372179205786166,-0.0041461235099446315
1650900760277,2022-04-25T11:32:40.277,0.3,-0.005671778199105179,-0.03240974992497583,-0.0016693209357572531
1650900760287,2022-04-25T11:32:40.287,0.31,-0.004691379813478107,-0.033934071090568986,-0.0001080208984624678
1650900760297,2022-04-25T11:32:40.297,0.32,-0.0057263184644753985,-0.03512511299648802,9.907580515716374e-07
1650900760307,2022-04-25T11:32:40.307,0.33,-0.0063611451362323495,-0.03629927376818971,-0.0008597291384450786
