epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1635776532770,2021-11-01T10:22:12.770,0.0,-2.1394293238236027e-07,-2.113000397337309e-06,1.2900036190925212e-06
1635776532820,2021-11-01T10:22:12.820,0.05,-5.239418498040939e-09,-2.4103622242476953e-06,1.581091581365697e-06
1635776532870,2021-11-01T10:22:12.870,0.1,-9.246830918652125e-08,-4.58409667701798e-06,1.36417508196179e-06
1635776532920,2021-11-01T10:22:12.920,0.15,-1.631078813978368e-07,-8.174707775208313e-06,9.945753008788102e-07
1635776532970,2021-11-01T10:22:12.970,0.2,-6.70575923228668e-08,-1.0093183615040147e-05,9.075440377395026e-07
1635776533020,2021-11-01T10:22:13.020,0.25,-1.2349795761902816e-07,-8.908736684764223e-06,8.931463746295027e-07
1635776533070,2021-11-01T10:22:13.070,0.3,-3.242914585490599e-07,-7.2336547374543615e-06,7.458275475724994e-07
1635776533120,2021-11-01T10:22:13.120,0.35,-3.1198696242377156e-07,-7.263576352802804e-06,7.018714383623351e-07
1635776533170,2021-11-01T10:22:13.170,0.4,-1.0784580003472138e-07,-7.827856658847988e-06,8.297269617017325e-07
1635776533220,2021-11-01T10:22:13.220,0.45,-9.744484213313568e-09,-7.408116497544956e-06,8.128962086241285e-07
1635776533270,2021-11-01T10:22:13.270,0.5,-1.1740063554151806e-08,-6.141832028791924e-06,5.550662233925027e-07
1635776533320,2021-11-01T10:22:13.320,0.55,8.728613693879454e-08,-4.650872788763899e-06,3.4228921743804144e-07
1635776533370,2021-11-01T10:22:13.370,0.6,1.9940198120571642e-07,-3.6274052747218555e-06,3.547910897675821e-07
1635776533420,2021-11-01T10:22:13.420,0.65,4.082311000159178e-08,-3.65242970470964e-06,4.7053507882918286e-07
1635776533470,2021-11-01T10:22:13.470,0.7,-2.5703835800011816e-07,-3.992116311837113e-06,4.826532168208547e-07
1635776533520,2021-11-01T10:22:13.520,0.75,-1.8929201112104684e-07,-3.325459826988226e-06,2.9372271817122567e-07
1635776533570,2021-11-01T10:22:13.570,0.8,2.0328051643922808e-07,-2.309237706478936e-06,-7.927181904761297e-09
1635776533620,2021-11-01T10:22:13.620,0.85,2.918609078441658e-07,-2.9179966805666943e-06,-2.3134373728305536e-07
1635776533670,2021-11-01T10:22:13.670,0.9,4.802773657574008e-09,-4.766291845851768e-06,-2.3301418479806997e-07
1635776533720,2021-11-01T10:22:13.720,0.95,-1.6280242520792892e-07,-5.09268223617067e-06,7.042301172882288e-08
1635776533770,2021-11-01T10:22:13.770,1.0,-2.640799688652161e-07,-2.9806405263281937e-06,6.380881925661823e-07
1635776533820,2021-11-01T10:22:13.820,1.05,-5.882826994638928e-07,-6.82256430777597e-07,1.153468643075092e-06
1635776533870,2021-11-01T10:22:13.870,1.1,-6.445045244977121e-07,-3.6686192025902074e-07,1.2498595098142139e-06
1635776533920,2021-11-01T10:22:13.920,1.15,-1.864173078581379e-09,-1.8493683161432897e-06,9.444449750936578e-07
1635776533970,2021-11-01T10:22:13.970,1.2,5.261033927035058e-07,-3.349428212203237e-06,5.077215759753458e-07
